lane,arm,config_id,training_seed,endpoint,candidate_id,partition_sha256,n_total,n_eval,k,ari,nmi,ami,fmi,min_cluster_size_full,cluster_sizes_full,min_cluster_size_eval,cluster_sizes_eval,wall_seconds,gpu_peak_mib,peak_rss_mib,neighbor_agreement,moran_macro_indicator,geary_macro_indicator
P22_K9,LOWPASS_ONLY_CALIBRATION,T01_COMMON_NO_GRAPH,0,NIGHT16H_FIXED_STRUCTURED,GRAPH_L3_KMEANS_S1,9013047795249458c0325ae540376e967e460faa5d0435813f33f1c319d42e6a,9196,9196,9,0.4333241394925015,0.5825988780527571,0.5818828216552621,0.5171101363859202,547,"[547, 699, 1499, 2234, 756, 907, 740, 1232, 582]",547,"[547, 699, 1499, 2234, 756, 907, 740, 1232, 582]",24.749384051188827,336.66357421875,1882.51171875,0.8801398691947293,0.8465316869699819,0.1545001609942183
P22_K9,MATCHED_BACKBONE,T01_COMMON_NO_GRAPH,0,COMMON_GMM,RAW_GMM_DIAG_S0,adade29296a115423ee05c000a1ea6a6887cd645b421f2b08cc0ec2c9081a8c5,9196,9196,9,0.4087910312832014,0.5533384225324424,0.5525742360032998,0.4951119733282152,359,"[736, 1127, 1003, 644, 2146, 1253, 1107, 821, 359]",359,"[736, 1127, 1003, 644, 2146, 1253, 1107, 821, 359]",19.01873651333153,336.66357421875,1900.9609375,0.8176699979148272,0.7892877749216783,0.2106041156564656
P22_K9,MATCHED_BACKBONE,T01_COMMON_NO_GRAPH,0,COMMON_KMEANS,COMMON_KMEANS_N20_S0,fdafb3715c6e41f7228b31453ff281a099df96ed47a60a8816b29569cc307389,9196,9196,9,0.4192055973769617,0.5511881134661232,0.5504256561097217,0.5032287350822704,701,"[800, 1095, 2157, 1186, 982, 715, 762, 798, 701]",701,"[800, 1095, 2157, 1186, 982, 715, 762, 798, 701]",19.01873651333153,336.66357421875,1900.9609375,0.8072841344887864,0.7630827910090631,0.2378104658355108
P22_K9,MATCHED_BACKBONE,T01_COMMON_NO_GRAPH,0,FEASIBLE_MEDOID,RAW_KMEANS_N1_S3,8b581e1ead91736eb790eace64835d0e4ddf2c8d537813069a729e06a9202455,9196,9196,9,0.4018186370028014,0.5413842045840513,0.5405914851132932,0.4904518896282287,195,"[195, 862, 2127, 1378, 707, 752, 659, 1407, 1109]",195,"[195, 862, 2127, 1378, 707, 752, 659, 1407, 1109]",19.01873651333153,336.66357421875,1900.9609375,0.814313568897495,0.7711450140534103,0.22906305690519
P22_K9,MATCHED_BACKBONE,T01_COMMON_NO_GRAPH,0,NIGHT16H_FIXED_STRUCTURED,GRAPH_L3_KMEANS_S1,9013047795249458c0325ae540376e967e460faa5d0435813f33f1c319d42e6a,9196,9196,9,0.4333241394925015,0.5825988780527571,0.5818828216552621,0.5171101363859202,547,"[547, 699, 1499, 2234, 756, 907, 740, 1232, 582]",547,"[547, 699, 1499, 2234, 756, 907, 740, 1232, 582]",19.01873651333153,336.66357421875,1900.9609375,0.8801398691947293,0.8465316869699819,0.1545001609942183
P22_K9,SHARED_SCALE_CONTROL,T01_COMMON_NO_GRAPH,0,COMMON_GMM,RAW_GMM_DIAG_S0,adade29296a115423ee05c000a1ea6a6887cd645b421f2b08cc0ec2c9081a8c5,9196,9196,9,0.4087910312832014,0.5533384225324424,0.5525742360032998,0.4951119733282152,359,"[736, 1127, 1003, 644, 2146, 1253, 1107, 821, 359]",359,"[736, 1127, 1003, 644, 2146, 1253, 1107, 821, 359]",31.069066194817424,336.66357421875,1900.75,0.8176699979148272,0.7892877749216783,0.2106041156564656
P22_K9,SHARED_SCALE_CONTROL,T01_COMMON_NO_GRAPH,0,COMMON_KMEANS,COMMON_KMEANS_N20_S0,fdafb3715c6e41f7228b31453ff281a099df96ed47a60a8816b29569cc307389,9196,9196,9,0.4192055973769617,0.5511881134661232,0.5504256561097217,0.5032287350822704,701,"[800, 1095, 2157, 1186, 982, 715, 762, 798, 701]",701,"[800, 1095, 2157, 1186, 982, 715, 762, 798, 701]",31.069066194817424,336.66357421875,1900.75,0.8072841344887864,0.7630827910090631,0.2378104658355108
P22_K9,SHARED_SCALE_CONTROL,T01_COMMON_NO_GRAPH,0,FEASIBLE_MEDOID,RAW_KMEANS_N1_S3,8b581e1ead91736eb790eace64835d0e4ddf2c8d537813069a729e06a9202455,9196,9196,9,0.4018186370028014,0.5413842045840513,0.5405914851132932,0.4904518896282287,195,"[195, 862, 2127, 1378, 707, 752, 659, 1407, 1109]",195,"[195, 862, 2127, 1378, 707, 752, 659, 1407, 1109]",31.069066194817424,336.66357421875,1900.75,0.814313568897495,0.7711450140534103,0.22906305690519
P22_K9,SHARED_SCALE_CONTROL,T01_COMMON_NO_GRAPH,0,NIGHT16H_FIXED_STRUCTURED,GRAPH_L3_KMEANS_S1,9013047795249458c0325ae540376e967e460faa5d0435813f33f1c319d42e6a,9196,9196,9,0.4333241394925015,0.5825988780527571,0.5818828216552621,0.5171101363859202,547,"[547, 699, 1499, 2234, 756, 907, 740, 1232, 582]",547,"[547, 699, 1499, 2234, 756, 907, 740, 1232, 582]",31.069066194817424,336.66357421875,1900.75,0.8801398691947293,0.8465316869699819,0.1545001609942183
P22_K9,SHARPEN_ONLY_CALIBRATION,T01_COMMON_NO_GRAPH,0,COMMON_GMM,RAW_GMM_DIAG_S0,0d76cb3ac6f5e868ab04c2f2db4f2a3576877a27c4092ba882387e81b737865b,9196,9196,9,0.4518480245229052,0.5787260728093653,0.5780113433676726,0.5311482853143377,630,"[832, 1094, 732, 878, 2147, 988, 630, 974, 921]",630,"[832, 1094, 732, 878, 2147, 988, 630, 974, 921]",24.44788248836994,336.6640625,1877.51171875,0.8131192125914201,0.7773158967293754,0.2234761537092804
P22_K9,SHARPEN_ONLY_CALIBRATION,T01_COMMON_NO_GRAPH,0,COMMON_KMEANS,COMMON_KMEANS_N20_S0,6324f1bcb54fe58dc8d4583d170219e41222918f9b18ed7c777f7effc0229977,9196,9196,9,0.4177292582114458,0.5497512150738819,0.5489864011997209,0.5019376395675182,705,"[760, 795, 1185, 705, 2155, 982, 718, 804, 1092]",705,"[760, 795, 1185, 705, 2155, 982, 718, 804, 1092]",24.44788248836994,336.6640625,1877.51171875,0.805406261018279,0.7610040070716693,0.2398904883790354
P22_K9,SHARPEN_ONLY_CALIBRATION,T01_COMMON_NO_GRAPH,0,FEASIBLE_MEDOID,COMMON_KMEANS_N20_S0,6324f1bcb54fe58dc8d4583d170219e41222918f9b18ed7c777f7effc0229977,9196,9196,9,0.4177292582114458,0.5497512150738819,0.5489864011997209,0.5019376395675182,705,"[760, 795, 1185, 705, 2155, 982, 718, 804, 1092]",705,"[760, 795, 1185, 705, 2155, 982, 718, 804, 1092]",24.44788248836994,336.6640625,1877.51171875,0.805406261018279,0.7610040070716693,0.2398904883790354
P22_K9,SHARPEN_ONLY_CALIBRATION,T01_COMMON_NO_GRAPH,0,NIGHT16H_FIXED_STRUCTURED,GRAPH_L3_KMEANS_S1,d68608ec80eba1ff803bb03335944242686ec9f8990fd44f7e27efaf97edd934,9196,9196,9,0.4494971646057389,0.5871277941763449,0.5864242502499687,0.5298602500268076,664,"[664, 2230, 1206, 744, 701, 1182, 920, 799, 750]",664,"[664, 2230, 1206, 744, 701, 1182, 920, 799, 750]",24.44788248836994,336.6640625,1877.51171875,0.8755243296143839,0.8454883680929264,0.1556856647627715
P22_K9,SWAPPED_RESPONSE_CONTROL,T01_COMMON_NO_GRAPH,0,COMMON_GMM,RAW_GMM_DIAG_S0,6e08e4abfe93ce31235ba4e473111fba0adbb52427a93b9fed700b665f89a1a1,9196,9196,9,0.451624122898562,0.5785050177974075,0.5777898279771133,0.5309690187532775,623,"[831, 935, 623, 972, 2148, 988, 731, 1095, 873]",623,"[831, 935, 623, 972, 2148, 988, 731, 1095, 873]",28.57629962451756,337.13330078125,1905.22265625,0.8134537762549481,0.7776890225963144,0.2230673419547465
P22_K9,SWAPPED_RESPONSE_CONTROL,T01_COMMON_NO_GRAPH,0,COMMON_KMEANS,COMMON_KMEANS_N20_S0,534eb05d9462fd35969fa0ec91202f88e42455c631f7b3ad94514d92b7d2b5c9,9196,9196,9,0.4201836494742575,0.5520005764421114,0.5512395141097607,0.5040703825054949,702,"[715, 982, 1189, 761, 2158, 799, 804, 702, 1086]",702,"[715, 982, 1189, 761, 2158, 799, 804, 702, 1086]",28.57629962451756,337.13330078125,1905.22265625,0.8064747062690174,0.7621801324733535,0.2387060011477921
P22_K9,SWAPPED_RESPONSE_CONTROL,T01_COMMON_NO_GRAPH,0,FEASIBLE_MEDOID,COMMON_KMEANS_N20_S0,534eb05d9462fd35969fa0ec91202f88e42455c631f7b3ad94514d92b7d2b5c9,9196,9196,9,0.4201836494742575,0.5520005764421114,0.5512395141097607,0.5040703825054949,702,"[715, 982, 1189, 761, 2158, 799, 804, 702, 1086]",702,"[715, 982, 1189, 761, 2158, 799, 804, 702, 1086]",28.57629962451756,337.13330078125,1905.22265625,0.8064747062690174,0.7621801324733535,0.2387060011477921
P22_K9,SWAPPED_RESPONSE_CONTROL,T01_COMMON_NO_GRAPH,0,NIGHT16H_FIXED_STRUCTURED,RAW_GMM_DIAG_S0,6e08e4abfe93ce31235ba4e473111fba0adbb52427a93b9fed700b665f89a1a1,9196,9196,9,0.451624122898562,0.5785050177974075,0.5777898279771133,0.5309690187532775,623,"[831, 935, 623, 972, 2148, 988, 731, 1095, 873]",623,"[831, 935, 623, 972, 2148, 988, 731, 1095, 873]",28.57629962451756,337.13330078125,1905.22265625,0.8134537762549481,0.7776890225963144,0.2230673419547465
