dataset,variant,seed,domain,f1
p22,asr_hvg,3,CP,0.8353331631350523
p22,asr_hvg,3,L1-L3,0.6936936936936937
p22,asr_hvg,3,L4,0.43928194297782475
p22,asr_hvg,3,L5,0.35720988426649986
p22,asr_hvg,3,L6a/b,0.7108307045215563
p22,asr_hvg,3,VL,0.0
p22,asr_hvg,3,ccg/aco,0.801699716713881
p22,asr_hvg,3,others,0.4195121951219512
p22,asr_hvg,4,ACB,0.5692222835079978
p22,asr_hvg,4,CP,0.8301693175987687
p22,asr_hvg,4,L1-L3,0.7269736842105264
p22,asr_hvg,4,L4,0.0
p22,asr_hvg,4,L5,0.3772348033373063
p22,asr_hvg,4,L6a/b,0.7083128381701919
p22,asr_hvg,4,VL,0.6354166666666667
p22,asr_hvg,4,ccg/aco,0.733993399339934
p22,asr_hvg,4,others,0.35648306534382485
p22,asr_rescue,0,ACB,0.593311758360302
p22,asr_rescue,0,CP,0.8320670683783076
p22,asr_rescue,0,L1-L3,0.6958499147242752
p22,asr_rescue,0,L4,0.45087900723888313
p22,asr_rescue,0,L5,0.0015527950310559007
p22,asr_rescue,0,L6a/b,0.7079002079002078
p22,asr_rescue,0,VL,0.10249307479224376
p22,asr_rescue,0,ccg/aco,0.7829727843684579
p22,asr_rescue,0,others,0.49913569576490924
p22,asr_rescue,1,ACB,0.6054347826086957
p22,asr_rescue,1,CP,0.8253798986936817
p22,asr_rescue,1,L1-L3,0.6868918145392101
p22,asr_rescue,1,L4,0.43891891891891893
p22,asr_rescue,1,L5,0.0
p22,asr_rescue,1,L6a/b,0.7025862068965516
p22,asr_rescue,1,VL,0.08547008547008547
p22,asr_rescue,1,ccg/aco,0.7746979388770433
p22,asr_rescue,1,others,0.5147210212065061
p22,asr_rescue,2,ACB,0.5944503735325508
p22,asr_rescue,2,CP,0.8190118152524167
p22,asr_rescue,2,L1-L3,0.7777777777777777
p22,asr_rescue,2,L4,0.0
p22,asr_rescue,2,L5,0.0
p22,asr_rescue,2,L6a/b,0.7020447906523856
p22,asr_rescue,2,VL,0.5772151898734177
p22,asr_rescue,2,ccg/aco,0.7734487734487735
p22,asr_rescue,2,others,0.5390524967989757
p22,asr_rescue,3,ACB,0.5190763052208834
p22,asr_rescue,3,CP,0.8174993528345845
p22,asr_rescue,3,L1-L3,0.6811180832857958
p22,asr_rescue,3,L4,0.4176795580110497
p22,asr_rescue,3,L5,0.0015710919088766694
p22,asr_rescue,3,L6a/b,0.7180277349768875
p22,asr_rescue,3,VL,0.1076487252124646
p22,asr_rescue,3,ccg/aco,0.7881918819188192
p22,asr_rescue,3,others,0.5293605915615485
p22,asr_rescue,4,ACB,0.6065747613997879
p22,asr_rescue,4,CP,0.8320974576271186
p22,asr_rescue,4,L1-L3,0.685195689166194
p22,asr_rescue,4,L4,0.43216080402010054
p22,asr_rescue,4,L5,0.0
p22,asr_rescue,4,L6a/b,0.7066741446999438
p22,asr_rescue,4,VL,0.11220196353436186
p22,asr_rescue,4,ccg/aco,0.7845836200963524
p22,asr_rescue,4,others,0.48809272918861957
p22,corrected_unweighted,0,ACB,0.5971615720524017
p22,corrected_unweighted,0,CP,0.8400929992250066
p22,corrected_unweighted,0,L1-L3,0.6826758147512865
p22,corrected_unweighted,0,L4,0.4275286757038582
p22,corrected_unweighted,0,L5,0.001519756838905775
