dataset,variant,seed,attention,alternative_0_mean,alternative_1_mean,alternative_0_sd_across_locations,max_row_sum_deviation
p22,asr_hvg,2,alpha_omics1,0.7641096115112305,0.23589034378528595,0.2027425765991211,1.1920928955078125e-07
p22,asr_hvg,2,alpha_omics2,0.824666440486908,0.17533348500728607,0.15574775636196136,1.1920928955078125e-07
p22,asr_hvg,2,alpha,0.5847554802894592,0.4152444899082184,0.43246790766716003,1.1920928955078125e-07
p22,asr_hvg,3,alpha_omics1,0.7510362863540649,0.24896369874477386,0.21788915991783142,1.1920928955078125e-07
p22,asr_hvg,3,alpha_omics2,0.7841309905052185,0.2158690243959427,0.1626109778881073,1.1920928955078125e-07
p22,asr_hvg,3,alpha,0.6436827778816223,0.35631728172302246,0.43772047758102417,1.1920928955078125e-07
p22,asr_hvg,4,alpha_omics1,0.7526395916938782,0.24736037850379944,0.21093672513961792,1.1920928955078125e-07
p22,asr_hvg,4,alpha_omics2,0.810154139995575,0.18984587490558624,0.1652490645647049,1.1920928955078125e-07
p22,asr_hvg,4,alpha,0.5751763582229614,0.4248236417770386,0.44690564274787903,1.1920928955078125e-07
p22,asr_rescue,0,alpha_omics1,0.7289696335792542,0.2710302770137787,0.3100767135620117,1.1920928955078125e-07
p22,asr_rescue,0,alpha_omics2,0.7550202012062073,0.2449798285961151,0.16296951472759247,1.1920928955078125e-07
p22,asr_rescue,0,alpha,0.7938327193260193,0.2061673402786255,0.36830708384513855,1.1920928955078125e-07
p22,asr_rescue,1,alpha_omics1,0.6970244646072388,0.30297553539276123,0.3450759947299957,1.1920928955078125e-07
p22,asr_rescue,1,alpha_omics2,0.7203897833824158,0.27961018681526184,0.16456365585327148,1.1920928955078125e-07
p22,asr_rescue,1,alpha,0.811127781867981,0.18887226283550262,0.35057124495506287,1.1920928955078125e-07
p22,asr_rescue,2,alpha_omics1,0.7447089552879333,0.25529104471206665,0.27263709902763367,1.1920928955078125e-07
p22,asr_rescue,2,alpha_omics2,0.7639485001564026,0.236051544547081,0.15680168569087982,1.1920928955078125e-07
p22,asr_rescue,2,alpha,0.7371920943260193,0.2628079354763031,0.4075978696346283,1.1920928955078125e-07
p22,asr_rescue,3,alpha_omics1,0.7276861667633057,0.2723138630390167,0.3155384659767151,1.1920928955078125e-07
p22,asr_rescue,3,alpha_omics2,0.7436652183532715,0.2563348114490509,0.15891768038272858,1.1920928955078125e-07
p22,asr_rescue,3,alpha,0.8141493201255798,0.18585073947906494,0.3521621823310852,1.1920928955078125e-07
p22,asr_rescue,4,alpha_omics1,0.7295928001403809,0.27040722966194153,0.2912258803844452,1.1920928955078125e-07
p22,asr_rescue,4,alpha_omics2,0.764888346195221,0.23511169850826263,0.15982592105865479,1.1920928955078125e-07
p22,asr_rescue,4,alpha,0.7538456916809082,0.2461543083190918,0.39732325077056885,1.1920928955078125e-07
p22,corrected_unweighted,0,alpha_omics1,0.7412953972816467,0.2587045729160309,0.21899886429309845,1.1920928955078125e-07
p22,corrected_unweighted,0,alpha_omics2,0.7888506650924683,0.21114930510520935,0.1624443084001541,1.1920928955078125e-07
p22,corrected_unweighted,0,alpha,0.6249500513076782,0.37504997849464417,0.4409628212451935,1.1920928955078125e-07
p22,corrected_unweighted,1,alpha_omics1,0.7480898499488831,0.25191017985343933,0.21007071435451508,1.1920928955078125e-07
p22,corrected_unweighted,1,alpha_omics2,0.8055621981620789,0.19443777203559875,0.16131535172462463,1.1920928955078125e-07
p22,corrected_unweighted,1,alpha,0.5662927031517029,0.4337072968482971,0.44647008180618286,1.1920928955078125e-07
p22,corrected_unweighted,2,alpha_omics1,0.7641783952713013,0.23582153022289276,0.2026839554309845,1.1920928955078125e-07
p22,corrected_unweighted,2,alpha_omics2,0.8250254392623901,0.17497454583644867,0.15524518489837646,1.1920928955078125e-07
p22,corrected_unweighted,2,alpha,0.5848910212516785,0.41510897874832153,0.43248289823532104,1.1920928955078125e-07
p22,corrected_unweighted,3,alpha_omics1,0.7511704564094543,0.24882955849170685,0.2177877426147461,1.1920928955078125e-07
p22,corrected_unweighted,3,alpha_omics2,0.7842084765434265,0.2157915085554123,0.16262197494506836,1.1920928955078125e-07
p22,corrected_unweighted,3,alpha,0.6437728404998779,0.3562271296977997,0.4376816749572754,1.1920928955078125e-07
