dataset,family,role,variant,candidate_id,absolute_ari,absolute_nmi,delta_ari_vs_input,delta_nmi_vs_input,min_cluster_size_full,partition_sha256
P22,RNA_CHROMATIN,FAMILY_DISCOVERY,INPUT_STRONG_START,INPUT_STRONG_START,0.5959576919633218,0.718005775236186,0.0,0.0,163,ce444fc82e04a3c0aa7c9b8b5a74a1e7f5ac0bd4a55d3a2d92bd39008b547e3d
P22,RNA_CHROMATIN,FAMILY_DISCOVERY,NIGHT15F_DIRECT,NIGHT15F_DIRECT_7833b4b9c9736e,0.5948372492388294,0.7157421095103025,-0.0011204427244924098,-0.0022636657258835458,164,719495be0baf552f0423d71d966c96201144ce21dee837a23ca4f71fbb1f7f22
P22,RNA_CHROMATIN,FAMILY_DISCOVERY,TSRE_FULL,TSRE_FULL_97c75ca6a9ca50,0.5961810503110561,0.7180634697788532,0.00022335834773423713,5.769454266713048e-05,165,9e89d2462281b39c5ec9f94dd0d930734dff97e2b34a6737978c52af29670744
P22,RNA_CHROMATIN,FAMILY_DISCOVERY,SUPPORT_MODULATION_ONLY,SUPPORT_MODULATION_ONLY_2c3a4f2d14aa68,0.5957914366194071,0.7173355189450162,-0.00016625534391467855,-0.0006702562911697907,166,9030cb8df111eb83554de64edb233f5c7cd88cc52778ab942b8d901a36cd7aa2
P22,RNA_CHROMATIN,FAMILY_DISCOVERY,BOUNDARY_OFF,BOUNDARY_OFF_99cf310e980aa9,0.5961810503110561,0.7180634697788532,0.00022335834773423713,5.769454266713048e-05,165,9e89d2462281b39c5ec9f94dd0d930734dff97e2b34a6737978c52af29670744
P22,RNA_CHROMATIN,FAMILY_DISCOVERY,CONFLICT_PRIVATE_OFF,CONFLICT_PRIVATE_OFF_f11e0249826948,0.5961810503110561,0.7180634697788532,0.00022335834773423713,5.769454266713048e-05,165,9e89d2462281b39c5ec9f94dd0d930734dff97e2b34a6737978c52af29670744
P22,RNA_CHROMATIN,FAMILY_DISCOVERY,REJECTED_MASS_STAY_OFF,REJECTED_MASS_STAY_OFF_cb4264e79b9a32,0.5630687150944539,0.6827141190286327,-0.032888976868867936,-0.03529165620755337,177,2e19d312f55cdabdac6fcc1b23f3100ced3b61539bd65ec0331c63319d240e88
P22,RNA_CHROMATIN,FAMILY_DISCOVERY,PURE_SUPPORT_POTTS_FULL,PURE_SUPPORT_POTTS_FULL_17ef5f1a19e479,0.5949447434617394,0.71686677540482,-0.0010129485015824002,-0.0011389998313660055,164,987dc5b3d2d283b0ce3815396421bc37e63981d5d8d55c6687de8b993d32cd24
MISAR_E15_5_S1,RNA_CHROMATIN,FAMILY_DISCOVERY_ROLE_REVISED_BEFORE_NEW_UNIT_EVALUATION,INPUT_STRONG_START,INPUT_STRONG_START,0.5416365903694235,0.6669488935833198,0.0,0.0,125,1e7f48d5c56302ba7e728af2f70df32fe0f52f3dc49d1118ad2509ce58675829
MISAR_E15_5_S1,RNA_CHROMATIN,FAMILY_DISCOVERY_ROLE_REVISED_BEFORE_NEW_UNIT_EVALUATION,NIGHT15F_DIRECT,NIGHT15F_DIRECT_7833b4b9c9736e,0.5353060549066526,0.658264645807069,-0.006330535462770848,-0.008684247776250764,125,c93cabc50ce7b0988180a9d16eefcced1ea8f54f413b346bc8976dc7bc1e4363
MISAR_E15_5_S1,RNA_CHROMATIN,FAMILY_DISCOVERY_ROLE_REVISED_BEFORE_NEW_UNIT_EVALUATION,TSRE_FULL,TSRE_FULL_97c75ca6a9ca50,0.5419324739739171,0.6658671894979475,0.0002958836044936186,-0.001081704085372226,125,dc9f9b78913a8dde5e01c88552b335f8c511f07dd4b46972bc4a282e374ac926
MISAR_E15_5_S1,RNA_CHROMATIN,FAMILY_DISCOVERY_ROLE_REVISED_BEFORE_NEW_UNIT_EVALUATION,SUPPORT_MODULATION_ONLY,SUPPORT_MODULATION_ONLY_2c3a4f2d14aa68,0.5383196317857889,0.6612012533725864,-0.003316958583634566,-0.0057476402107333735,125,ead4425e10d3b31479e8ef2c41d6ad83671f90ea8f5c08c23ac1b6b0a4081b6f
MISAR_E15_5_S1,RNA_CHROMATIN,FAMILY_DISCOVERY_ROLE_REVISED_BEFORE_NEW_UNIT_EVALUATION,BOUNDARY_OFF,BOUNDARY_OFF_99cf310e980aa9,0.5419324739739171,0.6658671894979475,0.0002958836044936186,-0.001081704085372226,125,dc9f9b78913a8dde5e01c88552b335f8c511f07dd4b46972bc4a282e374ac926
MISAR_E15_5_S1,RNA_CHROMATIN,FAMILY_DISCOVERY_ROLE_REVISED_BEFORE_NEW_UNIT_EVALUATION,CONFLICT_PRIVATE_OFF,CONFLICT_PRIVATE_OFF_f11e0249826948,0.5419324739739171,0.6658671894979475,0.0002958836044936186,-0.001081704085372226,125,dc9f9b78913a8dde5e01c88552b335f8c511f07dd4b46972bc4a282e374ac926
MISAR_E15_5_S1,RNA_CHROMATIN,FAMILY_DISCOVERY_ROLE_REVISED_BEFORE_NEW_UNIT_EVALUATION,REJECTED_MASS_STAY_OFF,REJECTED_MASS_STAY_OFF_cb4264e79b9a32,0.5275694091887158,0.6501947865313031,-0.01406718118070771,-0.01675410705201663,132,3620b4f9836df5552f80770d3c77889c50d53e0d62e49af039e4ab50024e64ca
MISAR_E15_5_S1,RNA_CHROMATIN,FAMILY_DISCOVERY_ROLE_REVISED_BEFORE_NEW_UNIT_EVALUATION,PURE_SUPPORT_POTTS_FULL,PURE_SUPPORT_POTTS_FULL_17ef5f1a19e479,0.5415539396067717,0.666821510626298,-8.26507626517925e-05,-0.00012738295702174884,125,a1c8eec45e4e2b01924278b229782f23ec140a2ff456fd4b3568efe0dfcee761
MULTIGATE_HUMAN_HIPPOCAMPUS,RNA_CHROMATIN,INDEPENDENT_FROZEN_OPERATOR_TRANSFER,INPUT_STRONG_START,INPUT_STRONG_START,0.1657336868947469,0.2631898402663674,0.0,0.0,48,88f57f0f5a8c8801cf03b0debdcf38697479b6d05777b501f02be23b4468c9ed
MULTIGATE_HUMAN_HIPPOCAMPUS,RNA_CHROMATIN,INDEPENDENT_FROZEN_OPERATOR_TRANSFER,NIGHT15F_DIRECT,NIGHT15F_DIRECT_7833b4b9c9736e,0.1675095128890754,0.2667558803103532,0.0017758259943284893,0.0035660400439858075,53,6c6c334d93ecde6865c4b5b45757ddf0a971e60dfa6f1f0ca85877dd10902159
MULTIGATE_HUMAN_HIPPOCAMPUS,RNA_CHROMATIN,INDEPENDENT_FROZEN_OPERATOR_TRANSFER,TSRE_FULL,TSRE_FULL_97c75ca6a9ca50,0.5155650158912327,0.5096793712429872,0.34983132899648584,0.24648953097661985,51,a5ae9d4b652b12ea1f3427dfcc66cf320425cbc954ecb8642aa26a83bc08dc2b
MULTIGATE_HUMAN_HIPPOCAMPUS,RNA_CHROMATIN,INDEPENDENT_FROZEN_OPERATOR_TRANSFER,SUPPORT_MODULATION_ONLY,SUPPORT_MODULATION_ONLY_2c3a4f2d14aa68,0.5448772370426253,0.5577946770986344,0.37914355014787837,0.294604836832267,33,38304677a026b0b4064c51e8f4e717eb495f6b0ba8de84bd65ddea829f2d1558
MULTIGATE_HUMAN_HIPPOCAMPUS,RNA_CHROMATIN,INDEPENDENT_FROZEN_OPERATOR_TRANSFER,BOUNDARY_OFF,BOUNDARY_OFF_99cf310e980aa9,0.5155650158912327,0.5096793712429872,0.34983132899648584,0.24648953097661985,51,a5ae9d4b652b12ea1f3427dfcc66cf320425cbc954ecb8642aa26a83bc08dc2b
MULTIGATE_HUMAN_HIPPOCAMPUS,RNA_CHROMATIN,INDEPENDENT_FROZEN_OPERATOR_TRANSFER,CONFLICT_PRIVATE_OFF,CONFLICT_PRIVATE_OFF_f11e0249826948,0.5155650158912327,0.5096793712429872,0.34983132899648584,0.24648953097661985,51,a5ae9d4b652b12ea1f3427dfcc66cf320425cbc954ecb8642aa26a83bc08dc2b
MULTIGATE_HUMAN_HIPPOCAMPUS,RNA_CHROMATIN,INDEPENDENT_FROZEN_OPERATOR_TRANSFER,REJECTED_MASS_STAY_OFF,REJECTED_MASS_STAY_OFF_cb4264e79b9a32,0.1675095128890754,0.2667558803103532,0.0017758259943284893,0.0035660400439858075,53,6c6c334d93ecde6865c4b5b45757ddf0a971e60dfa6f1f0ca85877dd10902159
MULTIGATE_HUMAN_HIPPOCAMPUS,RNA_CHROMATIN,INDEPENDENT_FROZEN_OPERATOR_TRANSFER,PURE_SUPPORT_POTTS_FULL,PURE_SUPPORT_POTTS_FULL_17ef5f1a19e479,0.2416828716824868,0.3253195953108135,0.0759491847877399,0.06212975504444612,51,972ac6a6733c83351f06471c67464615c0dc4948c28374d795b010bc1b0f90ef
