dataset,tissue,protein_target,control,known_structured,shared_oof_r2,bootstrap_stability,p_boot,morans_i,spatial_excess,p_space,combined_evidence
d1,lymph_node,CR2,MATCHED_IID,0,,0.7081812071534275,0.6666666666666666,0.0047220578899041105,0.003862026299623328,0.7,0.6831300510639732
d1,lymph_node,PCNA,MATCHED_IID,0,,0.7092060687408444,0.6666666666666666,0.0005394078086468025,0.0009978460354587997,0.605,0.6350852961085883
d1,lymph_node,VIM,MATCHED_IID,0,,0.6964277993145591,0.21212121212121213,-0.004599709231948954,-0.0036646272208843353,0.345,0.2705213821157547
d1,lymph_node,KRT5,MATCHED_IID,0,,0.6898190202144405,0.09090909090909091,0.0016139432381917331,0.0016071051733445834,0.565,0.226635470223962
d1,lymph_node,CD68,MATCHED_IID,0,,0.7016862553364993,0.48484848484848486,0.0022876241336512644,0.0021830756655113535,0.62,0.5482755334738735
d1,lymph_node,CEACAM8,MATCHED_IID,0,,0.7062868724517168,0.5454545454545454,-0.003999285769387031,-0.0031654346511524375,0.36,0.44312936752559784
d1,lymph_node,PTPRC,MATCHED_IID,0,,0.7054182291369507,0.5757575757575758,0.0018629758748827314,0.0033850695567572407,0.69,0.6302957458786528
d1,lymph_node,PAX5,MATCHED_IID,0,,0.7046550790339368,0.5151515151515151,-0.00218024172339399,-0.0018790484601604361,0.395,0.45109294883077977
d1,lymph_node,SDC1,MATCHED_IID,0,,0.7161562240582691,0.8787878787878788,-0.0009009492149809784,-0.0002855650526406261,0.455,0.6323357374437134
d1,lymph_node,CD8A,MATCHED_IID,0,,0.6909715090784705,0.030303030303030304,-0.00970720456765284,-0.010095623829308264,0.07,0.046056618647183835
d1,lymph_node,BCL2,MATCHED_IID,0,,0.7034150923875577,0.5454545454545454,-0.0022923724283645986,-0.0023318370231458926,0.37,0.4492417854765759
d1,lymph_node,CD19,MATCHED_IID,0,,0.7070108679969607,0.5151515151515151,0.0010863590812390201,0.0017452358182829795,0.595,0.5536381051870902
d1,lymph_node,PDCD1,MATCHED_IID,0,,0.7206343470071935,0.9393939393939394,0.02109355556575197,0.02154664172243949,1.0,0.9692233691951198
d1,lymph_node,ACTA2,MATCHED_IID,0,,0.6792519364912857,0.06060606060606061,-0.0072034905563515585,-0.0075040468684409185,0.17,0.10150384378451047
d1,lymph_node,FCGR3A,MATCHED_IID,0,,0.6985466709631749,0.36363636363636365,-0.0067407774395794135,-0.00693801390137694,0.185,0.2593698657761292
d1,lymph_node,ITGAX,MATCHED_IID,0,,0.721745986808852,0.9090909090909091,-0.003135413264952867,-0.0029191558351782483,0.345,0.560032466591325
d1,lymph_node,CXCR5,MATCHED_IID,0,,0.6948990105574872,0.30303030303030304,-0.0033562259625032472,-0.0033067450650809353,0.34,0.32098333762097847
d1,lymph_node,EPCAM,MATCHED_IID,0,,0.7007493309977497,0.48484848484848486,0.004721252661706646,0.0042808096947037485,0.715,0.5887840577551898
d1,lymph_node,MS4A1,MATCHED_IID,0,,0.7241867299299317,1.0,0.013412989671476182,0.014338757714608453,0.975,0.9874208829065749
d1,lymph_node,CD3E,MATCHED_IID,0,,0.7316479305937045,1.0,0.01883826596775041,0.017977172974483407,0.99,0.99498743710662
d1,lymph_node,CD14,MATCHED_IID,0,,0.7040889058923206,0.696969696969697,0.007674556116447583,0.008727788513968644,0.885,0.7853777319342469
d1,lymph_node,CD40,MATCHED_IID,0,,0.7161827877054013,0.8181818181818182,0.0008174955186052762,0.0006247657726959453,0.555,0.6738626782148639
d1,lymph_node,PECAM1,MATCHED_IID,0,,0.7104956296577967,0.8181818181818182,0.0033403018404642884,0.0035796459413152035,0.7,0.7567874686642695
d1,lymph_node,CD4,MATCHED_IID,0,,0.7039656204892212,0.5757575757575758,-0.009297299821233628,-0.008668285691695775,0.085,0.22122249871881014
d1,lymph_node,ITGAM,MATCHED_IID,0,,0.7266659090708842,1.0,0.011049676592621011,0.010542490630470054,0.925,0.9617692030835673
d1,lymph_node,CD27,MATCHED_IID,0,,0.7204483605244916,0.9393939393939394,0.004691654748299586,0.004230915118008973,0.705,0.8138014053027478
d1,lymph_node,CCR7,MATCHED_IID,0,,0.7169714065588585,0.9696969696969697,0.012221383023769728,0.012946025101084143,0.985,0.9773185331055148
d1,lymph_node,CD274,MATCHED_IID,0,,0.7197429958630099,0.9696969696969697,0.014473170767233041,0.015203092525274195,0.975,0.9723448696087954
d1,lymph_node,CD163,COORDINATE_GRAPH_PERMUTATION,0,,0.7054059089653657,0.5454545454545454,0.0007888593781735626,0.0010355391494278367,0.55,0.5477225575051661
