ablation,dataset,metric,scope,n_finite,n_missing,positive_delta_count,negative_delta_count,tie_count,full_win_count_corrected,direction,full_win_rule,delta_definition,delta_mean,delta_sd
UNIFORM_CROSS,a1,spatial_neighbor_agreement,five_seed,5,0,2,3,0,2,higher_is_better,delta > 0,FULL_IGE - ABLATION,-0.01269613471106008,0.03843031060473983
UNIFORM_CROSS,placenta,spatial_neighbor_agreement,five_seed,5,0,0,5,0,0,higher_is_better,delta > 0,FULL_IGE - ABLATION,-0.137424789410349,0.010717759724304122
UNIFORM_CROSS,p22,spatial_neighbor_agreement,five_seed,5,0,0,5,0,0,higher_is_better,delta > 0,FULL_IGE - ABLATION,-0.04409389952153111,0.008532105689015298
UNIFORM_CROSS,ALL,spatial_neighbor_agreement,fifteen_seed,15,0,2,13,0,2,higher_is_better,delta > 0,FULL_IGE - ABLATION,-0.06473827454764673,0.05900831890872361
UNIFORM_CROSS,a1,spatial_cluster_moran_mean,five_seed,5,0,0,5,0,0,higher_is_better,delta > 0,FULL_IGE - ABLATION,-0.030837189896285346,0.012648416992866292
UNIFORM_CROSS,placenta,spatial_cluster_moran_mean,five_seed,5,0,0,5,0,0,higher_is_better,delta > 0,FULL_IGE - ABLATION,-0.12889997726145366,0.024199286485850145
UNIFORM_CROSS,p22,spatial_cluster_moran_mean,five_seed,5,0,0,5,0,0,higher_is_better,delta > 0,FULL_IGE - ABLATION,-0.03471934172353397,0.006179435468726949
UNIFORM_CROSS,ALL,spatial_cluster_moran_mean,fifteen_seed,15,0,0,15,0,0,higher_is_better,delta > 0,FULL_IGE - ABLATION,-0.06481883629375766,0.049259310817626016
UNIFORM_CROSS,a1,spatial_cluster_geary_mean,five_seed,5,0,5,0,0,0,lower_is_better,delta < 0,FULL_IGE - ABLATION,0.030350491645186384,0.01444155123760492
UNIFORM_CROSS,placenta,spatial_cluster_geary_mean,five_seed,5,0,3,2,0,2,lower_is_better,delta < 0,FULL_IGE - ABLATION,0.02054551793272432,0.031665805822558506
UNIFORM_CROSS,p22,spatial_cluster_geary_mean,five_seed,5,0,5,0,0,0,lower_is_better,delta < 0,FULL_IGE - ABLATION,0.034770468084373424,0.005394820910509595
UNIFORM_CROSS,ALL,spatial_cluster_geary_mean,fifteen_seed,15,0,13,2,0,2,lower_is_better,delta < 0,FULL_IGE - ABLATION,0.028555492554094713,0.01980544873235138
UNIFORM_CROSS,a1,boundary_disagreement,five_seed,5,0,3,2,0,2,lower_is_better,delta < 0,FULL_IGE - ABLATION,0.01269613471106008,0.03843031060473983
UNIFORM_CROSS,placenta,boundary_disagreement,five_seed,5,0,5,0,0,0,lower_is_better,delta < 0,FULL_IGE - ABLATION,0.13742478941034902,0.010717759724304134
UNIFORM_CROSS,p22,boundary_disagreement,five_seed,5,0,5,0,0,0,lower_is_better,delta < 0,FULL_IGE - ABLATION,0.04409389952153111,0.008532105689015298
UNIFORM_CROSS,ALL,boundary_disagreement,fifteen_seed,15,0,13,2,0,2,lower_is_better,delta < 0,FULL_IGE - ABLATION,0.06473827454764673,0.05900831890872362
UNIFORM_ALL,a1,ari,five_seed,5,0,2,3,0,2,higher_is_better,delta > 0,FULL_IGE - ABLATION,-0.008655425557405793,0.01658582510050274
UNIFORM_ALL,placenta,ari,five_seed,5,0,0,5,0,0,higher_is_better,delta > 0,FULL_IGE - ABLATION,-0.12382222022821351,0.038262836817641296
UNIFORM_ALL,p22,ari,five_seed,5,0,2,3,0,2,higher_is_better,delta > 0,FULL_IGE - ABLATION,0.010270034541510941,0.057652245299552186
UNIFORM_ALL,ALL,ari,fifteen_seed,15,0,4,11,0,4,higher_is_better,delta > 0,FULL_IGE - ABLATION,-0.0407358704147028,0.07217150045679778
UNIFORM_ALL,a1,nmi,five_seed,5,0,2,3,0,2,higher_is_better,delta > 0,FULL_IGE - ABLATION,-0.009425909464889193,0.012423118613204838
UNIFORM_ALL,placenta,nmi,five_seed,5,0,0,5,0,0,higher_is_better,delta > 0,FULL_IGE - ABLATION,-0.11190536316803398,0.030412229375543127
UNIFORM_ALL,p22,nmi,five_seed,5,0,4,1,0,4,higher_is_better,delta > 0,FULL_IGE - ABLATION,0.017021129561064628,0.019531775856882778
UNIFORM_ALL,ALL,nmi,fifteen_seed,15,0,6,9,0,6,higher_is_better,delta > 0,FULL_IGE - ABLATION,-0.03477004769061952,0.06107106676754923
UNIFORM_ALL,a1,spatial_neighbor_agreement,five_seed,5,0,4,1,0,4,higher_is_better,delta > 0,FULL_IGE - ABLATION,0.00947187141216994,0.006614084594828879
UNIFORM_ALL,placenta,spatial_neighbor_agreement,five_seed,5,0,5,0,0,5,higher_is_better,delta > 0,FULL_IGE - ABLATION,0.06787003610108305,0.025961144228305564
UNIFORM_ALL,p22,spatial_neighbor_agreement,five_seed,5,0,1,4,0,1,higher_is_better,delta > 0,FULL_IGE - ABLATION,-0.006962266202696821,0.011034399820689853
UNIFORM_ALL,ALL,spatial_neighbor_agreement,fifteen_seed,15,0,10,5,0,10,higher_is_better,delta > 0,FULL_IGE - ABLATION,0.023459880436852057,0.036669476465995984
