stage,candidate_id,unit_id,dataset,seed,status,success,runtime_seconds,ari,nmi,q,neighbor_agreement,moran_i,geary_c,boundary_disagreement
T,T03_GLOBAL_CONSERVATIVE,u028,p22,8,success,True,43.4537050165236,0.49998014622585435,0.6442167960421119,0.5720984711339832,0.903089609675646,0.859677029840095,0.14094988854038215,0.096910390324354
T,T03_GLOBAL_CONSERVATIVE,u029,p22,9,success,True,47.0209285300225,0.5140841588161732,0.6575769971571301,0.5858305779866517,0.9023089609675646,0.8531417061298594,0.14781525376120874,0.09769103903243537
T,T04_HARD_CONFLICT_030,u000,a1,0,success,True,2.3491301853209734,0.2786639728592119,0.41595088134732444,0.3473074271032682,0.6229124530482519,0.5555929151046902,0.4572580844847945,0.37708754695174806
T,T04_HARD_CONFLICT_030,u001,a1,1,success,True,2.3267762549221516,0.26811430715143486,0.41262059632315534,0.3403674517372951,0.6320716555908696,0.5611294787683165,0.4515975707517693,0.36792834440913036
T,T04_HARD_CONFLICT_030,u002,a1,2,success,True,2.4525837060064077,0.2719510166492657,0.4118650189484226,0.34190801779884417,0.6280843686795724,0.5438264999618492,0.4683172699554171,0.3719156313204276
T,T04_HARD_CONFLICT_030,u003,a1,3,success,True,2.7307390719652176,0.2709368297947296,0.41374796462629615,0.34234239721051285,0.6400173360300491,0.5735832181491127,0.4393612194255677,0.35998266396995093
T,T04_HARD_CONFLICT_030,u004,a1,4,success,True,2.3072256818413734,0.25869433397666464,0.39208231415396216,0.3253883240653134,0.6334585379947992,0.5790211679865457,0.43573922417616295,0.36654146200520077
T,T04_HARD_CONFLICT_030,u005,tonsil,0,success,True,2.04669501632452,0.14887831019593797,0.2711645566077152,0.2100214334018266,0.7212574090730874,0.5754789727598577,0.421614224710868,0.27874259092691256
T,T04_HARD_CONFLICT_030,u006,tonsil,1,success,True,1.9502504151314497,0.14843280784979904,0.26994689786744036,0.20918985285861968,0.7228718374501257,0.5786731487897868,0.41840144666747864,0.27712816254987427
T,T04_HARD_CONFLICT_030,u007,tonsil,2,success,True,1.8446058426052332,0.1527949856276461,0.2710084688291184,0.21190172722838224,0.7214880416983787,0.5775961397196572,0.4195507889696927,0.27851195830162134
T,T04_HARD_CONFLICT_030,u008,tonsil,3,success,True,2.092165283858776,0.15142805548484606,0.2694149034007518,0.21042147944279893,0.7220415599990775,0.5778585207496696,0.4192238533202837,0.2779584400009225
T,T04_HARD_CONFLICT_030,u009,tonsil,4,success,True,2.094379799440503,0.15199814108382878,0.27111374303784275,0.21155594206083578,0.7219031804239028,0.5770600102330309,0.42022810563728574,0.2780968195760972
T,T04_HARD_CONFLICT_030,u010,d1,0,success,True,2.6936745923012495,0.23711554249538916,0.3757444765980158,0.30643000954670246,0.6319602442821219,0.5720742673989238,0.4374597260022778,0.36803975571787806
T,T04_HARD_CONFLICT_030,u011,d1,1,success,True,1.9738870896399021,0.2546662621398905,0.3823764857838178,0.31852137396185415,0.6297150041911148,0.5698453332818786,0.4390113952335512,0.3702849958088852
T,T04_HARD_CONFLICT_030,u012,d1,2,success,True,2.1983658596873283,0.22784592313459096,0.3779332390311308,0.3028895810828609,0.6426475871153156,0.5761656447327594,0.43330509366053055,0.35735241288468444
T,T04_HARD_CONFLICT_030,u013,d1,3,success,True,2.8259595073759556,0.2460912888738005,0.38364868721064577,0.3148699880422231,0.6269009699437194,0.5608339685656051,0.44815331006930714,0.37309903005628064
T,T04_HARD_CONFLICT_030,u014,d1,4,success,True,2.112352257594466,0.23662814116118755,0.37193906080602257,0.3042836009836051,0.6306729732966112,0.5661429059537599,0.44288792394820886,0.3693270267033888
T,T04_HARD_CONFLICT_030,u015,d1,5,success,True,2.577226936817169,0.24715677070178155,0.37884548985329464,0.31300113027753806,0.6331277691294456,0.559460526633289,0.4491583946979006,0.3668722308705544
T,T04_HARD_CONFLICT_030,u016,d1,6,success,True,2.929853554815054,0.2326598721847101,0.3725309619204649,0.3025954170525875,0.6306131002275177,0.5694744969100982,0.440651369741553,0.3693868997724823
T,T04_HARD_CONFLICT_030,u017,d1,7,success,True,2.292318884283304,0.23354625079164712,0.37295721498170875,0.30325173288667795,0.6412405699916177,0.5848726629252672,0.42480680340065946,0.3587594300083823
T,T04_HARD_CONFLICT_030,u018,d1,8,success,True,2.2707214765250683,0.2343378082969623,0.37309381651451323,0.30371581240573775,0.6273200814273739,0.5626177028329209,0.44639281207227377,0.37267991857262606
T,T04_HARD_CONFLICT_030,u019,d1,9,success,True,2.79157498665154,0.250687317211291,0.38036392650126666,0.31552562185627886,0.6356125014968267,0.5719435180225507,0.4385071295616426,0.3643874985031733
T,T04_HARD_CONFLICT_030,u020,p22,0,success,True,42.29067174717784,0.5046384715655635,0.6493869538731077,0.5770127127193356,0.902803738317757,0.8603269171438568,0.1406440706026082,0.09719626168224305
T,T04_HARD_CONFLICT_030,u021,p22,1,success,True,46.05327893793583,0.48945641511367033,0.6404997200612079,0.5649780675874392,0.9006267179769104,0.8598535141111571,0.14129548056443914,0.09937328202308959
T,T04_HARD_CONFLICT_030,u022,p22,2,success,True,52.38523891568184,0.5016200491003711,0.6453598889439424,0.5734899690221567,0.9019791094007696,0.8560728552090394,0.14516348951528404,0.09802089059923036
T,T04_HARD_CONFLICT_030,u023,p22,3,success,True,44.518270533531904,0.5123217999367473,0.6557121375215879,0.5840169687291676,0.9057284222100055,0.8613219481899288,0.1396907905532001,0.09427157778999451
T,T04_HARD_CONFLICT_030,u024,p22,4,success,True,35.439221965149045,0.49982989057326377,0.6542981154480175,0.5770640030106406,0.9112699285321605,0.8716483339622432,0.13032926823770347,0.08873007146783951
T,T04_HARD_CONFLICT_030,u025,p22,5,success,True,47.37952095270157,0.5003461200225414,0.647410277481229,0.5738781987518853,0.905519516217702,0.8655306276056378,0.135668540609734,0.09448048378229801
T,T04_HARD_CONFLICT_030,u026,p22,6,success,True,32.99151215329766,0.5089218478599297,0.6538796674585907,0.5814007576592601,0.9061682242990654,0.8601966127640015,0.14060068536912096,0.0938317757009346
T,T04_HARD_CONFLICT_030,u027,p22,7,success,True,36.72163092158735,0.49507784443411296,0.644768966400337,0.569923405417225,0.9047388675096206,0.862962793718537,0.13788386073239917,0.09526113249037937
T,T04_HARD_CONFLICT_030,u028,p22,8,success,True,42.12668021954596,0.502415076387396,0.6475222023623223,0.5749686393748592,0.9040021990104453,0.8601938337203937,0.14065878642395035,0.09599780098955468
T,T04_HARD_CONFLICT_030,u029,p22,9,success,True,51.34111585654318,0.5140841588161732,0.6575769971571301,0.5858305779866517,0.9023089609675646,0.8531417061298594,0.14781525376120874,0.09769103903243537
T,T05_LOCAL_CONFLICT,u000,a1,0,success,True,2.4283577762544155,0.2786639728592119,0.41595088134732444,0.3473074271032682,0.6229124530482519,0.5555929151046902,0.4572580844847945,0.37708754695174806
T,T05_LOCAL_CONFLICT,u001,a1,1,success,True,2.6875078305602074,0.26795842540581044,0.41302580194827604,0.34049211367704324,0.6317827217567177,0.5605522166095718,0.45226971793380066,0.3682172782432823
T,T05_LOCAL_CONFLICT,u002,a1,2,success,True,2.502398746088147,0.2719510166492657,0.4118650189484226,0.34190801779884417,0.6280843686795724,0.5438264999618492,0.4683172699554171,0.3719156313204276
T,T05_LOCAL_CONFLICT,u003,a1,3,success,True,2.6933640465140343,0.2709368297947296,0.41374796462629615,0.34234239721051285,0.6400173360300491,0.5735832181491127,0.4393612194255677,0.35998266396995093
T,T05_LOCAL_CONFLICT,u004,a1,4,success,True,2.203995991498232,0.25869433397666464,0.39208231415396216,0.3253883240653134,0.6334585379947992,0.5790211679865457,0.43573922417616295,0.36654146200520077
T,T05_LOCAL_CONFLICT,u005,tonsil,0,success,True,1.9843491036444902,0.14887831019593797,0.2711645566077152,0.2100214334018266,0.7212574090730874,0.5754789727598577,0.421614224710868,0.27874259092691256
T,T05_LOCAL_CONFLICT,u006,tonsil,1,success,True,2.135170793160796,0.14843280784979904,0.26994689786744036,0.20918985285861968,0.7228718374501257,0.5786731487897868,0.41840144666747864,0.27712816254987427
T,T05_LOCAL_CONFLICT,u007,tonsil,2,success,True,1.9844974521547556,0.1527949856276461,0.2710084688291184,0.21190172722838224,0.7214880416983787,0.5775961397196572,0.4195507889696927,0.27851195830162134
T,T05_LOCAL_CONFLICT,u008,tonsil,3,success,True,2.4446122143417597,0.15142805548484606,0.2694149034007518,0.21042147944279893,0.7220415599990775,0.5778585207496696,0.4192238533202837,0.2779584400009225
T,T05_LOCAL_CONFLICT,u009,tonsil,4,success,True,2.216567015275359,0.1498565268005207,0.2674487202379333,0.208652623519227,0.7221338130491939,0.5792835349441205,0.4180894187629554,0.2778661869508061
T,T05_LOCAL_CONFLICT,u010,d1,0,success,True,2.986591711640358,0.23681329187786027,0.3757938086562146,0.3063035502670374,0.6320799904203089,0.5718389427935561,0.4377834326446469,0.36792000957969107
T,T05_LOCAL_CONFLICT,u011,d1,1,success,True,2.462506277486682,0.2542876643645904,0.383566283042389,0.31892697370348966,0.6314213866602802,0.5693300517648502,0.4397101024238069,0.36857861333971975
T,T05_LOCAL_CONFLICT,u012,d1,2,success,True,2.33008374273777,0.22784592313459096,0.3779332390311308,0.3028895810828609,0.6426475871153156,0.5761656447327594,0.43330509366053055,0.35735241288468444
T,T05_LOCAL_CONFLICT,u013,d1,3,success,True,2.573859442025423,0.2460912888738005,0.38364868721064577,0.3148699880422231,0.6269009699437194,0.5608339685656051,0.44815331006930714,0.37309903005628064
T,T05_LOCAL_CONFLICT,u014,d1,4,success,True,2.6888018772006035,0.23703560769858573,0.3749027861530572,0.3059691969258215,0.6295952580529278,0.5660006579868151,0.44300240454717477,0.3704047419470722
T,T05_LOCAL_CONFLICT,u015,d1,5,success,True,3.1827113181352615,0.24834883513864722,0.3813984975938421,0.31487366636624464,0.6319303077475752,0.5594449114538121,0.44924378583928554,0.3680696922524248
T,T05_LOCAL_CONFLICT,u016,d1,6,success,True,2.8050060737878084,0.2326598721847101,0.3725309619204649,0.3025954170525875,0.6306131002275177,0.5694744969100982,0.440651369741553,0.3693868997724823
