candidate_id,dataset,successful_cells,expected_cells,complete,mean_ari,mean_delta_ari,median_delta_ari,sd_delta_ari,wins_delta_ari,mean_nmi,mean_delta_nmi,median_delta_nmi,sd_delta_nmi,wins_delta_nmi,mean_q,mean_delta_q,median_delta_q,sd_delta_q,wins_delta_q,mean_neighbor_agreement,mean_delta_neighbor_agreement,median_delta_neighbor_agreement,sd_delta_neighbor_agreement,wins_delta_neighbor_agreement,mean_moran_i,mean_delta_moran_i,median_delta_moran_i,sd_delta_moran_i,wins_delta_moran_i,mean_geary_c,mean_delta_geary_c,median_delta_geary_c,sd_delta_geary_c,wins_delta_geary_c,mean_boundary_disagreement,mean_delta_boundary_disagreement,median_delta_boundary_disagreement,sd_delta_boundary_disagreement,wins_delta_boundary_disagreement
C06_DUAL_ROW_STOCHASTIC_MEAN,d1,10,10,True,0.24824447804630906,0.03874348096252104,0.04236991052233219,0.01772963717872882,10.0,0.3815161117732503,0.03282494724659451,0.030726909477705316,0.011982616735409846,10.0,0.3148802949097797,0.035784214104557774,0.036548410000018766,0.014719194337119636,10.0,0.650628667225482,0.02539216860256256,0.018800143695365812,0.02150022097867496,9.0,0.5901992938396456,0.01813189202214005,0.012661324865998635,0.028122149233055848,7.0,0.41929168572659997,-0.013794293630743809,-0.007641623172810086,0.02796836764236525,7.0,0.34937133277451804,-0.02539216860256256,-0.018800143695365812,0.02150022097867496,9.0
C06_DUAL_ROW_STOCHASTIC_MEAN,p22,10,10,True,0.47225466436307234,0.06834247696889047,0.07539543629234685,0.017852126401589456,10.0,0.6284350162148888,0.08460357654750653,0.08988357003432274,0.014443933171595777,10.0,0.5503448402889806,0.07647302675819849,0.08343770804439088,0.01598067233100961,10.0,0.9084178119846069,0.09747333699835074,0.10049477735019247,0.012321806842667654,10.0,0.8680449096020455,0.10111943766080866,0.09918202545932692,0.011558096694779503,10.0,0.133198824532296,-0.1045163566595662,-0.10384410830635121,0.01159624248817269,10.0,0.09158218801539307,-0.09747333699835074,-0.10049477735019247,0.012321806842667654,10.0
C07_DUAL_LOCAL_RELIABILITY,a1,5,5,True,0.26627167414980085,-0.0053238479828180306,-0.00503826569848026,0.00440530427294141,1.0,0.4033444737317519,0.013601461425289197,0.012468815077872675,0.004509338909617823,5.0,0.33480807394077633,0.004138806721235589,0.004021678259619188,0.004368371043302178,4.0,0.6462583068477319,0.06321294423577002,0.06963305403062703,0.03371271260323662,5.0,0.5832218254412062,0.08437673023953558,0.09475661028243554,0.030693443762759974,5.0,0.42937010109119483,-0.07632771336628721,-0.08607314540812377,0.029016117645446475,5.0,0.35374169315226817,-0.06321294423577002,-0.06963305403062703,0.03371271260323662,5.0
C07_DUAL_LOCAL_RELIABILITY,tonsil,5,5,True,0.14893362058702234,0.06335640544328731,0.08316996527669447,0.041726423504848814,4.0,0.27038611969892595,0.0967398056155245,0.11390853741782059,0.04267902755638309,5.0,0.2096598701429741,0.0800481055294059,0.09853925134725752,0.04191154519369633,5.0,0.7227242325699393,-0.012205078530408909,-0.03228856754076426,0.03447752332391755,1.0,0.582459791483743,0.0024598276220949345,-0.001943290839923062,0.020851823107501215,2.0,0.4150821651212972,-0.0031965198972223165,0.0020204407981352923,0.02090597074713784,2.0,0.27727576743006066,0.012205078530408909,0.03228856754076426,0.03447752332391755,1.0
C07_DUAL_LOCAL_RELIABILITY,d1,10,10,True,0.24721838792669598,0.03771739084290798,0.033944065154138364,0.015121180121280872,10.0,0.38165051326627975,0.03295934873962395,0.02955942255327501,0.011713785907571416,10.0,0.3144344505964879,0.035338369791265964,0.031523229144883286,0.01322907293094689,10.0,0.6463746856663872,0.02113818704346785,0.018410968746257972,0.02330356392187487,8.0,0.5860258966326126,0.01395849481510696,0.007959709285354777,0.029443203947717544,7.0,0.4234946583845889,-0.009591320972754913,-0.0037825146485638006,0.029498731237953043,6.0,0.3536253143336127,-0.02113818704346785,-0.018410968746257972,0.02330356392187487,8.0
C07_DUAL_LOCAL_RELIABILITY,p22,10,10,True,0.451889234277094,0.04797704688291203,0.05095213278724761,0.024774325116464095,10.0,0.6165698782456611,0.07273843857827886,0.07593759613592332,0.017540122120773112,10.0,0.5342295562613775,0.06035774273059542,0.06287552230445104,0.020979525402891348,10.0,0.9093128092358439,0.0983683342495877,0.10143485431555799,0.013418231080493385,10.0,0.8670662728926544,0.10014080095141757,0.09968175768535698,0.012392556424825361,10.0,0.13426252657481985,-0.10345265461704237,-0.10259232877973816,0.012262998683271818,10.0,0.09068719076415613,-0.0983683342495877,-0.10143485431555799,0.013418231080493385,10.0
C08_SIX_VIEW_SUPPORT_MEDIAN,a1,5,5,True,0.2664786765457515,-0.005116845586867325,-0.004863339285518298,0.004368381327265953,1.0,0.4036769172777479,0.013933904971285205,0.011840897629778246,0.004729984519131571,5.0,0.3350777969117497,0.004408529692208951,0.003926426839760522,0.00437674955475441,4.0,0.644247327362034,0.061201964750072224,0.06781277087546955,0.03376297496096077,5.0,0.5808896972505313,0.08204460204886077,0.09231250929263879,0.030034494021811096,5.0,0.4317525060773993,-0.07394530838008269,-0.08400591177574707,0.028412534637250433,5.0,0.35575267263796595,-0.061201964750072224,-0.06781277087546955,0.03376297496096077,5.0
C08_SIX_VIEW_SUPPORT_MEDIAN,tonsil,5,5,True,0.1493690723694307,0.06379185722569568,0.08309457672733274,0.0415405085468252,4.0,0.2710164624229304,0.09737014833952903,0.11388542625747794,0.0421008454748595,5.0,0.2101927673961806,0.08058100278261235,0.09849000149240533,0.04153260903293473,5.0,0.7225351138172005,-0.012394197283147657,-0.03247307364099716,0.034623071775027665,1.0,0.5817952461213757,0.001795282259727715,-0.0025969633705736905,0.020948103182640173,2.0,0.4157313547560409,-0.002547330262478631,0.0024755175983619537,0.021006009569318314,2.0,0.2774648861827994,0.012394197283147657,0.03247307364099716,0.034623071775027665,1.0
C08_SIX_VIEW_SUPPORT_MEDIAN,d1,10,10,True,0.24639509231116447,0.036894095227376425,0.03343464100840972,0.014926120137173903,10.0,0.3809134504679442,0.032222285941288495,0.028337504486048465,0.011277155946867885,10.0,0.3136542713895544,0.03455819058433246,0.03025578183084135,0.012909658435471417,10.0,0.644695246078314,0.019458747455394543,0.0157466171715962,0.023040065818661762,8.0,0.584310551358046,0.012243149540540298,0.0053632436490306246,0.02920202589738378,6.0,0.4251711359520057,-0.007914843405338112,-0.0011400930502038498,0.029210881416497515,5.0,0.355304753921686,-0.019458747455394543,-0.0157466171715962,0.023040065818661762,8.0
C08_SIX_VIEW_SUPPORT_MEDIAN,p22,10,10,True,0.4567126086475339,0.05280042125335206,0.05553118299392246,0.020337714463657692,10.0,0.6194730238166882,0.07564158414930607,0.07581351241779732,0.01480890041602673,10.0,0.5380928162321111,0.06422100270132906,0.06567234770585989,0.01737774447163132,10.0,0.9082001099505224,0.09725563496426608,0.10032985156679497,0.013538692572485451,10.0,0.8648584181786646,0.09793294623742782,0.09798371060558875,0.0126669816126037,10.0,0.13625400185599695,-0.10146117933586525,-0.10200256948247534,0.012602104767362812,10.0,0.09179989004947774,-0.09725563496426608,-0.10032985156679497,0.013538692572485451,10.0
C09_DUAL_SPARSE_SNF10,a1,5,5,True,0.21847493172623939,-0.05312059040637947,-0.047345087586040696,0.014027040663627725,0.0,0.37022555207768437,-0.01951746022877837,-0.02080118279470411,0.007659933695758855,0.0,0.29435024190196185,-0.0363190253175789,-0.03441200690125634,0.0098874468752211,0.0,0.7367177116440334,0.15367234903207164,0.1451314648945391,0.028602710088102848,5.0,0.6921213062717955,0.19327621107012508,0.17994584580289985,0.029926378711055857,5.0,0.318653690105221,-0.187044124352261,-0.17445768258167443,0.02811001341953643,5.0,0.26328228835596656,-0.15367234903207164,-0.1451314648945391,0.028602710088102848,5.0
C09_DUAL_SPARSE_SNF10,tonsil,5,5,True,0.1427826583067347,0.05720544316299966,0.07034902193114202,0.03690103406073098,4.0,0.26475255963003497,0.0911062455466336,0.10809095254116147,0.04044681788785765,5.0,0.2037676089683848,0.07415584435481662,0.08921998723615174,0.038335377426034406,5.0,0.7238727830438894,-0.011056528056458848,-0.026984017159067286,0.03411505054853369,1.0,0.5845197807583149,0.004519816896666739,0.002256296119008905,0.020408686160088806,3.0,0.4127569047173373,-0.005521780301182155,-0.002385881250841826,0.020477821041144453,3.0,0.2761272169561106,0.011056528056458848,0.026984017159067286,0.03411505054853369,1.0
C09_DUAL_SPARSE_SNF10,d1,10,10,True,0.21984635376237688,0.01034535667858883,0.007756067931219204,0.01919850778623322,9.0,0.33857885911028973,-0.010112305416366074,-0.012998407477132018,0.01738358049571877,2.0,0.2792126064363333,0.00011652563111138048,-0.0035135264732351346,0.017723640877879195,4.0,0.7894234223446295,0.16418692372170995,0.15987606274697636,0.023831550933195538,10.0,0.7171433302943371,0.14507592847683148,0.15022227472949967,0.020006627970778946,10.0,0.2914975309405044,-0.1415884484168394,-0.14877218688141425,0.020201380056253118,10.0,0.2105765776553706,-0.16418692372170995,-0.15987606274697636,0.023831550933195538,10.0
C09_DUAL_SPARSE_SNF10,p22,10,10,True,0.3382236052085433,-0.0656885821856386,-0.062300932436383794,0.019535406419845015,0.0,0.5041468852849045,-0.03968455438247774,-0.03865778436902795,0.01484630962186898,0.0,0.4211852452467239,-0.052686568284058176,-0.05351308025732074,0.01564206021246649,0.0,0.9476866410115449,0.1367421660252886,0.1399175371083013,0.010987509537928708,10.0,0.9431080207106348,0.17618254876939796,0.17566512103706527,0.009432168036837966,10.0,0.05896837699367373,-0.17874680419818845,-0.17924127178421875,0.00941837917775597,10.0,0.05231335898845522,-0.1367421660252886,-0.1399175371083013,0.010987509537928708,10.0
