dataset,seed,candidate_id,role,ari,nmi,q,neighbor_agreement,moran_i,geary_c,boundary_disagreement,cluster_file_sha256
d1,9,C10_DUAL_MEAN_SPATIAL05,candidate,0.2546126834046913,0.38587331364690935,0.3202429985258003,0.6577056639923362,0.5974558145843093,0.4128812564031675,0.3422943360076638,b8f25fbc0d9e9c27307b1ce27b604ea454d3014c7251f24f390951f954974deb
d1,9,C11_DUAL_MEAN_SPATIAL10,candidate,0.2255010954617059,0.3717669979704845,0.2986340467160952,0.697910429888636,0.6499069309710366,0.3609027628002481,0.30208957011136395,656095683e1073508ebdc3ecc05d7f35845d8114ae66dcacc26e1564c0f73130
d1,9,REFERENCE_G00_H00,reference,0.21241576457885084,0.34597275303527586,0.27919425880706333,0.6259729373727697,0.5741604254520741,0.4313090615908563,0.3740270626272303,e6cac19a0d5dbf186dec2efd0cf12f0360b95c7b8d1661b9b924badd968b61fa
p22,0,C00_G04_H05_CONFIRMED,candidate,0.3938401158578473,0.5730169350395954,0.48342852544872134,0.8925343595382078,0.838604289321296,0.16121313135547247,0.10746564046179219,c750111e88ad5e70f620dc11d313bb8b8399507cf7a3943beaaac88f7350c4bb
p22,0,C01_G00_H05,candidate,0.45603613037020874,0.6152796289947393,0.535657879682474,0.9134359538207807,0.8733184357662666,0.128056564741145,0.08656404617921931,e6a948f48c96cecef9bfa6042d1bf94423b58082313c09f1167d69845e0c47be
p22,0,C02_DUAL_ARITHMETIC_MEAN,candidate,0.45627803122063876,0.6153091102867356,0.5357935707536872,0.9052226498075866,0.8580207189436717,0.14280564517512287,0.0947773501924134,4e4dd355ea225df8700bad5f70ad4830028562de091162da7b7dd27a5ad29468
p22,0,C03_DUAL_ELEMENTWISE_MAX,candidate,0.4579447414983461,0.6084923054741643,0.5332185234862552,0.8964266080263881,0.8461969350791834,0.15447972700257925,0.10357339197361193,08072cc6592a9f1d8b0cb7566dbb66d2f960ab3878d7d024bcc5d7fdc5755f34
p22,0,C04_DUAL_ELEMENTWISE_MIN,candidate,0.4214484803458375,0.5978025126834544,0.509625496514646,0.9252446399120395,0.906063080996631,0.09960102533001959,0.07475536008796047,c488d3c4543a686ef6e0a57cfb4d4e3e19d17c25daf09bc9e91fd966805f743c
p22,0,C05_DUAL_HARMONIC_INTERSECTION,candidate,0.425918738880906,0.6017969226799755,0.5138578307804408,0.9272017592083562,0.9080663087452981,0.09749215686239919,0.07279824079164376,5539cafcc778b78ce4f834fe3c802514c79c853cfd2cbaf33b87c83af3348da8
p22,0,C06_DUAL_ROW_STOCHASTIC_MEAN,candidate,0.47528570946236587,0.629605850179043,0.5524457798207044,0.905387575590984,0.863919102801123,0.1373875895550482,0.09461242440901596,1d5c84f15943102c58120e16611831e7f0fc61945a5531866ba0e3aff978ba6c
p22,0,C07_DUAL_LOCAL_RELIABILITY,candidate,0.45700587550893557,0.6174567385605962,0.5372313070347658,0.9064101154480484,0.8609483152669883,0.13990763260336625,0.09358988455195161,fd587de19874c4c071371afddff4e2eaeda656c4e16f8da81183f57de7ca2123
p22,0,C08_SIX_VIEW_SUPPORT_MEDIAN,candidate,0.4557570284320522,0.6151276881368573,0.5354423582844547,0.9050907091808686,0.8581705421200119,0.142644124057273,0.09490929081913135,ce05c231e25636b6c4a8b67e0ff1a0e69911d0e9bec7c777202ff767b8577622
p22,0,C09_DUAL_SPARSE_SNF10,candidate,0.31846288230430725,0.5005866181340137,0.40952475021916046,0.9463771302913688,0.942582213038338,0.059553644924867415,0.05362286970863117,9f3a9392636be4e91c0d41738f496051dc9503ab5c1854642a94303e3ebe5830
p22,0,C10_DUAL_MEAN_SPATIAL05,candidate,0.4810942386320812,0.6350934228245786,0.5580938307283299,0.905717427157779,0.8647094409231504,0.13665776048945558,0.09428257284222097,d4ccf7e3f7340e35fdcdf145d60d4e2f80024a36a290649332ce4c4396d1bc01
p22,0,C11_DUAL_MEAN_SPATIAL10,candidate,0.48762688549898014,0.6420793181894304,0.5648531018442053,0.9065420560747663,0.8696086018837852,0.13203677704762498,0.09345794392523366,77d8befe388751d20bb63fb071df06c6a8f0750595419f4be5550a5d7092258b
