dataset,seed,candidate_id,delta_ari,delta_nmi,delta_q,delta_neighbor_agreement,delta_moran_i,delta_geary_c,delta_boundary_disagreement,ari,nmi,q,neighbor_agreement,moran_i,geary_c,boundary_disagreement
a1,0,C10_DUAL_MEAN_SPATIAL05,-0.009905686505815303,0.008734353743935108,-0.0005856663809400975,0.08838485986709044,0.1143375266633807,-0.10640523092626664,-0.08838485986709044,0.26769180815592203,0.40485193150480864,0.33627186983036533,0.651979196763941,0.5927178583808683,0.4196312031770417,0.348020803236059
a1,0,C11_DUAL_MEAN_SPATIAL10,-0.016344083749156524,0.005726196760558466,-0.005308943494299001,0.10078012135221037,0.12688146033648862,-0.11869204247079629,-0.10078012135221037,0.2612534109125808,0.401843774521432,0.33154859271700643,0.6643744582490609,0.6052617920539762,0.40734439163251207,0.33562554175093906
a1,1,C00_G04_H05_CONFIRMED,0.004786372287424401,0.027719640934653567,0.01625300661103901,0.07844553597226234,0.10075420462757878,-0.09000600279302334,-0.07844553597226234,0.2672471914408437,0.41326906898705384,0.3402581302139488,0.6276220745449292,0.5587973329910844,0.45437093774630793,0.37237792545507076
a1,1,C01_G00_H05,-0.005365505727058628,0.0072871264356169085,0.0009608103542791402,0.10153134932100549,0.13053835265420888,-0.11996016616497174,-0.10153134932100549,0.25709531342636066,0.3928365544880172,0.3249659339571889,0.6507078878936724,0.5885814810177145,0.42441677437435954,0.3492921121063276
a1,1,C02_DUAL_ARITHMETIC_MEAN,0.000750437249627256,0.020445503970275947,0.010597970609951601,0.09344120196475003,0.11919595626993362,-0.10869668341082633,-0.09344120196475003,0.26321125640304655,0.4059949320226762,0.3346030942128614,0.6426177405374169,0.5772390846334392,0.43568025712850494,0.35738225946258306
a1,1,C03_DUAL_ELEMENTWISE_MAX,-0.0037510324254944605,0.014229699118039119,0.005239333346272357,0.08699797746316085,0.11212737717736976,-0.10190564945586628,-0.08699797746316085,0.25870978672792483,0.3997791271704394,0.32924445694918214,0.6361745160358278,0.5701705055408753,0.442471291083465,0.36382548396417225
a1,1,C04_DUAL_ELEMENTWISE_MIN,-0.00975816348355113,0.00527895114386967,-0.0022396061698407577,0.12545507078878937,0.1606311636042692,-0.1488329087375041,-0.12545507078878937,0.25270265566986816,0.39082837919626995,0.321765517433069,0.6746316093614563,0.6186742919677748,0.3955440318018272,0.3253683906385437
a1,1,C05_DUAL_HARMONIC_INTERSECTION,-0.01092427233556087,0.004118139814587474,-0.003403066260486698,0.1265241259751516,0.16094764382444782,-0.14914799756562985,-0.1265241259751516,0.2515365468178584,0.38966756786698775,0.3206020573424231,0.6757006645478185,0.6189907721879534,0.3952289429737014,0.3242993354521815
a1,1,C06_DUAL_ROW_STOCHASTIC_MEAN,0.001324948367239398,0.01962206301243119,0.010473505689835294,0.09936434556486562,0.12403769212751126,-0.11373902654775131,-0.09936434556486562,0.2637857675206587,0.40517149106483147,0.3344786292927451,0.6485408841375325,0.5820808204910168,0.43063791399157997,0.3514591158624675
a1,1,C07_DUAL_LOCAL_RELIABILITY,0.0006537539076942878,0.02061019143641124,0.010631972672052736,0.09448136376769711,0.12103035136623497,-0.11052041381976108,-0.09448136376769711,0.2631145730611136,0.4061596194888115,0.3346370962749625,0.643657902340364,0.5790734797297405,0.4338565267195702,0.356342097659636
a1,1,C08_SIX_VIEW_SUPPORT_MEDIAN,0.0006106818903606204,0.020716120553837702,0.01066340122209919,0.09193874602715968,0.11727890354904935,-0.10682957561140721,-0.09193874602715968,0.2630715010437799,0.406265548606238,0.334668524825009,0.6411152845998266,0.5753220319125549,0.43754736492792407,0.3588847154001734
a1,1,C09_DUAL_SPARSE_SNF10,-0.03882427331041158,-0.008706364412002121,-0.023765318861206863,0.18185495521525563,0.2365984048083163,-0.22816781434021044,-0.18185495521525563,0.2236365458430077,0.37684306364039816,0.3002398047417029,0.7310314937879225,0.6946415331718219,0.31620912619912084,0.26896850621207746
a1,1,C10_DUAL_MEAN_SPATIAL05,-0.003911637272517587,0.01825546433967179,0.007171913533577101,0.11560242704420687,0.14026207221909792,-0.1298987555128951,-0.11560242704420687,0.2585491818809017,0.40380489239207207,0.3311770371364869,0.6647789656168738,0.5983052005826035,0.4144781850264362,0.3352210343831262
a1,1,C11_DUAL_MEAN_SPATIAL10,-0.011427106647347252,0.011539368956372809,5.613115451275075e-05,0.12903785033227388,0.15431631509202748,-0.14377726411333225,-0.12903785033227388,0.25103371250607204,0.3970887970087731,0.32406125475742253,0.6782143889049408,0.6123594434555331,0.40059967642599903,0.3217856110950592
a1,2,C00_G04_H05_CONFIRMED,-0.003409077254684756,0.018470536720814834,0.007530729733065011,-0.01132620629875758,0.003694386029383989,0.002546293928156085,0.01132620629875758,0.27526557454695755,0.40954213777203574,0.34240385615949664,0.6193585668881826,0.5343047402051191,0.477549771158149,0.3806414331118174
a1,2,C01_G00_H05,-0.015171650858329944,0.001722447366373614,-0.00672460174597822,0.014908985842242206,0.04749715905612251,-0.041699934160856045,-0.014908985842242206,0.26350300094331236,0.3927940484175945,0.3281485246804534,0.6455937590291824,0.5781075132318576,0.4333035430691369,0.35440624097081763
a1,2,C02_DUAL_ARITHMETIC_MEAN,-0.011765708669070674,0.008491718871086629,-0.0016369948989920502,0.008436867957237859,0.03707212176464114,-0.030968792788623134,-0.008436867957237859,0.26690894313257163,0.39956331992230754,0.3332361315274396,0.639121641144178,0.5676824759403762,0.4440346844413698,0.360878358855822
a1,2,C03_DUAL_ELEMENTWISE_MAX,-0.011042160112262334,0.01007117312621042,-0.0004854934930259569,0.0030338052585957564,0.030110982272293474,-0.024172882684076413,-0.0030338052585957564,0.26763249168937997,0.4011427741774313,0.3343876329334057,0.6337185784455359,0.5607213364480286,0.4508305945459165,0.3662814215544641
a1,2,C04_DUAL_ELEMENTWISE_MIN,-0.010198296077941427,0.0025874374934221622,-0.0038054292922596877,0.0425888471540018,0.07449356186006628,-0.06766005394652658,-0.0425888471540018,0.2684763557237009,0.39365903854464307,0.33106769713417195,0.673273620340942,0.6051039160358014,0.40734342328346634,0.32672637965905804
a1,2,C05_DUAL_HARMONIC_INTERSECTION,-0.009992291272316378,0.0003185061379971099,-0.00483689256715969,0.041086391216411444,0.07322043603498407,-0.06676922250170148,-0.041086391216411444,0.2686823605293259,0.391390107189218,0.33003623385927194,0.6717711644033516,0.6038307902107192,0.40823425472829145,0.3282288355966484
