dataset,seed,candidate_id,delta_ari_vs_c00,delta_nmi_vs_c00,delta_q_vs_c00
p22,5,C11_DUAL_MEAN_SPATIAL10,0.031062438853587504,0.03011619574007185,0.030589317296829677
p22,6,C00_G04_H05_CONFIRMED,0.0,0.0,0.0
p22,6,C01_G00_H05,-0.0033234368755215016,0.004016657158739778,0.0003466101416091383
p22,6,C02_DUAL_ARITHMETIC_MEAN,0.032706071546923565,0.021945284745872873,0.027325678146398247
p22,6,C03_DUAL_ELEMENTWISE_MAX,0.043252268315264686,0.024014453728136376,0.0336333610217005
p22,6,C04_DUAL_ELEMENTWISE_MIN,0.026859491026051063,0.019005653019177338,0.022932572022614173
p22,6,C05_DUAL_HARMONIC_INTERSECTION,0.024389337655126797,0.017915414765555804,0.021152376210341328
p22,6,C06_DUAL_ROW_STOCHASTIC_MEAN,0.06098133860500027,0.036400272793875366,0.04869080569943779
p22,6,C07_DUAL_LOCAL_RELIABILITY,-0.0016302249381711653,0.002921330086651852,0.0006455525742403156
p22,6,C08_SIX_VIEW_SUPPORT_MEDIAN,0.016678497315451624,0.01248910776133727,0.014583802538394475
p22,6,C09_DUAL_SPARSE_SNF10,-0.07942969854648552,-0.09245049560916407,-0.0859400970778248
p22,6,C10_DUAL_MEAN_SPATIAL05,0.06443809761162789,0.0406888467840697,0.05256347219784879
p22,6,C11_DUAL_MEAN_SPATIAL10,0.07071549061760818,0.04497775124241288,0.05784662093001053
p22,7,C00_G04_H05_CONFIRMED,0.0,0.0,0.0
p22,7,C01_G00_H05,-0.0030327920819204213,0.0027529511364562387,-0.0001399204727321468
