ami,ari,boundary_disagreement,cpu_peak_rss_mib,dataset,embedding_davies_bouldin,embedding_silhouette,fmi,gpu_peak_allocated_mib,gpu_peak_reserved_mib,homogeneity,hungarian_balanced_accuracy,hungarian_macro_f1,hungarian_weighted_f1,n_observations_evaluated,n_observations_trained,nmi,runtime_seconds,seed,spatial_cluster_geary_mean,spatial_cluster_moran_mean,spatial_neighbor_agreement,v_measure,variant
0.6656131064061881,0.5947618367263439,0.5451263537906137,1365.0078125,placenta,1.6189622870254445,0.2202547788619995,0.6652005649519123,444.79833984375,514.0,0.7110593715684098,0.5225286810538553,0.4804094490524293,0.7204271778762407,1662,1662,0.6699530655277202,7.480222707614303,1,0.6911743903731493,0.4322920896542972,0.4548736462093863,0.6699530655277202,FULL_IGE
0.6731356670807538,0.6426609825353381,0.5180505415162455,1365.0078125,placenta,1.4977189140937894,0.24773038923740387,0.7063100531641296,444.79833984375,514.0,0.7209119972955865,0.6204200296684192,0.5721101348804637,0.7812262772656778,1662,1662,0.6773647836673715,7.562999969348311,2,0.6710271128159646,0.48069810894372855,0.48194945848375453,0.6773647836673716,FULL_IGE
0.6441822028246463,0.5778018358286363,0.5276774969915764,1365.0078125,placenta,1.6268940266815561,0.22350932657718658,0.6510805787818271,444.79833984375,514.0,0.6917982583793334,0.5729003094919162,0.5325542094616679,0.7305124835501912,1662,1662,0.6487749430124284,6.633218528702855,3,0.668209799223899,0.47380202521443626,0.4723225030084236,0.6487749430124283,FULL_IGE
0.6218014471966673,0.5650104380679436,0.4969915764139591,1365.0078125,placenta,1.5989456208053083,0.22157606482505798,0.6397308151209882,444.79833984375,514.0,0.6619071495406643,0.5011596689065991,0.49181570680982967,0.6921840351561286,1662,1662,0.6267410924491954,7.13345717638731,4,0.655562156101201,0.4945690794538322,0.5030084235860409,0.6267410924491954,FULL_IGE
0.4047046396418767,0.3034305180904699,0.5084235860409145,1365.0078125,placenta,3.6577237874680697,0.03340393304824829,0.4167238378691778,444.79833984375,474.0,0.4373106735222618,0.4945128947759363,0.4614644261453066,0.5964362829568719,1662,1662,0.4124149354577569,7.656485283747315,0,0.6449434738368719,0.5023434279343884,0.4915764139590854,0.41241493545775687,DROP_RNA_RECON
0.42929833988481136,0.3347173000446272,0.5288808664259927,1365.0078125,placenta,3.5933236664545705,0.03914990276098251,0.4447797645639627,444.79833984375,474.0,0.4603866465677369,0.48542118479013874,0.47879209125942745,0.5999161332011125,1662,1662,0.43675773423327163,8.081384228542447,1,0.7382342639253994,0.4066634540650288,0.4711191335740072,0.43675773423327163,DROP_RNA_RECON
0.4026110525232377,0.29786032826711073,0.5006016847172081,1365.0078125,placenta,3.8629946829414523,0.03312237188220024,0.4120187292395019,444.79833984375,474.0,0.43519993928427847,0.5308187286395066,0.4444074633698983,0.5623976808954102,1662,1662,0.410352708063082,7.675849562510848,2,0.6608972356734087,0.49290030614220226,0.4993983152827918,0.410352708063082,DROP_RNA_RECON
0.5042501367459652,0.408055815067911,0.5679903730445246,1365.0078125,placenta,3.506497231158255,0.04300045222043991,0.5053757594095734,444.79833984375,474.0,0.5465176772719674,0.5375567192368502,0.5035413175858826,0.6625798904468831,1662,1662,0.5106159113338284,9.22676632553339,3,0.7400544992454312,0.36582578759970874,0.43200962695547535,0.5106159113338284,DROP_RNA_RECON
0.3933928949972407,0.28657328525560655,0.4927797833935018,1365.0078125,placenta,3.6393625366010185,0.0381341353058815,0.4016850449154915,444.79833984375,474.0,0.4264666473374734,0.45991886195775666,0.4462241594020474,0.572325018498052,1662,1662,0.40123349339412834,7.142401849851012,4,0.6625653626441748,0.4795032782076259,0.5072202166064982,0.40123349339412845,DROP_RNA_RECON
0.6330649993083424,0.6348957756542072,0.470517448856799,1365.0078125,placenta,1.6118105125426907,0.21763873100280762,0.6990268744861539,444.79833984375,474.0,0.676680462459593,0.5881442536013521,0.5403761887639297,0.7535157206073372,1662,1662,0.6378321135728193,7.108182094991207,0,0.6556727927829505,0.5217514299139075,0.529482551143201,0.6378321135728193,DROP_MOD2_RECON
0.6358016576169564,0.6336253933365893,0.46570397111913353,1365.0078125,placenta,1.8550884554055656,0.2288738340139389,0.6977766726102771,444.79833984375,474.0,0.6764515866976745,0.6080554286591077,0.5546662004229883,0.7700152543245258,1662,1662,0.6405566828895797,7.175927197560668,1,0.6463380716921134,0.5292677440530543,0.5342960288808665,0.6405566828895798,DROP_MOD2_RECON
0.5930681793204355,0.5349588959039493,0.4879663056558363,1365.0078125,placenta,1.7084113035369728,0.20018044114112854,0.6147188335439859,444.79833984375,474.0,0.6416512625527391,0.5548778086619542,0.50904846553152,0.7067983334714869,1662,1662,0.5982842213179713,6.865354297682643,2,0.6590722812243245,0.5230173043571474,0.5120336943441637,0.5982842213179712,DROP_MOD2_RECON
0.6361507836733273,0.6376071516919535,0.4675090252707581,1365.0078125,placenta,1.6026152932241,0.22917839884757996,0.7013659769526912,444.79833984375,474.0,0.6803322268769239,0.5884169535563569,0.5409409160568858,0.7539828989521753,1662,1662,0.6408745433735794,7.435756720602512,3,0.6498535986539217,0.5277056916404168,0.5324909747292419,0.6408745433735794,DROP_MOD2_RECON
0.6317877183743351,0.6317368684513779,0.46329723225030084,1365.0078125,placenta,1.6312133918983638,0.22815987467765808,0.6964445168806418,444.79833984375,474.0,0.6762119571845481,0.5811027801637276,0.5372843649688109,0.7507154167064115,1662,1662,0.6365634920503456,6.932020841166377,4,0.6423581125159017,0.5342083497531087,0.5367027677496992,0.6365634920503456,DROP_MOD2_RECON
0.625542399355198,0.6224122489952445,0.4651022864019254,1365.0078125,placenta,1.600085313774537,0.24304743111133575,0.6885356622181897,444.79833984375,474.0,0.6694637263628502,0.6008198232300188,0.5453840981455704,0.7496894776924113,1662,1662,0.6304014467995074,8.018174452707171,0,0.6394049237114247,0.5268225151722185,0.5348977135980746,0.6304014467995074,DROP_CORR1
0.60470893024154,0.5424855145603564,0.5168471720818291,1365.0078125,placenta,1.6835369937278024,0.20660226047039032,0.6215730015337058,444.79833984375,474.0,0.6564219388750171,0.5367135569699312,0.47952639264310404,0.6924608851022215,1662,1662,0.6097523118577983,8.010634940117598,1,0.6554231977835647,0.4836493256970368,0.4831528279181709,0.6097523118577984,DROP_CORR1
