dataset,max,mean,median,metric,min,n_seeds,sd,variant
a1,0.4217382158629757,0.3955503490362595,0.39886683713850396,fmi,0.37454625062682556,5,0.018086577041772547,UNIFORM_ALL
a1,0.4374180653102714,0.4320200582586236,0.4316237024560002,homogeneity,0.4257574419408547,5,0.004425465714084642,UNIFORM_ALL
a1,0.3925073709117412,0.38189437307123525,0.38296390535077035,v_measure,0.37218878848225384,5,0.007791254020142923,UNIFORM_ALL
a1,0.352766361171932,0.33190800666645,0.3291584624627249,hungarian_macro_f1,0.3168754876821233,5,0.013057539625715351,UNIFORM_ALL
a1,0.5580579816195107,0.5203580916168764,0.5142466783341189,hungarian_weighted_f1,0.4860803681216347,5,0.02680750012980256,UNIFORM_ALL
a1,0.4445512196727652,0.4195581516227297,0.4197901618681568,hungarian_balanced_accuracy,0.3878623726105885,5,0.02064433918426074,UNIFORM_ALL
a1,0.5820576604158694,0.5671578007398903,0.56761066462559,spatial_neighbor_agreement,0.5538971807628524,5,0.010745116680802157,UNIFORM_ALL
a1,0.5176305300776953,0.49039461765826997,0.48764705384222556,spatial_cluster_moran_mean,0.4754815762760936,5,0.016047671732554013,UNIFORM_ALL
a1,0.5309460338232128,0.517711774378662,0.5201012571072013,spatial_cluster_geary_mean,0.49188159271596293,5,0.015132177098205146,UNIFORM_ALL
a1,0.44610281923714756,0.4328421992601097,0.43238933537441004,boundary_disagreement,0.41794233958413063,5,0.010745116680802157,UNIFORM_ALL
a1,0.17968732118606567,0.16220219433307648,0.1643095165491104,embedding_silhouette,0.14413230121135712,5,0.013191390424725946,UNIFORM_ALL
a1,2.0406356369791188,1.9399019277040594,1.9243262035013973,embedding_davies_bouldin,1.8481293219071468,5,0.07404164224870566,UNIFORM_ALL
a1,18.441175328567624,13.089986196532845,11.949967443943024,runtime_seconds,11.285540221258998,5,3.0200295488992217,UNIFORM_ALL
a1,705.62841796875,705.62841796875,705.62841796875,gpu_peak_allocated_mib,705.62841796875,5,0.0,UNIFORM_ALL
a1,800.0,800.0,800.0,gpu_peak_reserved_mib,800.0,5,0.0,UNIFORM_ALL
a1,1365.0078125,1365.0078125,1365.0078125,cpu_peak_rss_mib,1365.0078125,5,0.0,UNIFORM_ALL
placenta,0.6426609825353381,0.6044049975444314,0.5947618367263439,ari,0.5650104380679436,5,0.0361033273846304,FULL_IGE
placenta,0.6773647836673715,0.6596359367226602,0.6699530655277202,nmi,0.6267410924491954,5,0.021607793133076418,FULL_IGE
placenta,0.6731356670807538,0.6551632238817704,0.6656131064061881,ami,0.6218014471966673,5,0.021904686460097602,FULL_IGE
placenta,0.7063100531641296,0.6735389087509918,0.6652005649519123,fmi,0.6397308151209882,5,0.030839176446994607,FULL_IGE
placenta,0.7209119972955865,0.7006961900904137,0.7110593715684098,homogeneity,0.6619071495406643,5,0.024456698207757276,FULL_IGE
placenta,0.6773647836673716,0.6596359367226602,0.6699530655277202,v_measure,0.6267410924491954,5,0.021607793133076456,FULL_IGE
placenta,0.5744049235658075,0.5302588847540396,0.5325542094616679,hungarian_macro_f1,0.4804094490524293,5,0.043785021884336334,FULL_IGE
placenta,0.7812262772656778,0.7408269979480788,0.7305124835501912,hungarian_weighted_f1,0.6921840351561286,5,0.0388539207381929,FULL_IGE
placenta,0.6207162517900924,0.5675449881821765,0.5729003094919162,hungarian_balanced_accuracy,0.5011596689065991,5,0.05496615157293761,FULL_IGE
placenta,0.5030084235860409,0.47725631768953064,0.4741275571600481,spatial_neighbor_agreement,0.4548736462093863,5,0.01746648348241504,FULL_IGE
placenta,0.4945690794538322,0.46940544708129384,0.47380202521443626,spatial_cluster_moran_mean,0.4322920896542972,5,0.02329939793695983,FULL_IGE
placenta,0.6911743903731493,0.6740229517327335,0.6710271128159646,spatial_cluster_geary_mean,0.655562156101201,5,0.013965328409793058,FULL_IGE
placenta,0.5451263537906137,0.5227436823104694,0.5258724428399519,boundary_disagreement,0.4969915764139591,5,0.01746648348241504,FULL_IGE
