bh_fdr_q_value,channel,dataset,domain,domain_mean,domain_median,domain_n,epsilon_squared,kruskal_h,n_domains,n_observations,p_value,seed
2.6401857815498243e-13,rna_spatial_attention,a1,cortex,0.49078079639559247,0.4859904944896698,753,0.020286762635314523,79.47621339508265,10,3484,2.0534778300943077e-13,0
2.6401857815498243e-13,rna_spatial_attention,a1,follicle,0.4683355033397675,0.48475655913352966,60,0.020286762635314523,79.47621339508265,10,3484,2.0534778300943077e-13,0
2.6401857815498243e-13,rna_spatial_attention,a1,hilum,0.48605003823404724,0.4793824553489685,23,0.020286762635314523,79.47621339508265,10,3484,2.0534778300943077e-13,0
2.6401857815498243e-13,rna_spatial_attention,a1,medulla cords,0.5227063384019968,0.5305917263031006,1188,0.020286762635314523,79.47621339508265,10,3484,2.0534778300943077e-13,0
2.6401857815498243e-13,rna_spatial_attention,a1,medulla sinuses,0.4752465936739741,0.47786009311676025,797,0.020286762635314523,79.47621339508265,10,3484,2.0534778300943077e-13,0
2.6401857815498243e-13,rna_spatial_attention,a1,medulla vessels,0.5508959805756285,0.5631582140922546,57,0.020286762635314523,79.47621339508265,10,3484,2.0534778300943077e-13,0
2.6401857815498243e-13,rna_spatial_attention,a1,pericapsular adipose tissue,0.5093457727693022,0.5131462216377258,320,0.020286762635314523,79.47621339508265,10,3484,2.0534778300943077e-13,0
2.6401857815498243e-13,rna_spatial_attention,a1,subcapsular sinus,0.4848602186586406,0.5038362741470337,74,0.020286762635314523,79.47621339508265,10,3484,2.0534778300943077e-13,0
2.6401857815498243e-13,rna_spatial_attention,a1,trabeculae,0.6343250870704651,0.6258645057678223,8,0.020286762635314523,79.47621339508265,10,3484,2.0534778300943077e-13,0
2.6401857815498243e-13,rna_feature_attention,a1,capsule,0.4778373740321281,0.4747108668088913,204,0.020286835411099238,79.47646621815875,10,3484,2.0532405277268593e-13,0
2.6401857815498243e-13,rna_feature_attention,a1,cortex,0.5092192031195756,0.5140094757080078,753,0.020286835411099238,79.47646621815875,10,3484,2.0532405277268593e-13,0
2.6401857815498243e-13,rna_feature_attention,a1,follicle,0.5316644906997681,0.5152434408664703,60,0.020286835411099238,79.47646621815875,10,3484,2.0532405277268593e-13,0
2.6401857815498243e-13,rna_feature_attention,a1,hilum,0.5139499656532122,0.5206175446510315,23,0.020286835411099238,79.47646621815875,10,3484,2.0532405277268593e-13,0
2.6401857815498243e-13,rna_feature_attention,a1,medulla cords,0.47729366103356535,0.4694082587957382,1188,0.020286835411099238,79.47646621815875,10,3484,2.0532405277268593e-13,0
2.6401857815498243e-13,rna_feature_attention,a1,medulla sinuses,0.5247534075599991,0.5221399068832397,797,0.020286835411099238,79.47646621815875,10,3484,2.0532405277268593e-13,0
2.6401857815498243e-13,rna_feature_attention,a1,medulla vessels,0.4491040217771865,0.4368417263031006,57,0.020286835411099238,79.47646621815875,10,3484,2.0532405277268593e-13,0
2.6401857815498243e-13,rna_feature_attention,a1,pericapsular adipose tissue,0.4906542270909995,0.48685380816459656,320,0.020286835411099238,79.47646621815875,10,3484,2.0532405277268593e-13,0
2.6401857815498243e-13,rna_feature_attention,a1,subcapsular sinus,0.5151397857714344,0.4961637258529663,74,0.020286835411099238,79.47646621815875,10,3484,2.0532405277268593e-13,0
2.6401857815498243e-13,rna_feature_attention,a1,trabeculae,0.3656749166548252,0.3741355240345001,8,0.020286835411099238,79.47646621815875,10,3484,2.0532405277268593e-13,0
6.177330377170641e-33,modality2_spatial_attention,a1,capsule,0.5189373160840249,0.5048156976699829,204,0.04812706856537481,176.1934361961121,10,3484,3.15642276376641e-33,0
6.177330377170641e-33,modality2_spatial_attention,a1,cortex,0.49294668770485506,0.4946727454662323,753,0.04812706856537481,176.1934361961121,10,3484,3.15642276376641e-33,0
6.177330377170641e-33,modality2_spatial_attention,a1,follicle,0.5034192711114883,0.5104232132434845,60,0.04812706856537481,176.1934361961121,10,3484,3.15642276376641e-33,0
6.177330377170641e-33,modality2_spatial_attention,a1,hilum,0.4809548012588335,0.4803776443004608,23,0.04812706856537481,176.1934361961121,10,3484,3.15642276376641e-33,0
6.177330377170641e-33,modality2_spatial_attention,a1,medulla cords,0.47323461929304833,0.4650762528181076,1188,0.04812706856537481,176.1934361961121,10,3484,3.15642276376641e-33,0
6.177330377170641e-33,modality2_spatial_attention,a1,medulla sinuses,0.5303744675224668,0.5158442854881287,797,0.04812706856537481,176.1934361961121,10,3484,3.15642276376641e-33,0
6.177330377170641e-33,modality2_spatial_attention,a1,medulla vessels,0.4935675022894876,0.47799885272979736,57,0.04812706856537481,176.1934361961121,10,3484,3.15642276376641e-33,0
6.177330377170641e-33,modality2_spatial_attention,a1,pericapsular adipose tissue,0.552474569529295,0.5607864558696747,320,0.04812706856537481,176.1934361961121,10,3484,3.15642276376641e-33,0
6.177330377170641e-33,modality2_spatial_attention,a1,subcapsular sinus,0.4642499785970997,0.455891415476799,74,0.04812706856537481,176.1934361961121,10,3484,3.15642276376641e-33,0
6.177330377170641e-33,modality2_spatial_attention,a1,trabeculae,0.5000200048089027,0.5041979402303696,8,0.04812706856537481,176.1934361961121,10,3484,3.15642276376641e-33,0
