channel,dataset,extreme_below_005_or_above_095_fraction,iqr,mean,median,n_observations,normalized_two_way_entropy,p05,p95,sd,seed,variant
rna_spatial_attention,placenta,0.00842358604091456,0.27415307611227036,0.43281092565331863,0.4076704680919647,1662,0.8538412624057081,0.14649639278650287,0.838049322366714,0.20496916331346318,0,FULL_IGE
rna_feature_attention,placenta,0.00842358604091456,0.27415307611227036,0.5671890729726724,0.5923295021057129,1662,0.8538412636326111,0.161950708180666,0.8535035938024519,0.20496916298190576,0,FULL_IGE
modality2_spatial_attention,placenta,0.0,0.05644725263118744,0.49975031388365404,0.5005819797515869,1662,0.9944424800019325,0.4281613275408745,0.5732474833726883,0.04380176627103309,0,FULL_IGE
modality2_feature_attention,placenta,0.0,0.05644722282886505,0.5002496875508741,0.4994180202484131,1662,0.9944424799622923,0.4267525464296341,0.5718386441469192,0.04380176642825082,0,FULL_IGE
cross_omics_rna_attention,placenta,0.25511432009626955,0.117650106549263,0.8775997168499927,0.908655047416687,1662,0.4735058456111505,0.6688308715820312,0.9804888397455216,0.10271843643257489,1,FULL_IGE
cross_omics_modality2_attention,placenta,0.25511432009626955,0.11765011213719845,0.12240028386390919,0.0913449302315712,1662,0.47350584837976173,0.019511160813271998,0.33116918653249733,0.10271843532944776,1,FULL_IGE
rna_spatial_attention,placenta,0.007821901323706379,0.2779146134853363,0.4214342587305822,0.3815932124853134,1662,0.848298720300598,0.1496251352131367,0.8473171442747114,0.20563130078481154,1,FULL_IGE
rna_feature_attention,placenta,0.007821901323706379,0.2779146581888199,0.5785657426512718,0.6184068322181702,1662,0.848298721668057,0.15268284380435945,0.8503748387098309,0.20563129954118323,1,FULL_IGE
modality2_spatial_attention,placenta,0.0,0.05410251021385193,0.49827320030952044,0.49816396832466125,1662,0.994188967725112,0.4282998129725456,0.5731788188219069,0.04474416600529368,1,FULL_IGE
modality2_feature_attention,placenta,0.0,0.054102592170238495,0.5017268000849748,0.5018360018730164,1662,0.9941889679000866,0.42682121098041537,0.5717002153396606,0.044744165313590344,1,FULL_IGE
cross_omics_rna_attention,placenta,0.20878459687123946,0.1266913115978241,0.8663072146197375,0.8974308967590332,1662,0.5030823173282836,0.6482261568307877,0.9767364293336868,0.1074662258939682,2,FULL_IGE
cross_omics_modality2_attention,placenta,0.20878459687123946,0.12669132091104984,0.13369278455624933,0.1025690846145153,1662,0.5030823167364167,0.023263533599674705,0.3517738446593283,0.1074662245017417,2,FULL_IGE
