lane,representation_source,candidate_id,candidate_partition_sha256,ari,nmi,ami,fmi,homogeneity,v_measure,n_total,n_eval,observed_k_full,min_cluster_size_full,cluster_sizes_full,min_cluster_size_eval,cluster_sizes_eval,neighbor_agreement,moran_indicator_macro,geary_indicator_macro,label_access,evidence_board
P22_K9,MOUSE_E15_NOTEBOOK_ANALOG_400__OFFICIAL_FULL,GEOM_KMEANS_RAW,6dacbb9f2736fbe3f398f3341db4f16cb1e5897e7cc3c34f9ae9ae2e5edae547,0.43054102544642825,0.5685419959414669,0.5677940905750799,0.5157324082268017,0.5757716206654572,0.5685419959414669,9196,9196,9,194,194|692|702|710|814|1101|1128|1708|2147,194,194|692|702|710|814|1101|1128|1708|2147,0.8759685751183814,0.8415859683059563,0.15862988536205075,independent_evaluator_after_bank_lock,STAGE_A_LABEL_ASSISTED_GEOMETRY_CEILING
P22_K9,MOUSE_E15_NOTEBOOK_ANALOG_400__OFFICIAL_FULL,GEOM_GMM_FULL,10cc51c0fdb769eebf3b00290e9a23775d895f0ab2256b6865697d3f2db0b604,0.30962633349308133,0.47164359766114394,0.47073561760224686,0.41107273212972745,0.481165051043766,0.471643597661144,9196,9196,9,326,326|590|804|831|857|884|1155|1706|2043,326,326|590|804|831|857|884|1155|1706|2043,0.6958136030994404,0.6413431426437439,0.3599125326969282,independent_evaluator_after_bank_lock,STAGE_A_LABEL_ASSISTED_GEOMETRY_CEILING
P22_K9,MOUSE_E15_NOTEBOOK_ANALOG_400__OFFICIAL_FULL,GEOM_FEATURE_NCUT_K12,a7d79413e6d79c1c70fcfee05162f1d7398fd2d43a382875306ec19933113111,0.4852169561788078,0.6292122609205155,0.6285770011913195,0.560843489462152,0.6436622991068394,0.6292122609205155,9196,9196,9,446,446|551|678|834|864|886|1331|1619|1987,446,446|551|678|834|864|886|1331|1619|1987,0.91562634524322,0.8978594136628596,0.10452441815430474,independent_evaluator_after_bank_lock,STAGE_A_LABEL_ASSISTED_GEOMETRY_CEILING
P22_K9,MOUSE_E15_NOTEBOOK_ANALOG_400__OFFICIAL_FULL,GEOM_FEATURE_NCUT_K24,6ccfb31c507f4defcf44cf6a2c079ac23434a98edb54dc4ec16151d6f7797dc2,0.4745488831061205,0.6200505583694728,0.6193999138427034,0.5516283431215073,0.6345809179816511,0.6200505583694728,9196,9196,9,442,442|576|682|842|851|871|1343|1614|1975,442,442|576|682|842|851|871|1343|1614|1975,0.9096534653465347,0.8908920379122236,0.11139958378735756,independent_evaluator_after_bank_lock,STAGE_A_LABEL_ASSISTED_GEOMETRY_CEILING
P22_K9,MOUSE_E15_NOTEBOOK_ANALOG_400__OFFICIAL_FULL,GEOM_JOINT_NCUT_S025,c4c827c1e9b8aa09dfe8cf58559489a93008ea75d4e93099b3f26bb37899d887,0.4881049855907054,0.6332809590668669,0.632659482621974,0.5621401208370597,0.6545951754177288,0.6332809590668669,9196,9196,9,663,663|681|683|862|920|995|1107|1338|1947,663,663|681|683|862|920|995|1107|1338|1947,0.926980198019802,0.9133925015941797,0.08875159561464502,independent_evaluator_after_bank_lock,STAGE_A_LABEL_ASSISTED_GEOMETRY_CEILING
P22_K9,MOUSE_E15_NOTEBOOK_ANALOG_400__OFFICIAL_FULL,GEOM_JOINT_NCUT_S100,e9d78325a3df0f963a892793ecd90d888f6faf41be47e7c971ffb66e603be289,0.49891383560631364,0.6651728108916911,0.6646082392496695,0.5711291076742623,0.6909686982611238,0.6651728108916911,9196,9196,9,641,641|671|798|812|952|1097|1313|1395|1517,641,641|671|798|812|952|1097|1313|1395|1517,0.94479121825226,0.9343549316633329,0.06599133457194234,independent_evaluator_after_bank_lock,STAGE_A_LABEL_ASSISTED_GEOMETRY_CEILING
P22_K9,MOUSE_E15_NOTEBOOK_ANALOG_400__OFFICIAL_FULL,GEOM_DENSITY_CORRECTED_NCUT,c6674477ccc35d9029b607cb26a41070a3df3e78818cf546cee5573151a54d93,0.46560008165843914,0.6077218976615073,0.6070569943198572,0.5426632387735464,0.6280928480985191,0.6077218976615074,9196,9196,9,550,550|693|806|886|902|990|1076|1371|1922,550,550|693|806|886|902|990|1076|1371|1922,0.9100839431769264,0.8941222979583977,0.1084402484912191,independent_evaluator_after_bank_lock,STAGE_A_LABEL_ASSISTED_GEOMETRY_CEILING
P22_K9,MOUSE_E15_NOTEBOOK_ANALOG_400__OFFICIAL_FULL,GEOM_DIFFUSION_T2,bf96c2fcefc2f670c2912be3e0d33d52c6d66b6b6e09a1fffcb26f286041fef9,0.35174299200433357,0.5395602046572153,0.5387307207155182,0.4558548975457779,0.5291089924637631,0.5395602046572152,9196,9196,9,63,63|281|449|459|925|1316|1593|2042|2068,63,63|281|449|459|925|1316|1593|2042|2068,0.9377959535083943,0.9205728959486758,0.083263075768007,independent_evaluator_after_bank_lock,STAGE_A_LABEL_ASSISTED_GEOMETRY_CEILING
P22_K9,MOUSE_E15_NOTEBOOK_ANALOG_400__OFFICIAL_FULL,GEOM_SPATIAL_NCUT,c7049bf131e7f737ecaa34807e7b1945b46fed062c8dafe48abe9385b9453339,0.2889381548570216,0.4712268276381256,0.4703427340813384,0.38645980298024024,0.4935103654234399,0.4712268276381257,9196,9196,9,770,770|794|993|1014|1020|1108|1127|1156|1214,770,770|794|993|1014|1020|1108|1127|1156|1214,0.9738484718037022,0.9711331212027127,0.029267626696833318,independent_evaluator_after_bank_lock,STAGE_A_LABEL_ASSISTED_GEOMETRY_CEILING
P22_K9,MOUSE_E15_NOTEBOOK_ANALOG_400__OFFICIAL_FULL,GEOM_LEIDEN_FEATURE,08c2f9f7f3af569b2b1248b5c76adfbf8cb2868a606a385ef2bbb748e8557f6f,0.45437493667354595,0.6067485581418486,0.6060440105687686,0.5404312759466762,0.5985466265671291,0.6067485581418485,9196,9196,9,65,65|184|732|792|803|899|1765|1923|2033,65,65|184|732|792|803|899|1765|1923|2033,0.938334050796384,0.9040056848481366,0.09506059182501642,independent_evaluator_after_bank_lock,STAGE_A_LABEL_ASSISTED_GEOMETRY_CEILING
