stage,config_id,recipe_id,endpoint,head_id,unit_id,dataset,seed,status,success,training_runtime_seconds,peak_gpu_mib,ari,nmi,q,neighbor_agreement,moran_i,geary_c,boundary_disagreement
R2,R08__E1_ADAPTER_C06_MEAN__H01,R08,E1_ADAPTER_C06_MEAN,H01,u002,a1,2,success,True,12.00264254771173,394.1533203125,0.2643308442055221,0.3937656738930231,0.3290482590492726,0.6566021381103727,0.5870189487231788,0.4247868135365264,0.3433978618896273
R2,R08__E1_ADAPTER_C06_MEAN__H01,R08,E1_ADAPTER_C06_MEAN,H01,u003,a1,3,success,True,11.485404703766108,393.81689453125,0.25514981399134484,0.39340998344121,0.3242798987162774,0.6697197341808726,0.6056737573060369,0.4066805054292666,0.3302802658191274
R2,R08__E1_ADAPTER_C06_MEAN__H01,R08,E1_ADAPTER_C06_MEAN,H01,u004,a1,4,success,True,11.563693288713694,393.4560546875,0.2565857058553775,0.39837083969655046,0.327478272775964,0.6738225946258307,0.6128739400298044,0.4000911717153687,0.3261774053741693
R1,R08__E1_ADAPTER_C06_MEAN__H01,R08,E1_ADAPTER_C06_MEAN,H01,u010,d1,0,success,True,11.417910546064377,388.0322265625,0.2609840515603198,0.3831576052033308,0.3220708283818253,0.6671057358400192,0.6073983211883698,0.4023705569706132,0.3328942641599808
R1,R08__E1_ADAPTER_C06_MEAN__H01,R08,E1_ADAPTER_C06_MEAN,H01,u011,d1,1,success,True,11.453546417877078,388.01318359375,0.2656164225822217,0.3891947581231882,0.327405590352705,0.658484013890552,0.5961776985336413,0.4122234862812154,0.341515986109448
R2,R08__E1_ADAPTER_C06_MEAN__H01,R08,E1_ADAPTER_C06_MEAN,H01,u012,d1,2,success,True,11.256063440814614,381.9248046875,0.2325233267204915,0.3797991538794349,0.3061612402999632,0.6663273859418034,0.6073538106208067,0.40162528196367636,0.3336726140581966
R2,R08__E1_ADAPTER_C06_MEAN__H01,R08,E1_ADAPTER_C06_MEAN,H01,u013,d1,3,success,True,11.372688183560967,379.75634765625,0.2717688233978931,0.3951876636816512,0.3334782435397722,0.6611783019997605,0.5925826268067423,0.4166164230666783,0.33882169800023954
R2,R08__E1_ADAPTER_C06_MEAN__H01,R08,E1_ADAPTER_C06_MEAN,H01,u014,d1,4,success,True,11.089856578037143,380.86083984375,0.23964107990676897,0.3778895088857009,0.3087652943962349,0.6592923003233145,0.6041286800891206,0.40493485149532366,0.34070769967668546
R2,R08__E1_ADAPTER_C06_MEAN__H01,R08,E1_ADAPTER_C06_MEAN,H01,u015,d1,5,success,True,11.050006300210953,380.91845703125,0.26426521239110556,0.39242844742259536,0.3283468299068505,0.6694108490001197,0.602773623623101,0.406777637855442,0.3305891509998803
R2,R08__E1_ADAPTER_C06_MEAN__H01,R08,E1_ADAPTER_C06_MEAN,H01,u016,d1,6,success,True,11.630963679403067,382.369140625,0.23752087517273254,0.36937466911573813,0.30344777214423535,0.6782121901568674,0.6280461516518067,0.3816827744658404,0.3217878098431326
R2,R08__E1_ADAPTER_C06_MEAN__H01,R08,E1_ADAPTER_C06_MEAN,H01,u017,d1,7,success,True,11.4230543281883,379.5849609375,0.25529654688897857,0.3845450435075875,0.31992079519828304,0.6616273500179619,0.600549833173553,0.4087047444605246,0.3383726499820381
R2,R08__E1_ADAPTER_C06_MEAN__H01,R08,E1_ADAPTER_C06_MEAN,H01,u018,d1,8,success,True,11.167140474542975,379.51220703125,0.25745012095211495,0.38665625484932425,0.3220531879007196,0.6570171236977608,0.5949739050261076,0.4142025674114209,0.3429828763022392
R2,R08__E1_ADAPTER_C06_MEAN__H01,R08,E1_ADAPTER_C06_MEAN,H01,u019,d1,9,success,True,11.512082723900676,382.69970703125,0.23237005105303077,0.3735245672634046,0.30294730915821766,0.6843491797389534,0.6311491982464277,0.37877755160054283,0.3156508202610466
R1,R08__E1_ADAPTER_C06_MEAN__H01,R08,E1_ADAPTER_C06_MEAN,H01,u020,p22,0,success,True,61.64315502345562,1346.20947265625,0.4842519887629372,0.640721265412138,0.5624866270875376,0.9093787795492028,0.8786141125834954,0.1229961778672753,0.0906212204507971
R1,R08__E1_ADAPTER_C06_MEAN__H01,R08,E1_ADAPTER_C06_MEAN,H01,u021,p22,1,success,True,61.65465293265879,1346.92529296875,0.4516573330830024,0.6169899464354227,0.5343236397592126,0.9157229246838924,0.8825429307137815,0.1189376741725103,0.0842770753161077
