stage,recipe_id,unit_id,dataset,seed,status,checkpoint_sha256,state_tensor_sha256,embedding_sha256,gate_sha256,reload_status,reload_embedding_exact,reload_gate_exact,fresh_process
R1,R09,u011,d1,1,success,9e522b84f7d9723cb3b139042703614af176d157c606960616008e1b05245819,df07c8d282615ad8a27c655b731be66db2bd63d328892af646f228004a3c4a78,85091a451b098cafbed55ab45af661f138eb2ecc448c979d4c23ad2d3c2c0f05,2cf81d0471b4453c0b7f784bda69aa660ef04a39770f8ea77cda40253f328764,PASS,True,True,True
R1,R09,u020,p22,0,success,c45e4b56534138d4d9d241ce3a9ccdfca12c9d9c7eb084a0fdf53259e73316c5,4e0dbbc6e8a0b9436feb4331578a322afdacbf48e922442d4f7cb14b60b50aa5,08c870e203c18f7ecae686322db09973994d4c5a413f1799ecbff6b26dc260d1,a25982c42f4b4a447b13c1706e6a28264107c4c51667338578d743db7ee94ea4,PASS,True,True,True
R1,R09,u021,p22,1,success,9e4c7926e53f0c94f53416c50618ab7829321283d2195cccd2ed7b581f20d9b6,8c85defab24d587244b630b8a53e03d7b31f9fdc24d500b2a90ede7a5cf92e79,b921380f14ba3e48016d5e01717a2d68fbd276a53376a288274ea86f4aff0c14,721833b121f096000371de8c46e2e267866706ce7498e72c6394c1ed082ced7e,PASS,True,True,True
R2,R02,u002,a1,2,success,2270f95248f2c2193db353ffac9f8a830ecf29e7e2d23181f32aff99d93ddc67,971fe770bbc53f1b2ff0b553883a61e7d961a9c4218e28135b97b92b6d717273,ab5e77838f2af5bc0f6959365523a18b43ad39f93f206af2616f221d61f2f1a0,bfbde3c59d8a4725f724583a3927ae3e1be5082e4bd42927b4aae861622fec7d,PASS,True,True,True
R2,R02,u003,a1,3,success,fbeb16ed94e6908d7efef15e13ad068e41b8b46b30eea97b98cf54e374208c4d,fab1c9d0154bd4a606f015e8dc7bdfa504f1490716114daff2f90d1c4c06cebd,78160d800d7d70fb1587c910af90293f32eeb4ee92902f5ca763c613b6989566,bfbde3c59d8a4725f724583a3927ae3e1be5082e4bd42927b4aae861622fec7d,PASS,True,True,True
R2,R02,u004,a1,4,success,80b8b37c5cb0056dfe7d6bfb55c2c0064d5de726ebc3572ea62e47d673e4cc49,d899d1f74346edf99e0e92bedc45f5ff2eabcf4c764f11c1f0540bcdbbda9504,c2b188d27f3d20d0b37b1bb70b01b933b05f3b5eeea24c40abfe32ead192eab4,bfbde3c59d8a4725f724583a3927ae3e1be5082e4bd42927b4aae861622fec7d,PASS,True,True,True
R2,R02,u007,tonsil,2,success,15cf12bb49a705ce597dba9b7762f870667b9c969cc50068498336d24ed3641e,13449c9e8e527449551ff366a2ba2ae5ef6613bd3cdfd5174cba4dd520dfd771,01ff98b99326f246261187b023d7366df885a2c8128d04e9932799dc1782a6a6,8ac8257e26879a20f3753aae9942034170ce72dc9df5d29e216722df48cfec15,PASS,True,True,True
R2,R02,u008,tonsil,3,success,70e2718526980e8772e01c1bbb4b0613136d7d34569bdf51360d704ad14b2003,75d76a45f6e39cb5d8ffee37ecd2829472fb44534f16ea096620bdc8398a647e,8096b3bbc6eec6a87128f37ce6890d81c420c13cd1733b54e3f088ef44eb27b6,8ac8257e26879a20f3753aae9942034170ce72dc9df5d29e216722df48cfec15,PASS,True,True,True
R2,R02,u009,tonsil,4,success,5b334e852d8415d8f9f79ee7d6a9bb1b30a7362ffc3dc27b1b1d6073af7cdd9b,4e9ce72b231514e3236319eb58709aacf617d3f210c60a912268e6d50a3c41cf,b341b665b245fe157a5deef5624862bfce5d0f630688ea224a8fe59917ec179c,8ac8257e26879a20f3753aae9942034170ce72dc9df5d29e216722df48cfec15,PASS,True,True,True
R2,R02,u012,d1,2,success,7e7c28a8d0d859fd6a3288124de69e4194f0b89fc3040f288c0dc98f16da8bc3,09f5a2b3a10c5c1e4633b30d2a9fa036681e3747b83174ed3d6d89ff91ffbb4c,bf0a419d6cfcdec6ffa2fa310945f5ff1edbe9cb54ba9db95a3bfbc851647bdb,4c50096baf7b24890d844cb06154ff46fc684d02d1d09eb54350d6dc56e7c7e5,PASS,True,True,True
R2,R02,u013,d1,3,success,d68543f002fcd45074aae972ff5201b62367a783d946be4a152335d1e174be9e,2ab8932310ec1b3251a6156f83a4c9473603a69e5a8a5269455f47d7c6f70bbc,212e6c698edb06df0c02cd8d6296b62b6329bf5acbe390aa0d4591666c7cf62a,4c50096baf7b24890d844cb06154ff46fc684d02d1d09eb54350d6dc56e7c7e5,PASS,True,True,True
R2,R02,u014,d1,4,success,a11815303e159b6d1ae16729dd221c06247ef40f16022667d741ff4b386a9d28,0a861ba6ebbdf52f2f246c8ae5b833512972408e5b8919f7dbcc2a9a011bff21,024f52d5bca55e1640ae0de7d67ad5e552a1ff3296b7c64ff8f46a02563e8a36,4c50096baf7b24890d844cb06154ff46fc684d02d1d09eb54350d6dc56e7c7e5,PASS,True,True,True
R2,R02,u015,d1,5,success,87ce62d1f47eff4cfca5ef9fab04b80d17559cffd84d33c0ee9cd0b81174b264,e426efe3b5fcdccdd2dcad49666838ff073bfcb4dbf72ccab218c4ae2ea70684,3e51dbe247f4a601630c6673245aff446e3103f8307aebe8b12091652f3fa1ac,4c50096baf7b24890d844cb06154ff46fc684d02d1d09eb54350d6dc56e7c7e5,PASS,True,True,True
R2,R02,u016,d1,6,success,1081e2ca66eec5c2c0bdb2814196bacd6d6d76a2a39dd0b7c38a93aa73404b9a,1e9a9c49548a3966b916eded985d8f9a4c81fed0505f8dd1edb728145a4f6d7f,65f0a7cecb12c49ac2ec8a07bf2213cf4f4953a7e5342761cf41d146bffe479e,4c50096baf7b24890d844cb06154ff46fc684d02d1d09eb54350d6dc56e7c7e5,PASS,True,True,True
R2,R02,u017,d1,7,success,2e3db5bcbd4d168fc5d39f7818a10b5f111e5382a427786ed2ef79c7c6535944,f95450bad9e8fa9e72cd83fcc92a87e4d97cd7c69658af62f1db3b1a8c428c39,9c505ed771d01ef806fc8a836d4760b5deef9390abfe3f0891f5a32715f4a998,4c50096baf7b24890d844cb06154ff46fc684d02d1d09eb54350d6dc56e7c7e5,PASS,True,True,True
R2,R02,u018,d1,8,success,07ca420674270975d599e6c7a7c3bb95f55b4f7a695f7d48e061ced792ba47de,5f5d40a1d1c87d4e4b892b08d6c89b9ff2ac29d898af8e91e0bd39c21190a810,dba6f5b0a8a827fe5fe21ad51ac5bb4b4bd04a735848e92aecb42620f8bee558,4c50096baf7b24890d844cb06154ff46fc684d02d1d09eb54350d6dc56e7c7e5,PASS,True,True,True
R2,R02,u019,d1,9,success,737ad58a32662df27cbfbb617302daf639107215f8183288248634cd8fa14dc4,f0f1e8c8e75b80c15d103984dc9137da35113c442cedd4f21e245d435fc9f0f9,bef677aad64b3d121ea64c5f76241d304ee1ec42c9ccea8dd6497882e6331c0d,4c50096baf7b24890d844cb06154ff46fc684d02d1d09eb54350d6dc56e7c7e5,PASS,True,True,True
R2,R02,u022,p22,2,success,dd30b0118221a1b4edb7ef15aef29797f2879320cbf8e280d923dba57dacae48,77fdd4d0ff0e50cc57f4343b248be5a18932cca26f620cdf7f0a320d9b27c8a8,1b6518aad6704a9e1592d0f18e7b3da7904a09a92127f1379a032dda55cd6265,732cc835d36f6d96549b94a7b11b4c041c34f6ba5c3eb5f4a0c582e4717e48f7,PASS,True,True,True
R2,R02,u023,p22,3,success,d2b4abc7d1ea210a09de7fb10b24b54d6415a53e2fdbde0b240216d502aea70d,cb146b598bfff2bc65c979a5e298b46c5c34243b11cd21c43efae4290535ecd2,7530629ded31485dc8379143826717b04c6514d370be10d156dca0ac7f5f87c9,732cc835d36f6d96549b94a7b11b4c041c34f6ba5c3eb5f4a0c582e4717e48f7,PASS,True,True,True
R2,R02,u024,p22,4,success,1c0c548b1ffb9de90c906b102299e1f36b364d6b71b0287f53f79f4997869490,5f97ee260e80070f6b8ea6f9bac431307cfc4d573d35b889849230a9c1691483,1f06af8535bc314f873ec6b02d44def58ac9ac24eae2106aa5e1a394edfc58ae,732cc835d36f6d96549b94a7b11b4c041c34f6ba5c3eb5f4a0c582e4717e48f7,PASS,True,True,True
R2,R02,u025,p22,5,success,5134d374b8e4646657471d6b69221d3ca7aef17fd4c2e75480e71362f6d03173,c3de82774297748a5225c4a24def1e772e603044e6122516f01ad21841325aca,4e919d2938cc6906f0ff61d5bd078b9ed6463c70f275b1362184619babb29d76,732cc835d36f6d96549b94a7b11b4c041c34f6ba5c3eb5f4a0c582e4717e48f7,PASS,True,True,True
R2,R02,u026,p22,6,success,2a68477971147007372179cf504c3a5849cbb1dd431c1c149959289e83443806,5811b39302cd4b69e65a9561be37bc23b2f28d8a31f10aceb4f09b6fba4fa28f,520b21d77d330b1b291f808ced6779b5ee20d04aec041c7bcffac3361bb6c16a,732cc835d36f6d96549b94a7b11b4c041c34f6ba5c3eb5f4a0c582e4717e48f7,PASS,True,True,True
R2,R02,u027,p22,7,success,14a66326ae98a99d41ea281b5e3d72376feba0449cc78a843c923e96b3334352,bbc42f83849672a263e4e9b75c3d70ca406b2ec2088aa7d905ef8aaaa1e1ffca,3ae77eb0d50052254252b5da267914cd99bc0d9d70dc0a44f3f1bfb3187c9fed,732cc835d36f6d96549b94a7b11b4c041c34f6ba5c3eb5f4a0c582e4717e48f7,PASS,True,True,True
R2,R02,u028,p22,8,success,5d3d704767a03728dbd7fab546944b21a6827f54d7e0817f3ab6f03e151918f6,908a694030223825ecd00bfa055c5d7c163e5c5709f3adb58e337e594dd40daa,3af572e2ee5f75ce3b415061c33e878f9e65ee6a2b9f3a22641d221dc1899685,732cc835d36f6d96549b94a7b11b4c041c34f6ba5c3eb5f4a0c582e4717e48f7,PASS,True,True,True
R2,R02,u029,p22,9,success,94e4817a5f0a704c9624aa1900974025f30ae6ad4594936b09bd16a4df7e14e0,09cc4d6e92251fa33da0a7483a5730a1ede22c0f98436a28516b5351156eeda1,7c9051976670945a30c7b0c0b5d96fdfe792a0af2f60100bc15b42e6c7e7a4c9,732cc835d36f6d96549b94a7b11b4c041c34f6ba5c3eb5f4a0c582e4717e48f7,PASS,True,True,True
R2,R08,u002,a1,2,success,230c4161bd717d531728c6c548a07c202ce782db7e84b648c3a7f49d02347110,8391156a3a38877df03c0313acf835443012a48c23a4d8504fbe608aede5854a,a5c622039e694993a11e16ea47882b1994bf98ed805753be966ff1b35eca5b84,a2e973944e7b52c19c38146fd1c7a7245e739d26561449319d75421189a76981,PASS,True,True,True
R2,R08,u003,a1,3,success,c6a080d17ed965b59449fb867ea234defaa107aa9893388f159906e6c11b1572,75d4db92149f65b57af100b09d3721371fccd4a252ade0831d60d62ff81fbcb6,f2c9b2d77883c8e6cbeae24f3c4bc31c7a40cfc181a3fdb13b04baa9a3d5e420,48462e2a10c93b968c4e1863f4806d8f3341042b9f7d2361b31473f727fb0f4e,PASS,True,True,True
R2,R08,u004,a1,4,success,df8fdb8bef7438c3af061e135447bb37d45e0abe781ec75c6f2ca881c3d06e53,d0cfddc661c1326b4c9451876cea0c79759d94f60aada4ef762f6f3060d6104d,a4e4496706b8a42da156c08c31930825b4b6b65372c16041bc623c05bacf6ea4,21ffade422ba540fd28a2a749421ebaf2d65761d9b611eb562f068097aa57eb5,PASS,True,True,True
R2,R08,u007,tonsil,2,success,da2852905cb92fc1da9c384410287b4ef214652b9c2e8ef8d923af2aca448386,431e7ff9f86ebdeb27a727ce98b55ca65da6ec970f0d11a51c0be7933f89f41a,1ec49ad12bb5aff923dcdbc6928a0deaa88439821945a37b7529849169f16077,6532e39b77ac0ef5c6072d69c19acf4f27c6341dad0ddb8895cdc22f7644b108,PASS,True,True,True
R2,R08,u008,tonsil,3,success,916d0851521e296e8680e83c46008f0b2f2e3f869812157f7c440634345760e7,e5316672e1f68b7d60c69d462150958840bd8064b4cab1c90b00f05276387f77,960f58c347b8ce07631fce32a7ddbe9cd3675769aa1f256d2ba358d736c6a95d,1930a0c33f30bd88ad899bdf9059d5f8469068c17c7c800f30f57dab9dc20ed7,PASS,True,True,True
