stage,config_id,dataset,seed,success,status,runtime_seconds,peak_rss_mib,gpu_allocation_mib,ari,nmi,q,neighbor_agreement,moran_i,geary_c,boundary_disagreement
H,H17,a1,2,False,scientific_numerical_failure,24.36216389760375,777.359375,0.0,,,,,,,
H,H00,a1,3,True,success,2.3000652231276035,777.359375,0.0,0.2640021001278234,0.4042379285292455,0.33412001432853444,0.6338052585957815,0.574343599235682,0.440287300105444,0.3661947414042185
H,H01,a1,3,True,success,2.451875912025571,777.359375,0.0,0.26333180893218333,0.40141246936424,0.3323721391482117,0.655764229991332,0.5890798418909972,0.42315836356199493,0.344235770008668
H,H02,a1,3,True,success,2.4126952718943357,777.359375,0.0,0.2648478186100666,0.40398875590319305,0.3344182872566298,0.6542328806703265,0.5872911856778813,0.4249951516149295,0.3457671193296735
H,H03,a1,3,True,success,2.3552922438830137,777.359375,0.0,0.2656800369485232,0.40758735412626573,0.3366336955373945,0.6512857555619763,0.5829043229461723,0.4296101696058573,0.3487142444380237
H,H04,a1,3,True,success,2.425445783883333,777.359375,0.0,0.26824310287778,0.4119118264421838,0.3400774646599819,0.6493210054897428,0.5814398013513624,0.4314370584982119,0.3506789945102572
H,H05,a1,3,True,success,2.4626125879585743,777.359375,0.0,0.2691639550507304,0.4137900806968063,0.34147701787376833,0.6442935567754984,0.5762742094250455,0.43679773084284956,0.3557064432245016
H,H06,a1,3,True,success,2.467045882716775,777.359375,0.0,0.26404805478817855,0.39907186927921384,0.3315599620336962,0.6526437445824906,0.5873657218787092,0.42470845166505916,0.34735625541750936
H,H07,a1,3,True,success,2.4213841129094362,777.359375,0.0,0.2629939420411543,0.4012210925221583,0.33210751728165633,0.6557931233747472,0.5891745719127821,0.4230742860431473,0.34420687662525284
H,H08,a1,3,True,success,3.7452370449900627,777.359375,0.0,0.22885286093165233,0.3801200062404812,0.30448643358606675,0.5526148511990754,0.47891204601054504,0.5262638576731692,0.4473851488009246
H,H09,a1,3,True,success,4.599879078567028,777.359375,0.0,0.1930404012692357,0.3493684685981171,0.2712044349336764,0.5776943080034672,0.508136295275132,0.49527191054681935,0.4223056919965328
H,H10,a1,3,True,success,4.59234082698822,777.359375,0.0,0.21923690221812314,0.37442385576707066,0.2968303789925969,0.5821438890494077,0.5119077006855624,0.4941956127843599,0.4178561109505923
H,H11,a1,3,True,success,3.738854283466935,777.359375,0.0,0.18314137839914757,0.3463238523714701,0.26473261538530884,0.5765674660502745,0.4985306557266746,0.5031811512919234,0.42343253394972546
H,H12,a1,3,True,success,4.4741249438375235,777.359375,0.0,0.16984480500846227,0.33962923666070616,0.2547370208345842,0.5121641144177983,0.45281822389695614,0.5480540396563538,0.4878358855822017
H,H13,a1,3,True,success,4.857585191726685,777.359375,0.0,0.1611054015270686,0.3428794035573178,0.2519924025421932,0.5480496966194741,0.5098227318574365,0.49055952796196395,0.4519503033805259
H,H14,a1,3,True,success,1.0063766594976187,777.359375,0.0,0.262278144203098,0.40468340480250115,0.33348077450279956,0.6277665414620052,0.55965546255581,0.4524615170982905,0.37223345853799483
H,H15,a1,3,True,success,0.9922608900815248,777.359375,0.0,0.25630301685081147,0.39796192830763455,0.327132472579223,0.6512857555619763,0.5881343550277107,0.42338378181283687,0.3487142444380237
H,H16,a1,3,False,scientific_numerical_failure,17.9090978205204,777.359375,0.0,,,,,,,
H,H17,a1,3,False,scientific_numerical_failure,22.12477884069085,777.359375,0.0,,,,,,,
H,H00,a1,4,True,success,1.9042188711464405,777.359375,0.0,0.2650444081657329,0.40158324045111066,0.33331382430842177,0.6429355677549841,0.5856323521166924,0.4281300037201783,0.35706443224501594
H,H01,a1,4,True,success,2.687219988554716,786.9609375,0.0,0.26602469638937515,0.4092378818675364,0.33763128912845575,0.6605027448714245,0.5986517908231508,0.41457526482194007,0.33949725512857554
H,H02,a1,4,True,success,2.670340660959482,787.06640625,0.0,0.2652567287938333,0.4092058514096567,0.337231290101745,0.6576711932967351,0.5934939021648306,0.4196455726387728,0.34232880670326493
