stage,recipe_id,unit_id,dataset,seed,epochs,initial_total,final_total,loss_curve_sha256,initial_RECON,final_RECON,initial_RELKL,final_RELKL,initial_CLIP,final_CLIP,initial_MNN,final_MNN,initial_MASK,final_MASK,initial_SEMANTIC,final_SEMANTIC,initial_MOE_BALANCE,final_MOE_BALANCE,initial_DCCA,final_DCCA
R1,R04,u021,p22,1,160,0.7186309099197388,0.4928038716316223,0c9a36b813b4f00c5814cd395ec0a21794d660b63f642898566f97b7754b842d,0.0182403810322284,0.0063968151807785,0.6325280070304871,0.4784234464168548,,,0.3393125832080841,0.0399181507527828,,,,,,,,
R1,R05,u000,a1,0,160,0.4958476126194,0.4965517222881317,0a79551949ca1bfc3c5f6a4158c851c007b3a3abe057319c1d5feeecad38a63d,0.0254795402288436,0.0254827048629522,0.4574884176254272,0.4581872820854187,,,,,0.025759283453226,0.0257634371519088,,,,,,
R1,R05,u001,a1,1,160,0.5217198133468628,0.5217046737670898,516598d290b2b200ca6a3ca2c1592605ca4691f3dda7168e7d2bec28a6fa570d,0.0258645117282867,0.0258656591176986,0.4831276834011078,0.4831138551235199,,,,,0.025455180555582,0.0254503972828388,,,,,,
R1,R05,u005,tonsil,0,160,0.4356086254119873,0.4358098804950714,37fcba929d7d294c4ba4c9c132f7a66279ca7856c7c82e623b6f0e87c79e1d04,0.025830689817667,0.0258275754749774,0.396766722202301,0.3969727158546448,,,,,0.0260224398225545,0.026019163429737,,,,,,
R1,R05,u006,tonsil,1,160,0.4062918126583099,0.405819296836853,def8663d8fbeda916ed7548adf867e7d15a2c4ee3727a1ed2f73c499ff8b4c34,0.0257923118770122,0.0257896818220615,0.3676823079586029,0.3672113418579101,,,,,0.0256343837827444,0.0256365295499563,,,,,,
R1,R05,u010,d1,0,160,0.5724877119064331,0.572315514087677,96413f42a65b1949fcb4a59df0c667d3f60973f5d55f55e1bf6784d5fade9c88,0.0257683880627155,0.0257686972618103,0.5336369276046753,0.5334674119949341,,,,,0.0261647664010524,0.0261588394641876,,,,,,
R1,R05,u011,d1,1,160,0.5458879470825195,0.5448195934295654,946fa4bded3e01c924e8261d16bdfc6b11f42bd646f326e967383e67fdd53ef6,0.026307513937354,0.0263074841350317,0.5065703392028809,0.5054988861083984,,,,,0.0260201320052146,0.0260264575481414,,,,,,
R1,R05,u020,p22,0,160,0.7930774092674255,0.7934762835502625,6fc240f8cd3c0b2ea060b99a5d2f365b04779c0dcd09899ec0f3e8881e15ca04,0.0182001050561666,0.0181992575526237,0.7657788991928101,0.7661792039871216,,,,,0.0181968323886394,0.0181955806910991,,,,,,
R1,R05,u021,p22,1,160,0.8208771347999573,0.8210325837135315,378add3f9287b180d037abe7189970fa4e0ee6e23c9f1ff74a377b4fefbdc6b8,0.0182348638772964,0.0182353686541318,0.7935268878936768,0.7936829924583435,,,,,0.0182308368384838,0.0182283576577901,,,,,,
R1,R06,u000,a1,0,160,0.7941594123840332,0.4609230756759643,6017301fa3693c9f5caeaffac2ed9034a850574c902baa0200e1ce8789143516,0.0253599565476179,0.0048931967467069,0.2878898978233337,0.2390591502189636,,,,,,,2.404547929763794,1.0848536491394043,,,,
R1,R06,u001,a1,1,160,0.8066761493682861,0.4639648199081421,8ac6a69a7850cb855c89a36e4f35d0bd9f358a43f0a8617b37afbb72d45fd34d,0.0258765649050474,0.0050465408712625,0.2976726293563843,0.2380458414554596,,,,,,,2.415634870529175,1.1043622493743896,,,,
R1,R06,u005,tonsil,0,160,0.5140430927276611,0.2313786298036575,c078b9a0e2564115ab569710305d5d9f9a04519bbd8b170a4d42f921fececac3,0.0257566533982753,0.0040322691202163,0.183921679854393,0.1609683781862259,,,,,,,1.5218236446380615,0.3318898975849151,,,,
R1,R06,u006,tonsil,1,160,0.4935673475265503,0.2228663116693496,25dee5ba2bf2df4cc94d7a23221ac945c452086111157d631b53942bace741cb,0.025803817436099,0.0037649031728506,0.1820845901966095,0.1573916673660278,,,,,,,1.428394794464111,0.3085487186908722,,,,
R1,R06,u010,d1,0,160,0.8319904804229736,0.4948486983776092,5d2e162276a093551b70102fae614df45dd4ab979a12c13df184a270764db95f,0.0256799664348363,0.0054266406223177,0.3466951847076416,0.2718423306941986,,,,,,,2.2980763912200928,1.0878986120224,,,,
R1,R06,u011,d1,1,160,0.8272409439086914,0.5056520700454712,0aec0c401e2415cfffd6bb1a21347f2a7e03d144d785f7134c1339c46e9c0c4b,0.026373166590929,0.0055673373863101,0.3386369943618774,0.2748796641826629,,,,,,,2.311153650283813,1.1260253190994265,,,,
R1,R06,u020,p22,0,160,1.0722863674163818,0.6956167221069336,87b9da1f11a0b14f334488f21b800a506843dbb9faed7dda14681f32e4ef5bc8,0.0181971862912178,0.0067069679498672,0.6069607138633728,0.492580235004425,,,,,,,2.235642194747925,0.9816476106643676,,,,
R1,R06,u021,p22,1,160,1.0979740619659424,0.7003855109214783,7424376827308b55cbc50dd578a40fb397b031be2e1f99b2d5a403183f18fd5c,0.0182403810322284,0.0066099185496568,0.6325280070304871,0.498522400856018,,,,,,,2.2360281944274902,0.9762660264968872,,,,
R1,R07,u000,a1,0,160,0.3248513638973236,0.2257134169340133,52abda6ecd2d10e38995c1d7294f288b55ad533e358c9d59efd2529f18ad1a47,0.0253932438790798,0.0049231997691094,0.2894178032875061,0.2196680903434753,,,,,,,,,1.0040322542190552,0.1122128814458847,,
R1,R07,u001,a1,1,160,0.3329847753047943,0.2251620441675186,a9698f07727130a3ecd1d8a79d6c60279889492010b38b5ce3326d7c69471fbf,0.0258573722094297,0.0052029341459274,0.2971894741058349,0.2190129607915878,,,,,,,,,0.9937952756881714,0.094615638256073,,
R1,R07,u005,tonsil,0,160,0.2193237245082855,0.1498187184333801,13a99a8786c8af7dcc81242e62fac513699f83461cf0d18ad3032d0bf99cbc25,0.0257914867252111,0.0035891998559236,0.1834894716739654,0.1453815698623657,,,,,,,,,1.0042767524719238,0.0847953334450721,,
R1,R07,u006,tonsil,1,160,0.2175319343805313,0.1472508609294891,b9e5526c0b0c6603261246ffbbca61d57e07fdb35b22b319758c9069f2f3d5ef,0.0257904939353466,0.0035007069818675,0.1818373650312423,0.1435732096433639,,,,,,,,,0.9904069304466248,0.0176944863051176,,
R1,R07,u010,d1,0,160,0.3847838938236236,0.2596208751201629,02651b43261274a912b4832bf930760af57a910aa79ab7f1ad73abcba80f1a1e,0.025708682835102,0.0056436406448483,0.3490348756313324,0.2521925866603851,,,,,,,,,1.0040349960327148,0.1784641444683075,,
R1,R07,u011,d1,1,160,0.3744184076786041,0.2624815702438354,72f2562cb4bf4b487208dd56070ee4a78bf3a556075d39d3e2ea1517de1dc630,0.026365753263235,0.0058749574236571,0.3380668759346008,0.2546730637550354,,,,,,,,,0.9985764026641846,0.1933558136224746,,
R1,R07,u020,p22,0,160,0.6273830533027649,0.4759778678417206,152efde98cba3f7abdc2260824e792dca30ca7c7d6ec6750a0b2a1f94e5c0a89,0.018196664750576,0.0066770352423191,0.6073723435401917,0.4635500311851501,,,,,,,,,0.1814074516296386,0.5750793218612671,,
R1,R07,u021,p22,1,160,0.660408616065979,0.4831321537494659,e75de1af46922c9529c4aad03ac7680791c5e80f0893e7cab3533c1a07bfa737,0.0182336159050464,0.0066225859336555,0.6321916580200195,0.4718025624752044,,,,,,,,,0.9983373880386353,0.4707008302211761,,
R1,R08,u000,a1,0,160,0.3570468723773956,0.2346076816320419,7b2dcf3936d9c64763a6ec2eb697a60307c8c03c61db2f7790eade6253c5863d,0.0253932438790798,0.004736618604511,0.2894178032875061,0.2219103872776031,,,0.1609775274991989,0.016202637925744,,,,,1.0040322542190552,0.4720152914524078,,
R1,R08,u001,a1,1,160,0.373098224401474,0.2397418618202209,5a9eb8a63246223dfb7ef1cce4abfc10130b3290911cae3031ab7396040b7215,0.0258573722094297,0.0049412688240408,0.2971894741058349,0.2215339988470077,,,0.2005672454833984,0.0205011572688817,,,,,0.9937952756881714,0.916635513305664,,
R1,R08,u005,tonsil,0,160,0.2361398488283157,0.1519694477319717,42d7f56d6066b38f1bccccdef0cb1ebf0ee0e73b3452947fcd8d4e6cf08b2799,0.0257914867252111,0.003460032865405,0.1834894716739654,0.1464895755052566,,,0.0840806066989898,0.0033736370969563,,,,,1.0042767524719238,0.1345118731260299,,
R1,R08,u006,tonsil,1,160,0.2473378777503967,0.1513081789016723,134b647d3ab5d29c1fd353123e485193b9b263ccce835a51f51a0633e4b5a243,0.0257904939353466,0.00336693553254,0.1818373650312423,0.1449845433235168,,,0.1490297317504882,0.0042576869018375,,,,,0.9904069304466248,0.2105155438184738,,
R1,R08,u010,d1,0,160,0.4221520721912384,0.2685246467590332,9706d5094948e614398d4cc2303920d1d5c5e565cba35acd807606ab2fe78bfc,0.025708682835102,0.0053839795291423,0.3490348756313324,0.2549554705619812,,,0.1868408918380737,0.0225810445845127,,,,,1.0040349960327148,0.3668985664844513,,
R1,R08,u011,d1,1,160,0.4159815311431885,0.272304356098175,d69f9d955c93b44d6fbf040a3a981f1821bf2902e9b16917f0a49fdc15d3660c,0.026365753263235,0.0056228875182569,0.3380668759346008,0.2578898668289184,,,0.2078156471252441,0.0248522572219371,,,,,0.9985764026641846,0.3821132481098175,,
R1,R08,u020,p22,0,160,0.699759840965271,0.4912242889404297,223cdf9232bc0aa70f7d40295e03b2d1b31c2bebde0747128a9f42da1de87aac,0.018196664750576,0.00643877312541,0.6073723435401917,0.4706199169158935,,,0.3618838191032409,0.0441126972436904,,,,,0.1814074516296386,0.5343070030212402,,
