ablation,ari_bootstrap_ci_high,ari_bootstrap_ci_low,ari_full_minus_ablation,ari_full_minus_ablation_macro_mean,ari_full_minus_ablation_max,ari_full_minus_ablation_mean,ari_full_minus_ablation_median,ari_full_minus_ablation_min,ari_full_minus_ablation_sd,ari_full_win_count,ari_full_win_count_15,boundary_disagreement_bootstrap_ci_high,boundary_disagreement_bootstrap_ci_low,boundary_disagreement_full_minus_ablation,boundary_disagreement_full_minus_ablation_macro_mean,boundary_disagreement_full_minus_ablation_max,boundary_disagreement_full_minus_ablation_mean,boundary_disagreement_full_minus_ablation_median,boundary_disagreement_full_minus_ablation_min,boundary_disagreement_full_minus_ablation_sd,boundary_disagreement_full_win_count,boundary_disagreement_full_win_count_15,dataset,nmi_bootstrap_ci_high,nmi_bootstrap_ci_low,nmi_full_minus_ablation,nmi_full_minus_ablation_macro_mean,nmi_full_minus_ablation_max,nmi_full_minus_ablation_mean,nmi_full_minus_ablation_median,nmi_full_minus_ablation_min,nmi_full_minus_ablation_sd,nmi_full_win_count,nmi_full_win_count_15,row_type,seed,spatial_cluster_geary_mean_bootstrap_ci_high,spatial_cluster_geary_mean_bootstrap_ci_low,spatial_cluster_geary_mean_full_minus_ablation,spatial_cluster_geary_mean_full_minus_ablation_macro_mean,spatial_cluster_geary_mean_full_minus_ablation_max,spatial_cluster_geary_mean_full_minus_ablation_mean,spatial_cluster_geary_mean_full_minus_ablation_median,spatial_cluster_geary_mean_full_minus_ablation_min,spatial_cluster_geary_mean_full_minus_ablation_sd,spatial_cluster_geary_mean_full_win_count,spatial_cluster_geary_mean_full_win_count_15,spatial_cluster_moran_mean_bootstrap_ci_high,spatial_cluster_moran_mean_bootstrap_ci_low,spatial_cluster_moran_mean_full_minus_ablation,spatial_cluster_moran_mean_full_minus_ablation_macro_mean,spatial_cluster_moran_mean_full_minus_ablation_max,spatial_cluster_moran_mean_full_minus_ablation_mean,spatial_cluster_moran_mean_full_minus_ablation_median,spatial_cluster_moran_mean_full_minus_ablation_min,spatial_cluster_moran_mean_full_minus_ablation_sd,spatial_cluster_moran_mean_full_win_count,spatial_cluster_moran_mean_full_win_count_15,spatial_neighbor_agreement_bootstrap_ci_high,spatial_neighbor_agreement_bootstrap_ci_low,spatial_neighbor_agreement_full_minus_ablation,spatial_neighbor_agreement_full_minus_ablation_macro_mean,spatial_neighbor_agreement_full_minus_ablation_max,spatial_neighbor_agreement_full_minus_ablation_mean,spatial_neighbor_agreement_full_minus_ablation_median,spatial_neighbor_agreement_full_minus_ablation_min,spatial_neighbor_agreement_full_minus_ablation_sd,spatial_neighbor_agreement_full_win_count,spatial_neighbor_agreement_full_win_count_15
DROP_MOD2_RECON,,,0.05812857035433622,,,,,,,,,,,-0.002174858634188759,,,,,,,,,p22,,,0.03463821373585241,,,,,,,,,seed,0,,,-0.03566529817372843,,,,,,,,,,,0.035514040643071954,,,,,,,,,,,0.002174858634188759,,,,,,,,
DROP_MOD2_RECON,,,0.08212655539090652,,,,,,,,,,,0.03685705741626799,,,,,,,,,p22,,,0.05066136021670031,,,,,,,,,seed,1,,,-0.0045537932553370575,,,,,,,,,,,0.0034833978478099326,,,,,,,,,,,-0.03685705741626799,,,,,,,,
DROP_MOD2_RECON,,,0.1635385420158939,,,,,,,,,,,-0.006905176163549354,,,,,,,,,p22,,,0.08742818439626288,,,,,,,,,seed,2,,,-0.03316545235887414,,,,,,,,,,,0.033743192799276955,,,,,,,,,,,0.006905176163549354,,,,,,,,
DROP_MOD2_RECON,,,0.168352398019729,,,,,,,,,,,0.016658057851239638,,,,,,,,,p22,,,0.1341767284187561,,,,,,,,,seed,3,,,-0.043224014400024685,,,,,,,,,,,0.04154893039368568,,,,,,,,,,,-0.016658057851239638,,,,,,,,
DROP_MOD2_RECON,,,0.16258256395931392,,,,,,,,,,,-0.03508998477598957,,,,,,,,,p22,,,0.07330010141319432,,,,,,,,,seed,4,,,-0.0589483099252934,,,,,,,,,,,0.05910827670416052,,,,,,,,,,,0.03508998477598957,,,,,,,,
DROP_MOD2_RECON,0.16527288880611196,0.08401016169396182,,,0.168352398019729,0.1269457259480359,0.16258256395931392,0.05812857035433622,0.05260249484745807,5,,0.02250757802305296,-0.01817909960852544,,,0.03685705741626799,0.0018690191387559895,-0.002174858634188759,-0.03508998477598957,0.026935969954522132,2,,p22,0.1081239459738463,0.04877984986365995,,,0.1341767284187561,0.0760409176361532,0.07330010141319432,0.03463821373585241,0.03832512308606403,5,,dataset_summary,,-0.018010169304981997,-0.04951373261013217,,,-0.0045537932553370575,-0.03511137362265154,-0.03566529817372843,-0.0589483099252934,0.019823430786299917,0,,0.049316412710966095,0.017148463347278486,,,0.05910827670416052,0.03467956767760101,0.035514040643071954,0.0034833978478099326,0.020116685387517683,5,,0.019103414528055685,-0.02124429099608529,,,0.03508998477598957,-0.0018690191387559895,0.002174858634188759,-0.03685705741626799,0.026935969954522132,3,
DROP_MOD2_RECON,,,,0.03589421215070291,,,,,,,9,,,,0.01665516009157093,,,,,,,9,equal_weight_macro,,,,0.03521475668346436,,,,,,,11,macro_summary,,,,,-0.005644327525964284,,,,,,,6,,,,-0.006093731326294212,,,,,,,9,,,,-0.016655160091570923,,,,,,,6
DROP_CORR1,,,-0.007151796579600578,,,,,,,,,,,-0.0449515244291363,,,,,,,,,a1,,,-0.006816168178346349,,,,,,,,,seed,0,,,-0.05007453556234298,,,,,,,,,,,0.0516531932186578,,,,,,,,,,,0.0449515244291363,,,,,,,,
DROP_CORR1,,,-0.008802692841202608,,,,,,,,,,,-0.016073478760045945,,,,,,,,,a1,,,0.002501818696948488,,,,,,,,,seed,1,,,-0.029857749701524106,,,,,,,,,,,0.029887044885782976,,,,,,,,,,,0.016073478760045945,,,,,,,,
DROP_CORR1,,,-0.016558562423808237,,,,,,,,,,,-0.06762661053705832,,,,,,,,,a1,,,-0.006514861980940256,,,,,,,,,seed,2,,,-0.08481417740363861,,,,,,,,,,,0.08810396931026088,,,,,,,,,,,0.06762661053705832,,,,,,,,
DROP_CORR1,,,-0.028117955383577142,,,,,,,,,,,-0.04817259854573286,,,,,,,,,a1,,,-0.011380444413009172,,,,,,,,,seed,3,,,-0.0752933991500363,,,,,,,,,,,0.07693762528545212,,,,,,,,,,,0.04817259854573286,,,,,,,,
DROP_CORR1,,,-0.016422654789479102,,,,,,,,,,,-0.08296657736956248,,,,,,,,,a1,,,-0.0011485894736784075,,,,,,,,,seed,4,,,-0.10144731792521666,,,,,,,,,,,0.10590425496885286,,,,,,,,,,,0.08296657736956248,,,,,,,,
DROP_CORR1,-0.009363329000762515,-0.021943024283148455,,,-0.007151796579600578,-0.015410732403533533,-0.016422654789479102,-0.028117955383577142,0.00830197603490193,0,,-0.03215971424926649,-0.07229557341497642,,,-0.016073478760045945,-0.05195815792830718,-0.04817259854573286,-0.08296657736956248,0.025289108600528222,0,,a1,-0.00027463392504304405,-0.00858161743273026,,,0.002501818696948488,-0.004671649069805139,-0.006514861980940256,-0.011380444413009172,0.005405435221103468,1,,dataset_summary,,-0.044892392414110784,-0.08956327796154936,,,-0.029857749701524106,-0.06829743594855173,-0.0752933991500363,-0.10144731792521666,0.028418059846394943,0,,0.09299081476873591,0.04588365943725352,,,0.10590425496885286,0.07049721753380132,0.07693762528545212,0.029887044885782976,0.030039217012699015,5,,0.07069460390355915,0.03215971424926649,,,0.08296657736956248,0.05195815792830718,0.04817259854573286,0.016073478760045945,0.025289108600528222,5,
DROP_CORR1,,,0.01937764556865129,,,,,,,,,,,0.060770156438026524,,,,,,,,,placenta,,,0.04494435215707793,,,,,,,,,seed,0,,,0.04473637643802886,,,,,,,,,,,-0.061156583032043466,,,,,,,,,,,-0.06077015643802647,,,,,,,,
