dataset,geary_c,mean_one_vs_rest_geary_c,predicted_cluster,seed,variant
a1,0.588532025138862,0.5251316511105908,8,2,DROP_CORR2
a1,0.35835840201034325,0.5251316511105908,9,2,DROP_CORR2
a1,0.31705066331673865,0.5251316511105908,10,2,DROP_CORR2
a1,0.5904503609723974,0.5180084276164736,1,3,DROP_CORR2
a1,0.7396497345942682,0.5180084276164736,2,3,DROP_CORR2
a1,0.44877522151184485,0.5180084276164736,3,3,DROP_CORR2
a1,0.4428467389304035,0.5180084276164736,4,3,DROP_CORR2
a1,0.4664827263982675,0.5180084276164736,5,3,DROP_CORR2
a1,0.6614605928267763,0.5180084276164736,6,3,DROP_CORR2
a1,0.3997917705966643,0.5180084276164736,7,3,DROP_CORR2
a1,0.6049190854800571,0.5180084276164736,8,3,DROP_CORR2
a1,0.5372797150074015,0.5180084276164736,9,3,DROP_CORR2
a1,0.2884283298466542,0.5180084276164736,10,3,DROP_CORR2
a1,0.5631266589181172,0.5242732027140169,1,4,DROP_CORR2
a1,0.4444698680913853,0.5242732027140169,2,4,DROP_CORR2
a1,0.6398668218469009,0.5242732027140169,3,4,DROP_CORR2
a1,0.4852802412057609,0.5242732027140169,4,4,DROP_CORR2
a1,0.5825531583168099,0.5242732027140169,5,4,DROP_CORR2
a1,0.42052352729081294,0.5242732027140169,6,4,DROP_CORR2
a1,0.5453448078601548,0.5242732027140169,7,4,DROP_CORR2
a1,0.5766401153356719,0.5242732027140169,8,4,DROP_CORR2
a1,0.26935834733993025,0.5242732027140169,9,4,DROP_CORR2
a1,0.715568480934625,0.5242732027140169,10,4,DROP_CORR2
a1,0.5580716107257326,0.5398187004553049,1,0,UNIFORM_WITHIN
a1,0.4391268728611848,0.5398187004553049,2,0,UNIFORM_WITHIN
a1,0.5320849756859576,0.5398187004553049,3,0,UNIFORM_WITHIN
a1,0.6217453185771175,0.5398187004553049,4,0,UNIFORM_WITHIN
a1,0.42610228068415446,0.5398187004553049,5,0,UNIFORM_WITHIN
a1,0.6622854553152496,0.5398187004553049,6,0,UNIFORM_WITHIN
a1,0.5006346378355044,0.5398187004553049,7,0,UNIFORM_WITHIN
a1,0.6185574523225539,0.5398187004553049,8,0,UNIFORM_WITHIN
a1,0.731876884596017,0.5398187004553049,9,0,UNIFORM_WITHIN
a1,0.30770151594957684,0.5398187004553049,10,0,UNIFORM_WITHIN
a1,0.6918008598364795,0.54695113693804,1,1,UNIFORM_WITHIN
a1,0.7013041957962857,0.54695113693804,2,1,UNIFORM_WITHIN
a1,0.40236654609158656,0.54695113693804,3,1,UNIFORM_WITHIN
a1,0.6059459765202736,0.54695113693804,4,1,UNIFORM_WITHIN
a1,0.6363641285136995,0.54695113693804,5,1,UNIFORM_WITHIN
a1,0.44820546195170236,0.54695113693804,6,1,UNIFORM_WITHIN
a1,0.5317266292249966,0.54695113693804,7,1,UNIFORM_WITHIN
a1,0.6466457958218618,0.54695113693804,8,1,UNIFORM_WITHIN
a1,0.4780732764473187,0.54695113693804,9,1,UNIFORM_WITHIN
a1,0.3270784991761953,0.54695113693804,10,1,UNIFORM_WITHIN
a1,0.6593170249752771,0.5439653271364817,1,2,UNIFORM_WITHIN
a1,0.6042829757698559,0.5439653271364817,2,2,UNIFORM_WITHIN
a1,0.6846293677121134,0.5439653271364817,3,2,UNIFORM_WITHIN
a1,0.4084304136379231,0.5439653271364817,4,2,UNIFORM_WITHIN
a1,0.2924123522401632,0.5439653271364817,5,2,UNIFORM_WITHIN
a1,0.4169445171739834,0.5439653271364817,6,2,UNIFORM_WITHIN
a1,0.6197325258302766,0.5439653271364817,7,2,UNIFORM_WITHIN
a1,0.5877939683840597,0.5439653271364817,8,2,UNIFORM_WITHIN
a1,0.36311135744105033,0.5439653271364817,9,2,UNIFORM_WITHIN
a1,0.8029987682001147,0.5439653271364817,10,2,UNIFORM_WITHIN
a1,0.4256798034634719,0.5262554838567046,1,3,UNIFORM_WITHIN
a1,0.4274857897407531,0.5262554838567046,2,3,UNIFORM_WITHIN
a1,0.4814199710966053,0.5262554838567046,3,3,UNIFORM_WITHIN
