cpu_peak_rss_mib,dataset,gpu_peak_allocated_mib,gpu_peak_reserved_mib,runtime_seconds,seed,variant
1431.68359375,p22,1367.87158203125,1474.0,44.88364754058421,2,UNIFORM_WITHIN
1431.68359375,p22,1367.87158203125,1474.0,45.189491445198655,3,UNIFORM_WITHIN
1431.68359375,p22,1367.87158203125,1474.0,47.46167122386396,4,UNIFORM_WITHIN
1431.68359375,p22,1439.71533203125,1514.0,46.54358201287687,0,UNIFORM_CROSS
1431.68359375,p22,1439.71533203125,1514.0,46.97629086300731,1,UNIFORM_CROSS
1431.68359375,p22,1439.71533203125,1514.0,46.23065558820963,2,UNIFORM_CROSS
1431.68359375,p22,1439.71533203125,1514.0,46.36740298755467,3,UNIFORM_CROSS
1431.68359375,p22,1439.71533203125,1514.0,47.50102870725095,4,UNIFORM_CROSS
1431.68359375,p22,1295.87158203125,1400.0,43.73939819820225,0,UNIFORM_ALL
1431.68359375,p22,1295.87158203125,1400.0,44.35822405107319,1,UNIFORM_ALL
1431.68359375,p22,1295.87158203125,1400.0,43.18371086940169,2,UNIFORM_ALL
1431.68359375,p22,1295.87158203125,1400.0,42.51706747338176,3,UNIFORM_ALL
1431.68359375,p22,1295.87158203125,1400.0,43.46383190155029,4,UNIFORM_ALL
