bh_fdr_q_value,channel,dataset,label_values_read,n_observations,p_value,qc_variable,seed,spearman_rho
2.846859172098953e-23,modality2_spatial_attention,a1,False,3484,6.326353715775452e-24,local_modality_neighborhood_consistency,2,0.16970727413219833
7.183496978677108e-48,modality2_feature_attention,a1,False,3484,7.525568263376018e-49,rna_log_library_size,2,0.24514857569652118
1.8992093254097695e-13,modality2_feature_attention,a1,False,3484,6.210113032292262e-14,rna_feature_l2_norm,2,0.12665763862019747
0.0002392189358252072,modality2_feature_attention,a1,False,3484,0.00014542992447786406,modality2_row_sum,2,-0.06431424766013874
1.823020940277983e-101,modality2_feature_attention,a1,False,3484,1.0417262515874189e-102,modality2_l2_norm,2,-0.3528991855171839
6.608287705743383e-13,modality2_feature_attention,a1,False,3484,2.2656986419691598e-13,spatial_graph_degree,2,0.12378581866868392
0.23616425671669192,modality2_feature_attention,a1,False,3484,0.2076746003508688,feature_graph_degree,2,-0.021351718221378796
2.846859172098953e-23,modality2_feature_attention,a1,False,3484,6.326353715775452e-24,local_modality_neighborhood_consistency,2,-0.16970727413219833
0.0019318237589335356,cross_omics_rna_attention,a1,False,3484,0.001300148053631459,rna_log_library_size,3,0.054463209355962314
2.803454341736324e-47,cross_omics_rna_attention,a1,False,3484,3.0259507180646035e-48,rna_feature_l2_norm,3,-0.2436178444878397
3.853625090803933e-09,cross_omics_rna_attention,a1,False,3484,1.5720343624390646e-09,modality2_row_sum,3,0.10204408094697065
0.0,cross_omics_rna_attention,a1,False,3484,0.0,modality2_l2_norm,3,0.6711606645903332
0.013515765586026468,cross_omics_rna_attention,a1,False,3484,0.009954468622089336,spatial_graph_degree,3,-0.043660896434154745
1.0658129460983488e-22,cross_omics_rna_attention,a1,False,3484,2.4361438767962258e-23,feature_graph_degree,3,0.16749722801523123
1.3697443776642077e-08,cross_omics_rna_attention,a1,False,3484,5.913816995629595e-09,local_modality_neighborhood_consistency,3,-0.09838369660585865
0.0019318237589335356,cross_omics_modality2_attention,a1,False,3484,0.001300148053631459,rna_log_library_size,3,-0.054463209355962314
2.803454341736324e-47,cross_omics_modality2_attention,a1,False,3484,3.0259507180646035e-48,rna_feature_l2_norm,3,0.2436178444878397
3.853625090803933e-09,cross_omics_modality2_attention,a1,False,3484,1.5720343624390646e-09,modality2_row_sum,3,-0.10204408094697065
0.0,cross_omics_modality2_attention,a1,False,3484,0.0,modality2_l2_norm,3,-0.6711606645903332
0.013515765586026468,cross_omics_modality2_attention,a1,False,3484,0.009954468622089336,spatial_graph_degree,3,0.043660896434154745
1.0658129460983488e-22,cross_omics_modality2_attention,a1,False,3484,2.4361438767962258e-23,feature_graph_degree,3,-0.16749722801523123
1.3697443776642077e-08,cross_omics_modality2_attention,a1,False,3484,5.913816995629595e-09,local_modality_neighborhood_consistency,3,0.09838369660585865
1.386952860265605e-07,rna_spatial_attention,a1,False,3484,6.582522305070094e-08,rna_log_library_size,3,0.09136474842738226
0.8414395981646157,rna_spatial_attention,a1,False,3484,0.8267477956569795,rna_feature_l2_norm,3,0.0037094584409725364
6.401884631333702e-06,rna_spatial_attention,a1,False,3484,3.414338470044641e-06,modality2_row_sum,3,0.07858747134036631
