stage,dataset,graph_id,seed,head_id,ari,nmi,q,neighbor_agreement,moran_i,geary_c,boundary_disagreement,training_runtime_seconds,head_runtime_seconds,effective_runtime_seconds,peak_gpu_allocated_mib,process_peak_rss_mib,checkpoint_file_sha256,cluster_file_sha256
R1,a1,G01_SP3_F20_CORR_UNION,0,H07_EQUAL3_AFFINITY_SPATIAL05,0.2746838887233446,0.3932995911050511,0.3339917399141978,0.546865067899451,0.4639383678619116,0.5458249578564338,0.453134932100549,18.847932869568467,5.814287923276424,24.66222079284489,764.8974609375,1212.84375,37d5981014a3ebafbac8f8af3344568f851ce83e2ba1a3f87a93a7ed0387acde,bc9fe7fe3c879812bb4f1c4f98f782d20cc64a216d93438dc9bb2e2594317818
R1,a1,G01_SP3_F20_CORR_UNION,0,H08_EQUAL3_AFFINITY_SPATIAL10,0.2749727997445764,0.3934696591668339,0.3342212294557051,0.547442935567755,0.4644752320937718,0.5452798779929553,0.4525570644322449,18.847932869568467,6.5364886205643415,25.38442149013281,764.8974609375,1212.84375,37d5981014a3ebafbac8f8af3344568f851ce83e2ba1a3f87a93a7ed0387acde,b12eb20f7a15a2ec3fd4dcadc268ccf02788b7c6bc591ae71195d5b1b001d4c3
R1,a1,G01_SP3_F20_CORR_UNION,0,H10_MCLUST_POSTERIOR_MRF05,0.2643325358909497,0.383996819442523,0.3241646776667363,0.4920543195608206,0.3898527590685454,0.6157018409015815,0.5079456804391794,18.847932869568467,6.211990496143699,25.05992336571217,764.8974609375,1212.84375,37d5981014a3ebafbac8f8af3344568f851ce83e2ba1a3f87a93a7ed0387acde,49eae64c9e9888fe1e9300de649c6e4f6dfff333e3fcc0d81696bef1541ff8ea
R1,a1,G01_SP3_F20_CORR_UNION,0,H11_MCLUST_POSTERIOR_MRF10,0.2650065884529533,0.384349770571281,0.3246781795121172,0.4934700953481652,0.3918751054541114,0.6136927029046961,0.5065299046518348,18.847932869568467,6.050332879647613,24.89826574921608,764.8974609375,1212.84375,37d5981014a3ebafbac8f8af3344568f851ce83e2ba1a3f87a93a7ed0387acde,c861677e7381bb323ac0d29db17173d0392d2f73ac5c36d06d7df394f4a1cb69
R1,a1,G01_SP3_F20_CORR_UNION,1,H00_FUSED_PCA20_MCLUST_EEE,0.2300106594270275,0.3666742098528927,0.2983424346399601,0.4579312337474718,0.3660319612102887,0.6366176147280876,0.5420687662525281,20.20521504804492,6.14904329739511,26.35425834544003,764.8974609375,1213.125,e1329b41018498bc67fe0b6a7c1431d90db244bf979369aa2d175919e1f262e1,9fd7f901df10f01473536b324e0dc4b56c421714c5e0f2aaa12225e816314758
R1,a1,G01_SP3_F20_CORR_UNION,1,H01_FUSED_DIRECT_MCLUST_EEE,0.233691665840327,0.3696955353808076,0.3016936006105673,0.458104594047963,0.3646342125753162,0.6392552714965716,0.541895405952037,20.20521504804492,23.25420780852437,43.45942285656929,764.8974609375,1213.125,e1329b41018498bc67fe0b6a7c1431d90db244bf979369aa2d175919e1f262e1,a2ec0d18ca56bbc679a1b5a47b2b888eca43e052213a6264d36c0b20c0d763d8
R1,a1,G01_SP3_F20_CORR_UNION,1,H02_FUSED_PCA20_MCLUST_BIC,0.2111595365472944,0.3740174514164775,0.2925884939818859,0.4521525570644322,0.3980409243569706,0.6097531092830744,0.5478474429355678,20.20521504804492,20.220129687339067,40.42534473538399,764.8974609375,1213.125,e1329b41018498bc67fe0b6a7c1431d90db244bf979369aa2d175919e1f262e1,ad2b8c7433084fa861f67e7bea7f377f0739e9abda0b555922feeccf3d0f1fec
R1,a1,G01_SP3_F20_CORR_UNION,1,H03_CONCAT_PRIVATE_PCA20_MCLUST_EEE,0.2404114501084852,0.3697681390367732,0.3050897945726292,0.5021381103727246,0.4401803450287458,0.567457955737703,0.4978618896272754,20.20521504804492,6.717594653367996,26.92280970141292,764.8974609375,1213.125,e1329b41018498bc67fe0b6a7c1431d90db244bf979369aa2d175919e1f262e1,dc56fd07658b13913d7ffef15c869549530242414d836e2850807451e88ff222
R1,a1,G01_SP3_F20_CORR_UNION,1,H04_RELIABILITY_CONCAT3_PCA20_MCLUST_EEE,0.2380637447034028,0.3723721085916389,0.3052179266475209,0.4866801502455937,0.3942596213200829,0.6087956345727912,0.5133198497544063,20.20521504804492,8.89839649014175,29.10361153818667,764.8974609375,1213.125,e1329b41018498bc67fe0b6a7c1431d90db244bf979369aa2d175919e1f262e1,10057d86469f50f0ba6d5f159f4aadc004be6458447b354350890f19bb90cc93
R1,a1,G01_SP3_F20_CORR_UNION,1,H05_EQUAL3_AFFINITY_SPECTRAL,0.2646454294224405,0.3870711163046959,0.3258582728635681,0.5516035827795435,0.4657837157584569,0.544699860498316,0.4483964172204565,20.20521504804492,4.033665407449007,24.238880455493927,764.8974609375,1213.125,e1329b41018498bc67fe0b6a7c1431d90db244bf979369aa2d175919e1f262e1,25fea34cd92ff4e78d264060b76f76e7d0f8f2614c5125a790a5c6300bd6f2aa
R1,a1,G01_SP3_F20_CORR_UNION,1,H06_AGREEMENT3_AFFINITY_SPECTRAL,0.2395910984434253,0.3729340919598606,0.306262595201643,0.549349898873158,0.462020944752707,0.5447755285680397,0.450650101126842,20.20521504804492,2.0096880588680506,22.21490310691297,764.8974609375,1213.125,e1329b41018498bc67fe0b6a7c1431d90db244bf979369aa2d175919e1f262e1,8010bb91e4e962ead66403a0234f8d040e8158a9862db05d2e28e3dce3c5a9b5
R1,a1,G01_SP3_F20_CORR_UNION,1,H07_EQUAL3_AFFINITY_SPATIAL05,0.2645399778078428,0.3870745456319876,0.3258072617199152,0.5531638254839641,0.4671752046434481,0.5434107989175448,0.4468361745160358,20.20521504804492,5.722481740638614,25.927696788683534,764.8974609375,1213.125,e1329b41018498bc67fe0b6a7c1431d90db244bf979369aa2d175919e1f262e1,7b21e99c8dc1802f1b48562a86a18323b8b6562b722fbdccacf509004783cdbc
R1,a1,G01_SP3_F20_CORR_UNION,1,H08_EQUAL3_AFFINITY_SPATIAL10,0.2641919211451988,0.3889614374316984,0.3265766792884486,0.5572955793123375,0.4717294428739358,0.5388231116771758,0.4427044206876624,20.20521504804492,5.614696068689227,25.819911116734147,764.8974609375,1213.125,e1329b41018498bc67fe0b6a7c1431d90db244bf979369aa2d175919e1f262e1,842657e0159d58dde5bf7844225def7baf6da69ee7802dc7a63311a156a0660d
R1,a1,G01_SP3_F20_CORR_UNION,1,H10_MCLUST_POSTERIOR_MRF05,0.2296854414957632,0.3664489770709123,0.2980672092833378,0.4600982375036117,0.3677619117918477,0.6349480457622214,0.5399017624963883,20.20521504804492,7.4267204888165,27.63193553686142,764.8974609375,1213.125,e1329b41018498bc67fe0b6a7c1431d90db244bf979369aa2d175919e1f262e1,9cd77556aa0c3dccbdd5c902776d391a074f35bc7126ea9af235047a27c6dc43
R1,a1,G01_SP3_F20_CORR_UNION,1,H11_MCLUST_POSTERIOR_MRF10,0.2299322438181128,0.3665844628596633,0.298258353338888,0.4626408552441491,0.3699304568562372,0.6328004254155504,0.5373591447558509,20.20521504804492,7.44082603789866,27.64604108594358,764.8974609375,1213.125,e1329b41018498bc67fe0b6a7c1431d90db244bf979369aa2d175919e1f262e1,028f8e73c7a3d25bfde205f763ce5d6469dc3a9f9d981aad9185918760a39655
