family,lane,variant,partition_sha256,changed_observations,producer_label_reads,absolute_ari,absolute_nmi,ami,fmi,homogeneity,v_measure,morans_i,gearys_c,neighbor_agreement,evaluated_observations,min_cluster_size,cluster_sizes
RNA_PROTEIN,D1,CONFLICT_STATE_DISABLED,47f5ba48cd016d19087cc0c813ba5d1f3b6ad0b1348c66778b136659e3a45334,5,0,0.36647786249458353,0.4481582291179582,0.44422690581631913,0.505082035057397,0.45951721078927493,0.44815822911795816,0.35772217116151317,0.28518937020115226,0.6655512655512655,3359,58,"[996,92,1081,133,212,369,92,209,58,117]"
RNA_PROTEIN,D1,TRUST_GATE_DISABLED,efaf57c5271c08a2345221316ed19985d063e1bbb6baf72ba7511299e61e844c,10,0,0.36629540257512944,0.44754890488539767,0.443612918660663,0.5049458907784875,0.45886644958777845,0.44754890488539767,0.35795433258054543,0.28484720351475523,0.6652080652080652,3359,59,"[996,89,1081,133,213,369,92,209,59,118]"
RNA_PROTEIN,D1,GENERIC_REPAIR_ONLY,62787ef341fd01198c121b8a43c1359d8191674253ead3ce355323fe2ab39426,0,0,0.36517354375792177,0.44457744301444424,0.44061811600342027,0.5042383351628853,0.45546088076390423,0.44457744301444424,0.3527990913927712,0.29460288001229723,0.6640926640926641,3359,55,"[998,90,1082,133,212,370,93,209,55,117]"
RNA_PROTEIN,D1,DIRECTIONAL_EDGE_ONLY,16a9a6cf12260357fe369a694d009c9d36bb55e4b39107b295229f7f5929fc89,122,0,0.3585873036640273,0.43572650087689846,0.4317083914036633,0.4987354200963049,0.44690572663932193,0.43572650087689846,0.3639169817377332,0.2737458710022011,0.6798798798798799,3359,58,"[987,86,1084,138,203,376,87,212,58,128]"
RNA_PROTEIN,tonsil_s1,STRONG_START_ONLY,e295e970c84d33c1ec13ad3be498846ee59c3b4c3cb3f3b6ee5c35ed73ccb6da,0,0,0.23653550194382364,0.3171179292228705,0.31651918825932224,0.5032711126740634,0.3562255235014961,0.3171179292228705,0.354108555786733,0.2929194415889249,0.8002544529262087,4326,478,"[478,1301,1141,1406]"
RNA_PROTEIN,tonsil_s1,CMBF_TPR_FULL,61d64ed233b9bd5e8d800da195123f337eb1b1fcdaee08cec1068601738d5e0b,3,0,0.23668286718251594,0.31736524060791105,0.3167667297349248,0.5033588064073908,0.35651116046522324,0.31736524060791105,0.3535481099947831,0.29411687004203885,0.7997187625552431,4326,478,"[478,1304,1141,1403]"
RNA_PROTEIN,tonsil_s1,BOUNDARY_STATE_DISABLED,61d64ed233b9bd5e8d800da195123f337eb1b1fcdaee08cec1068601738d5e0b,3,0,0.23668286718251594,0.31736524060791105,0.3167667297349248,0.5033588064073908,0.35651116046522324,0.31736524060791105,0.3535481099947831,0.29411687004203885,0.7997187625552431,4326,478,"[478,1304,1141,1403]"
RNA_PROTEIN,tonsil_s1,CONFLICT_STATE_DISABLED,61d64ed233b9bd5e8d800da195123f337eb1b1fcdaee08cec1068601738d5e0b,3,0,0.23668286718251594,0.31736524060791105,0.3167667297349248,0.5033588064073908,0.35651116046522324,0.31736524060791105,0.3535481099947831,0.29411687004203885,0.7997187625552431,4326,478,"[478,1304,1141,1403]"
RNA_PROTEIN,tonsil_s1,TRUST_GATE_DISABLED,61d64ed233b9bd5e8d800da195123f337eb1b1fcdaee08cec1068601738d5e0b,3,0,0.23668286718251594,0.31736524060791105,0.3167667297349248,0.5033588064073908,0.35651116046522324,0.31736524060791105,0.3535481099947831,0.29411687004203885,0.7997187625552431,4326,478,"[478,1304,1141,1403]"
RNA_PROTEIN,tonsil_s1,GENERIC_REPAIR_ONLY,e295e970c84d33c1ec13ad3be498846ee59c3b4c3cb3f3b6ee5c35ed73ccb6da,0,0,0.23653550194382364,0.3171179292228705,0.31651918825932224,0.5032711126740634,0.3562255235014961,0.3171179292228705,0.354108555786733,0.2929194415889249,0.8002544529262087,4326,478,"[478,1301,1141,1406]"
