ami_delta,ari_delta,contrast,cpu_peak_rss_mib_delta,dataset,embedding_davies_bouldin_delta,embedding_silhouette_delta,fmi_delta,gpu_peak_allocated_mib_delta,gpu_peak_reserved_mib_delta,homogeneity_delta,hungarian_balanced_accuracy_delta,hungarian_macro_f1_delta,hungarian_weighted_f1_delta,nmi_delta,runtime_seconds_delta,seed,spatial_cluster_moran_mean_delta,spatial_neighbor_agreement_delta,v_measure_delta
0.14308342450254485,0.18242094799761605,IGE-C0,0.0,placenta,-1.538370548435154,0.1979585960507393,0.15547602388778448,81.146484375,128.0,0.1536132376948428,0.07727176816343695,0.03984607892461689,0.07893121749160803,0.14120601767091012,-1.0546309016644955,0,-0.008156887713642924,-0.004211793020457322,0.14120601767091023
0.12164428738333999,0.14688535707894657,IGE-C0,61.09765625,placenta,-1.530559981852382,0.17877930030226707,0.12448959234004087,81.146484375,128.0,0.1329203161379754,-0.02457181281640075,-0.0528555515223329,0.03327568811082471,0.1200106101416959,-0.704160388559103,1,-0.022198119545081496,-0.034296028880866414,0.12001061014169578
0.15184972975724043,0.18867630774361133,IGE-C0,-17.90234375,placenta,-1.8448458613246763,0.2113705836236477,0.16086820913896094,81.146484375,128.0,0.16296084453988213,0.0528186288810627,0.06272895175828486,0.11874076205793205,0.14985059987310712,-0.2785554379224777,2,-0.00879208223362421,-0.014440433212996373,0.14985059987310734
0.11099392308236089,0.08889189260894842,IGE-C0,16.71875,placenta,-1.4164039308689533,0.16005268692970276,0.07586602371850004,81.146484375,128.0,0.12236322162769742,0.053181312342208686,0.008277144692944716,0.046026803623509305,0.10950233941671883,-1.3166567329317331,3,0.07042310503364924,-0.006618531889290014,0.10950233941671872
0.04354983218280706,0.0802272106119627,IGE-C0,-131.26953125,placenta,-1.5229826319546012,0.1821764074265957,0.06783213297570312,81.146484375,128.0,0.049096218830085414,-0.05851535076422165,-0.04585520068830784,-0.016685754736817993,0.042958893728021086,0.3738890737295151,4,0.06894060699336091,0.04693140794223827,0.042958893728021086
0.19567503681843124,0.21155012141369783,C1-C0,-17.90234375,placenta,-0.6567794126435071,0.10738920420408249,0.1797802205729565,0.0,0.0,0.20722230880512005,0.13471908763134888,0.10211697653672447,0.11224994335292549,0.19312584511118414,-0.9678416922688484,0,-0.10190596703746219,-0.04873646209386284,0.19312584511118425
0.19501214113941534,0.26299198299518867,C1-C0,61.09765625,placenta,-0.9985589842105091,0.10443941876292229,0.22148680533894916,0.0,0.0,0.19544971135961908,0.1081635694576677,0.08964782313960507,0.13694756774691785,0.19249493714545207,-0.17027415707707405,1,-0.07295186598210718,-0.05595667870036103,0.19249493714545196
0.20466155523330587,0.20192941229259376,C1-C0,-16.71875,placenta,-0.9892156320396692,0.11646312102675438,0.17209070988460518,0.0,0.0,0.2197702132679561,0.11563727860807427,0.12211610853554722,0.13265116111677788,0.2019728049281475,-0.16103920340538025,2,-0.12285196786097557,-0.06859205776173288,0.20197280492814762
0.20675234022805922,0.22727615375150162,C1-C0,0.0,placenta,-0.9390957030069895,0.12053969502449036,0.19137531245230244,0.0,0.0,0.20519577077765394,0.14129993462857515,0.09597215173886775,0.13916586593757174,0.2041128380592634,-1.4355697128921747,3,-0.016183450861562643,-0.046329723225030095,0.2041128380592635
0.1442434598982223,0.17386181630922437,C1-C0,-16.71875,placenta,-0.8443757251754316,0.11677293106913567,0.1476657957465365,0.0,0.0,0.15842315236698512,0.10270612225021003,0.08874049042475018,0.08679507977582313,0.142311634896356,0.44934143126010895,4,-0.056328143374739625,-0.02527075812274371,0.142311634896356
-0.17021272011542654,-0.22806995658804008,ILN-C0,-16.71875,placenta,0.759680141878265,-0.0072327665984630585,-0.199657947963004,0.0,0.0,-0.16718086821081396,-0.10408714108484085,-0.15005311655100395,-0.19864635432410926,-0.16823205991013102,-0.45830283872783184,0,-0.07274654759899901,-0.02286401925391096,-0.16823205991013096
-0.18170031563390648,-0.1688750736958372,ILN-C0,61.09765625,placenta,0.7684869792939799,-0.00506335124373436,-0.14640540570103322,0.0,0.0,-0.18155429455743732,-0.1406519390806233,-0.15506832361662393,-0.13637825012675708,-0.1794892947123865,2.533900810405612,1,-0.06952587498865431,-0.057160048134777375,-0.17948929471238662
