dataset,has_gradient,l2_norm,loss,loss_non_none_numel,loss_rms_gradient,loss_sq_sum,numel,parameter,rms,seed
placenta,False,0.0,L_corr1_raw,416384,0.002891485865646552,3.4812577578295705,384000,decoder1.weight,0.0,3
placenta,True,0.21491852402687073,L_corr1_raw,416384,0.002891485865646552,3.4812577578295705,7936,encoder2.weight,0.002412531639594695,3
placenta,True,0.2774052619934082,L_corr1_raw,416384,0.002891485865646552,3.4812577578295705,7936,decoder2.weight,0.0031139659478626076,3
placenta,True,0.16577453911304474,L_corr1_raw,416384,0.002891485865646552,3.4812577578295705,16384,attention1.w_omega,0.0012951135569939185,3
placenta,True,0.10797522962093353,L_corr1_raw,416384,0.002891485865646552,3.4812577578295705,128,attention1.u_omega,0.00954375210161832,3
placenta,False,0.0,L_corr1_raw,416384,0.002891485865646552,3.4812577578295705,16384,attention2.w_omega,0.0,3
placenta,False,0.0,L_corr1_raw,416384,0.002891485865646552,3.4812577578295705,128,attention2.u_omega,0.0,3
placenta,False,0.0,L_corr1_raw,416384,0.002891485865646552,3.4812577578295705,16384,cross_attention.w_omega,0.0,3
placenta,False,0.0,L_corr1_raw,416384,0.002891485865646552,3.4812577578295705,128,cross_attention.u_omega,0.0,3
placenta,True,0.07568378746509552,L_corr2_raw,792448,0.0001417820125027098,0.015929899901203352,384000,encoder1.weight,0.00012213419348292126,3
placenta,True,0.07581520080566406,L_corr2_raw,792448,0.0001417820125027098,0.015929899901203352,384000,decoder1.weight,0.000122346252667199,3
placenta,True,0.06463780999183655,L_corr2_raw,792448,0.0001417820125027098,0.015929899901203352,7936,encoder2.weight,0.0007255807785032355,3
placenta,False,0.0,L_corr2_raw,792448,0.0001417820125027098,0.015929899901203352,7936,decoder2.weight,0.0,3
placenta,False,0.0,L_corr2_raw,792448,0.0001417820125027098,0.015929899901203352,16384,attention1.w_omega,0.0,3
