bootstrap_ci_high,bootstrap_ci_low,bootstrap_replicates,ci_is_descriptive_only,dataset,max,mean,median,metric,min,n,sd,variant
2.179929676668665,1.94683068987543,10000,True,a1,2.189789909253963,2.081301272464972,2.165984968003889,embedding_davies_bouldin,1.8353369267359665,5,0.15037486077460083,C1
14.386722807958723,10.20559856519103,10000,True,a1,16.398925479501486,11.987845354527234,11.382398249581456,runtime_seconds,9.42106544226408,5,2.66334698391397,C1
599.73193359375,599.73193359375,10000,True,a1,599.73193359375,599.73193359375,599.73193359375,gpu_peak_allocated_mib,599.73193359375,5,0.0,C1
638.0,638.0,10000,True,a1,638.0,638.0,638.0,gpu_peak_reserved_mib,638.0,5,0.0,C1
1433.5703125,1417.55625,10000,True,a1,1436.9140625,1425.56328125,1420.1953125,cpu_peak_rss_mib,1413.59765625,5,10.706152770875274,C1
0.255015843091612,0.23964827207254139,10000,True,a1,0.2612917888533778,0.24685877115776084,0.24560192444896342,ari,0.23542060893812203,5,0.009615991415881413,IGE
0.37733506028912434,0.3676018669235678,10000,True,a1,0.3784402540802451,0.37246846360634606,0.3734507847867272,nmi,0.3646425650971038,5,0.006199760970676157,IGE
0.3733394161656557,0.36352188165663313,10000,True,a1,0.3744541309083556,0.36843064891114446,0.36943001117406893,ami,0.36055087057767304,5,0.0062520009412656155,IGE
0.3964629696543962,0.3832266778649488,10000,True,a1,0.4011646032473045,0.3895340710186411,0.3883099340330396,fmi,0.37937477928279384,5,0.008478102921649844,IGE
0.42685211276653234,0.41363370921612963,10000,True,a1,0.42825629910281376,0.420242910991331,0.42251231312500903,homogeneity,0.41100444138368836,5,0.00836640310917886,IGE
0.3773350602891244,0.3676018669235678,10000,True,a1,0.3784402540802452,0.3724684636063461,0.37345078478672716,v_measure,0.3646425650971038,5,0.00619976097067618,IGE
0.3478773362362653,0.33602939198156345,10000,True,a1,0.3510589434775992,0.34271924766006573,0.34273774148400105,hungarian_macro_f1,0.3301737032845445,5,0.00786986385790725,IGE
