dataset,hungarian_f1,seed,true_domain,variant
p22,0.43373493975903615,2,L4,IGE
p22,0.0,2,L5,IGE
p22,0.6766355140186916,2,L6a/b,IGE
p22,0.6292134831460674,2,VL,IGE
p22,0.7833109017496634,2,ccg/aco,IGE
p22,0.5883137080648745,2,others,IGE
p22,0.5723231058234189,3,ACB,IGE
p22,0.6400293255131965,3,CP,IGE
p22,0.6903991370010787,3,L1-L3,IGE
p22,0.43891402714932126,3,L4,IGE
p22,0.0,3,L5,IGE
p22,0.6867772750125692,3,L6a/b,IGE
p22,0.06687565308254963,3,VL,IGE
p22,0.8163841807909604,3,ccg/aco,IGE
p22,0.5681722245673281,3,others,IGE
p22,0.49387972325705154,4,ACB,IGE
p22,0.5683208701563561,4,CP,IGE
p22,0.6950195858981533,4,L1-L3,IGE
p22,0.44048943270300334,4,L4,IGE
p22,0.0,4,L5,IGE
p22,0.5963990997749438,4,L6a/b,IGE
p22,0.06467065868263473,4,VL,IGE
p22,0.8089401586157174,4,ccg/aco,IGE
p22,0.6029337379868488,4,others,IGE
p22,0.623121387283237,0,ACB,ILN
p22,0.836052836052836,0,CP,ILN
p22,0.694789081885856,0,L1-L3,ILN
p22,0.4636363636363636,0,L4,ILN
p22,0.0,0,L5,ILN
p22,0.7332259796027912,0,L6a/b,ILN
p22,0.09859154929577466,0,VL,ILN
p22,0.8185483870967742,0,ccg/aco,ILN
p22,0.6325115562403698,0,others,ILN
p22,0.6064516129032258,1,ACB,ILN
p22,0.8156657963446475,1,CP,ILN
p22,0.7201384881708022,1,L1-L3,ILN
p22,0.41366906474820136,1,L4,ILN
p22,0.0,1,L5,ILN
p22,0.7065616797900263,1,L6a/b,ILN
p22,0.09116022099447516,1,VL,ILN
p22,0.7936297279362973,1,ccg/aco,ILN
p22,0.5672575599582899,1,others,ILN
p22,0.6241379310344828,2,ACB,ILN
p22,0.8234984193888303,2,CP,ILN
p22,0.6924019607843136,2,L1-L3,ILN
p22,0.45526613816534545,2,L4,ILN
p22,0.0,2,L5,ILN
p22,0.7161664033701949,2,L6a/b,ILN
p22,0.5870646766169154,2,VL,ILN
p22,0.7972881355932203,2,ccg/aco,ILN
p22,0.6562998405103669,2,others,ILN
p22,0.6015213575190169,3,ACB,ILN
p22,0.8130423349986853,3,CP,ILN
p22,0.7071207430340557,3,L1-L3,ILN
p22,0.47368421052631576,3,L4,ILN
p22,0.0,3,L5,ILN
p22,0.7423851316468766,3,L6a/b,ILN
p22,0.575682382133995,3,VL,ILN
p22,0.776566757493188,3,ccg/aco,ILN
p22,0.6801426872770511,3,others,ILN
p22,0.6025492468134415,4,ACB,ILN
p22,0.8170571202948145,4,CP,ILN
p22,0.7556346381969157,4,L1-L3,ILN
p22,0.48550724637681164,4,L4,ILN
p22,0.0,4,L5,ILN
p22,0.7113672079622839,4,L6a/b,ILN
p22,0.5969387755102041,4,VL,ILN
p22,0.7842351369405478,4,ccg/aco,ILN
p22,0.6564885496183206,4,others,ILN
