formal_phase,dataset,model_seed,filter_id,topology_correlation,global_disagreement,roughness_ratio,frequency_gate,integrity_score,integrity_gate,raw_global_gate,global_gate,joint_support_mean,conflict_mean,conflict_q90,trust_mean,trust_evidence_fraction,beta_low_mean,beta_high_mean,exact_identity_fallback,dense_n_by_n_count
DEVELOPMENT,P22,0,W02_TCF_FINAL,0.0611742809414863,0.4694128632545471,0.2620463371276855,0.990980327129364,0.8544015884399414,0.9263582229614258,0.9180027842521667,0.9180027842521667,0.9096174836158752,0.0552158840000629,0.1058059707283973,0.9376870393753052,0.25,0.7244448065757751,0.0,0.0,0.0
DEVELOPMENT,P22,1,W00_IDENTITY,0.0951115936040878,0.4524441957473755,0.2664752304553985,0.9864306449890136,0.8484932780265808,1.0,0.9864306449890136,0.9864306449890136,0.90381520986557,0.0553219243884086,0.1079179346561431,1.0,1.0,0.0,0.0,0.0,0.0
DEVELOPMENT,P22,1,W01_FIXED_LOW60,0.0951115936040878,0.4524441957473755,0.2664752304553985,0.9864306449890136,0.8484932780265808,1.0,0.9864306449890136,0.9864306449890136,0.90381520986557,0.0553219243884086,0.1079179346561431,1.0,1.0,0.6000000238418579,0.0,0.0,0.0
DEVELOPMENT,P22,1,W02_TCF_FINAL,0.0951115936040878,0.4524441957473755,0.2664752304553985,0.9864306449890136,0.8484932780265808,0.9133148789405824,0.9009217619895936,0.9009217619895936,0.90381520986557,0.0553219243884086,0.1079179346561431,0.9348967671394348,0.25,0.7107491493225098,0.0,0.0,0.0
DEVELOPMENT,P22,2,W00_IDENTITY,0.0716254264116287,0.4641872942447662,0.2720575034618377,0.993885338306427,0.8459795117378235,1.0,0.993885338306427,0.993885338306427,0.9054450988769532,0.0594655685126781,0.1136378496885299,1.0,1.0,0.0,0.0,0.0,0.0
DEVELOPMENT,P22,2,W01_FIXED_LOW60,0.0716254264116287,0.4641872942447662,0.2720575034618377,0.993885338306427,0.8459795117378235,1.0,0.993885338306427,0.993885338306427,0.9054450988769532,0.0594655685126781,0.1136378496885299,1.0,1.0,0.6000000238418579,0.0,0.0,0.0
DEVELOPMENT,P22,2,W02_TCF_FINAL,0.0716254264116287,0.4641872942447662,0.2720575034618377,0.993885338306427,0.8459795117378235,0.9071553349494934,0.901608407497406,0.901608407497406,0.9054450988769532,0.0594655685126781,0.1136378496885299,0.9340829849243164,0.25,0.7112136483192444,0.0,0.0,0.0
DEVELOPMENT,MISAR_E15_5_S1,0,W00_IDENTITY,0.4646681845188141,0.2676659226417541,0.342456966638565,0.8106215596199036,0.8048155307769775,1.0,0.8106215596199036,0.8106215596199036,0.8641459345817566,0.0593303814530372,0.1181113198399543,1.0,1.0,0.0,0.0,0.0,0.0
DEVELOPMENT,MISAR_E15_5_S1,0,W01_FIXED_LOW60,0.4646681845188141,0.2676659226417541,0.342456966638565,0.8106215596199036,0.8048155307769775,1.0,0.8106215596199036,0.8106215596199036,0.8641459345817566,0.0593303814530372,0.1181113198399543,1.0,1.0,0.6000000238418579,0.0,0.0,0.0
DEVELOPMENT,MISAR_E15_5_S1,0,W02_TCF_FINAL,0.4646681845188141,0.2676659226417541,0.342456966638565,0.8106215596199036,0.8048155307769775,0.7397109270095825,0.5996256470680237,0.5996256470680237,0.8641459345817566,0.0593303814530372,0.1181113198399543,0.9120935797691344,0.25,0.4716433584690094,0.0,0.0,0.0
DEVELOPMENT,MISAR_E15_5_S1,1,W00_IDENTITY,0.4565211236476898,0.2717394232749939,0.3415838778018951,0.8270137310028076,0.8089231848716736,1.0,0.8270137310028076,0.8270137310028076,0.8671741485595703,0.0582509487867355,0.1162052229046821,1.0,1.0,0.0,0.0,0.0,0.0
DEVELOPMENT,MISAR_E15_5_S1,1,W01_FIXED_LOW60,0.4565211236476898,0.2717394232749939,0.3415838778018951,0.8270137310028076,0.8089231848716736,1.0,0.8270137310028076,0.8270137310028076,0.8671741485595703,0.0582509487867355,0.1162052229046821,1.0,1.0,0.6000000238418579,0.0,0.0,0.0
DEVELOPMENT,MISAR_E15_5_S1,1,W02_TCF_FINAL,0.4565211236476898,0.2717394232749939,0.3415838778018951,0.8270137310028076,0.8089231848716736,0.7627283334732056,0.6307867765426636,0.6307867765426636,0.8671741485595703,0.0582509487867355,0.1162052229046821,0.9139942526817322,0.25,0.4963018894195556,0.0,0.0,0.0
DEVELOPMENT,MISAR_E15_5_S1,2,W00_IDENTITY,0.453546792268753,0.2732266187667846,0.3418585360050201,0.8376134037971497,0.8106535077095032,1.0,0.8376134037971497,0.8376134037971497,0.8691491484642029,0.0584956631064415,0.1180885285139083,1.0,1.0,0.0,0.0,0.0,0.0
DEVELOPMENT,MISAR_E15_5_S1,2,W01_FIXED_LOW60,0.453546792268753,0.2732266187667846,0.3418585360050201,0.8376134037971497,0.8106535077095032,1.0,0.8376134037971497,0.8376134037971497,0.8691491484642029,0.0584956631064415,0.1180885285139083,1.0,1.0,0.6000000238418579,0.0,0.0,0.0
DEVELOPMENT,MISAR_E15_5_S1,2,W02_TCF_FINAL,0.453546792268753,0.2732266187667846,0.3418585360050201,0.8376134037971497,0.8106535077095032,0.7719942331314087,0.646632730960846,0.646632730960846,0.8691491484642029,0.0584956631064415,0.1180885285139083,0.9148759245872498,0.25,0.5088485479354858,0.0,0.0,0.0
CONFIRMATION,D1,0,W00_IDENTITY,0.251740038394928,0.374129980802536,0.2586209774017334,0.6642869710922241,0.8226693868637085,1.0,0.6642869710922241,0.6642869710922241,0.89667147397995,0.0740021094679832,0.1303049325942993,1.0,1.0,0.0,0.0,0.0,0.0
CONFIRMATION,D1,0,W01_FIXED_LOW60,0.251740038394928,0.374129980802536,0.2586209774017334,0.6642869710922241,0.8226693868637085,1.0,0.6642869710922241,0.6642869710922241,0.89667147397995,0.0740021094679832,0.1303049325942993,1.0,1.0,0.6000000238418579,0.0,0.0,0.0
CONFIRMATION,D1,0,W02_TCF_FINAL,0.251740038394928,0.374129980802536,0.2586209774017334,0.6642869710922241,0.8226693868637085,0.8292161822319031,0.550837516784668,0.550837516784668,0.89667147397995,0.0740021094679832,0.1303049325942993,0.9238321781158448,0.25,0.433929830789566,0.0,0.0,0.0
CONFIRMATION,D1,1,W00_IDENTITY,0.2564091980457306,0.3717954158782959,0.2673212885856628,0.752332866191864,0.8250011801719666,1.0,0.752332866191864,0.752332866191864,0.8979887366294861,0.0729875713586807,0.1275807023048401,1.0,1.0,0.0,0.0,0.0,0.0
CONFIRMATION,D1,1,W01_FIXED_LOW60,0.2564091980457306,0.3717954158782959,0.2673212885856628,0.752332866191864,0.8250011801719666,1.0,0.752332866191864,0.752332866191864,0.8979887366294861,0.0729875713586807,0.1275807023048401,1.0,1.0,0.6000000238418579,0.0,0.0,0.0
CONFIRMATION,D1,1,W02_TCF_FINAL,0.2564091980457306,0.3717954158782959,0.2673212885856628,0.752332866191864,0.8250011801719666,0.838895857334137,0.6311289072036743,0.6311289072036743,0.8979887366294861,0.0729875713586807,0.1275807023048401,0.9249017834663392,0.25,0.4972507357597351,0.0,0.0,0.0
CONFIRMATION,D1,2,W00_IDENTITY,0.2707561552524566,0.3646219372749328,0.2683352828025818,0.7078560590744019,0.8223045468330383,1.0,0.7078560590744019,0.7078560590744019,0.8960697054862976,0.073765181005001,0.1286508440971374,1.0,1.0,0.0,0.0,0.0,0.0
CONFIRMATION,D1,2,W01_FIXED_LOW60,0.2707561552524566,0.3646219372749328,0.2683352828025818,0.7078560590744019,0.8223045468330383,1.0,0.7078560590744019,0.7078560590744019,0.8960697054862976,0.073765181005001,0.1286508440971374,1.0,1.0,0.6000000238418579,0.0,0.0,0.0
CONFIRMATION,D1,2,W02_TCF_FINAL,0.2707561552524566,0.3646219372749328,0.2683352828025818,0.7078560590744019,0.8223045468330383,0.8276605606079102,0.5858645439147949,0.5858645439147949,0.8960697054862976,0.073765181005001,0.1286508440971374,0.923594057559967,0.25,0.461519181728363,0.0,0.0,0.0
CONFIRMATION,tonsil_s2,0,W00_IDENTITY,0.6038514375686646,0.1980742812156677,0.1657984107732772,6.595444119739113e-06,0.8757216334342957,1.0,6.595444119739113e-06,6.595444119739113e-06,0.9145268201828004,0.0388051867485046,0.0888603329658508,1.0,1.0,0.0,0.0,0.0,0.0
