candidate_index,candidate_id,profile_id,arm,start_index,start_name,partition_sha256,changed_observations,structure_feasible,ari,nmi,ami,fmi,homogeneity,v_measure,moran_indicator_macro,geary_indicator_macro,neighbor_agreement,observed_k,min_cluster_size,cluster_sizes
30,RNA_CHROMATIN_FAMILY_GEOMETRIC_CENTER__FULL_FROZEN_ENERGY__FUSED_KMEANS_S4,RNA_CHROMATIN_FAMILY_GEOMETRIC_CENTER,FULL_FROZEN_ENERGY,4,FUSED_KMEANS_S4,e4136a10f435852c493fe50b98a361ac71ebb4b7a39ad454a7562f7870a21781,1112,True,0.05642404944034435,0.1207008463770506,0.10879020700995433,0.23872646962616229,0.11812387390606277,0.12070084637705057,0.8659932606117987,0.14680493246393486,0.9472797303803563,10,5,"[5, 177, 157, 8, 181, 29, 481, 87, 482, 55]"
31,RNA_CHROMATIN_FAMILY_GEOMETRIC_CENTER__FULL_FROZEN_ENERGY__RNA_KMEANS_S0,RNA_CHROMATIN_FAMILY_GEOMETRIC_CENTER,FULL_FROZEN_ENERGY,5,RNA_KMEANS_S0,c75acc28b1e2fd709f1ee3a3c0b2fbde531f57332ef535ee41716a1151ef276e,1209,False,0.03587835258841229,0.1310619364015488,0.11894894650967966,0.3199538435275719,0.10422326344373038,0.13106193640154884,0.6693061957286359,0.3444998769413094,0.967741935483871,10,1,"[1, 5, 1, 124, 7, 87, 1073, 6, 314, 44]"
32,RNA_CHROMATIN_FAMILY_GEOMETRIC_CENTER__FULL_FROZEN_ENERGY__RNA_KMEANS_S1,RNA_CHROMATIN_FAMILY_GEOMETRIC_CENTER,FULL_FROZEN_ENERGY,6,RNA_KMEANS_S1,07c0650e41ee784d94a1f3abd60b1de9a75a697ad1e097e95c63db6330b6b086,1300,False,0.029302811525497567,0.14840647240213858,0.13568891502576358,0.36450383908048295,0.10661554040601039,0.14840647240213856,0.5612021907950917,0.517716887404623,0.9655753490611458,10,1,"[71, 58, 6, 184, 1, 1, 23, 15, 1, 1302]"
33,RNA_CHROMATIN_FAMILY_GEOMETRIC_CENTER__FULL_FROZEN_ENERGY__ATAC_REGULATORY_KMEANS_S0,RNA_CHROMATIN_FAMILY_GEOMETRIC_CENTER,FULL_FROZEN_ENERGY,7,ATAC_REGULATORY_KMEANS_S0,b8e97d4d14c5e6048c48a8e6588072f869bcc2112ae23de7e2779016f80c539a,0,True,0.06629165240949143,0.12242528327347704,0.11147662007721795,0.19670621397209284,0.13569754754026359,0.12242528327347706,0.03522491736082954,0.9632693724971577,0.1362542128069331,10,120,"[120, 149, 142, 176, 198, 194, 170, 148, 205, 160]"
34,RNA_CHROMATIN_FAMILY_GEOMETRIC_CENTER__FULL_FROZEN_ENERGY__ATAC_REGULATORY_KMEANS_S1,RNA_CHROMATIN_FAMILY_GEOMETRIC_CENTER,FULL_FROZEN_ENERGY,8,ATAC_REGULATORY_KMEANS_S1,180069f0beb60a9cb51ccca94c3a02f52d646e43c73b8c54e5f23e322626d8c7,0,True,0.07906724473081134,0.13274201007046635,0.12188838796475697,0.20928993208015326,0.14678420003288886,0.13274201007046635,0.0296519280979885,0.9699854343235457,0.13216177178623015,10,113,"[146, 210, 173, 113, 209, 218, 176, 144, 126, 147]"
35,RNA_CHROMATIN_FAMILY_GEOMETRIC_CENTER__FULL_FROZEN_ENERGY__LOWPASS_FUSED_KMEANS_S0,RNA_CHROMATIN_FAMILY_GEOMETRIC_CENTER,FULL_FROZEN_ENERGY,9,LOWPASS_FUSED_KMEANS_S0,643e59d9e192d7aa20f088ab08d87ab78ae3f3c16897efb76d4c73c2403f105c,1368,False,0.018418560725746852,0.09881480532326477,0.08590415752693965,0.3268468947137364,0.07325854359581893,0.09881480532326478,0.5537996405712302,0.4731495142306975,0.9689455946076071,10,1,"[1, 33, 54, 13, 392, 7, 1143, 17, 1, 1]"
36,RNA_CHROMATIN_FAMILY_GEOMETRIC_CENTER__FULL_FROZEN_ENERGY__LOWPASS_FUSED_KMEANS_S1,RNA_CHROMATIN_FAMILY_GEOMETRIC_CENTER,FULL_FROZEN_ENERGY,10,LOWPASS_FUSED_KMEANS_S1,ac8d4667fd5eed40b39172caf93c5da89688a1b77a125630c92bedbde9057bfc,1273,False,0.033379507444302216,0.1005675755986146,0.08703152499987757,0.2989882654049789,0.0802038752847313,0.10056757559861461,0.5997522386407291,0.3678707139264557,0.9581126624939817,10,2,"[94, 10, 669, 15, 24, 2, 3, 27, 812, 6]"
37,RNA_CHROMATIN_FAMILY_GEOMETRIC_CENTER__FULL_FROZEN_ENERGY__FUSED_GMM_DIAG_S0,RNA_CHROMATIN_FAMILY_GEOMETRIC_CENTER,FULL_FROZEN_ENERGY,11,FUSED_GMM_DIAG_S0,7c77af6e44f5e00c2e17507c06ce94c369a6214322cdbb0844be7cf49cbf1490,1449,False,0.011854383297637487,0.11829151466654293,0.10409157219881197,0.3922856524139372,0.07506862309948478,0.11829151466654292,0.4865253573035032,0.5771657148104877,0.970871449205585,10,1,"[21, 2, 1, 4, 2, 19, 58, 75, 1, 1479]"
38,RNA_CHROMATIN_FAMILY_GEOMETRIC_CENTER__FULL_FROZEN_ENERGY__FUSED_GMM_DIAG_S1,RNA_CHROMATIN_FAMILY_GEOMETRIC_CENTER,FULL_FROZEN_ENERGY,12,FUSED_GMM_DIAG_S1,23df4ac0cde59bb5137f0ae8a94a44d9077a9b89d4b9ed90088ce0c7a67d65f3,1275,False,0.03770881750185225,0.1178817996566799,0.10505932989778942,0.3131805586941156,0.09558764389337274,0.11788179965667991,0.6068935327604827,0.4301058793158276,0.9528165623495426,10,1,"[13, 1, 1021, 18, 95, 16, 36, 1, 80, 381]"
39,RNA_CHROMATIN_FAMILY_GEOMETRIC_CENTER__REGISTERED_SCALE_ONLY__FUSED_KMEANS_S0,RNA_CHROMATIN_FAMILY_GEOMETRIC_CENTER,REGISTERED_SCALE_ONLY,0,FUSED_KMEANS_S0,e24cfbbdb2f56dd406e151a76ab509fe6aaef2bc222d49cbf0fa7e60ba32d0b4,104,True,0.3099053878267226,0.4848153505820869,0.4782636365751351,0.41838661184515924,0.529408263983837,0.48481535058208686,0.20434725743092347,0.7957662965678949,0.3013962445835339,10,85,"[219, 93, 129, 99, 153, 246, 167, 282, 189, 85]"
