lane,start_index,start_id,certificate_config_id,full_candidate_id,full_partition_sha256,absolute_ari,absolute_nmi,baseline_ari,baseline_nmi,delta_ari_vs_noop,delta_nmi_vs_noop,dual_gain_vs_noop,dominating_key_controls,byte_exact_key_controls,independent_dual_gain,strictly_beaten_key_controls,strict_independent_dual_gain,trusted_fraction,changed_from_initial,min_cluster_size_full
P22_K9,2,KMEANS_RETAINED_S1,Q65_S3_KEEP0_E1E6,KMEANS_RETAINED_S1__Q65_S3_KEEP0_E1E6__CCSR_FULL,384827470b4ada61437fcde7ec21406ca9a8d5d6d5c51c0e874b28802f1d11a6,0.488269130131397,0.6334577256786362,0.4490447455901838,0.5869323958022975,0.039224384541213186,0.04652532987633873,True,NIGHT15F_ORIGINAL_SELF_RETURN|CCSR_CERTIFICATE_DISABLED,,False,CCSR_RANDOM_MASK_COUNT_MATCHED,False,0.3305785123966942,1237,166
P22_K9,2,KMEANS_RETAINED_S1,Q65_S3_KEEP1_E1E6,KMEANS_RETAINED_S1__Q65_S3_KEEP1_E1E6__CCSR_FULL,46aab7e9a052c301d0ade65e37aca37abef308e93cee0bb75728dd3c663ca4e0,0.4869101016080479,0.6312841103761381,0.4490447455901838,0.5869323958022975,0.03786535601786406,0.04435171457384057,True,NIGHT15F_ORIGINAL_SELF_RETURN|CCSR_CERTIFICATE_DISABLED,,False,CCSR_RANDOM_MASK_COUNT_MATCHED,False,0.3305785123966942,971,166
P22_K9,2,KMEANS_RETAINED_S1,Q80_S2_KEEP0_E1E6,KMEANS_RETAINED_S1__Q80_S2_KEEP0_E1E6__CCSR_FULL,2588309ea930ccec4fb58d6276e18d6846047a26a25d9f6be8ddc041e0dd54d7,0.4953289841158589,0.6398427373512126,0.4490447455901838,0.5869323958022975,0.04628423852567509,0.05291034154891505,True,CCSR_CERTIFICATE_DISABLED,,False,CCSR_RANDOM_MASK_COUNT_MATCHED,False,0.19921705089169203,1341,165
P22_K9,2,KMEANS_RETAINED_S1,Q80_S2_KEEP1_E1E6,KMEANS_RETAINED_S1__Q80_S2_KEEP1_E1E6__CCSR_FULL,032cb5abe2c30cd8d6182ffb2df8547a4add1cab94969fa740dc71fda562199a,0.4870823863084736,0.638997221133502,0.4490447455901838,0.5869323958022975,0.0380376407182898,0.05206482533120449,True,NIGHT15F_ORIGINAL_SELF_RETURN|CCSR_CERTIFICATE_DISABLED,,False,CCSR_RANDOM_MASK_COUNT_MATCHED,False,0.19921705089169203,1007,170
P22_K9,2,KMEANS_RETAINED_S1,Q80_S3_KEEP0_E1E6,KMEANS_RETAINED_S1__Q80_S3_KEEP0_E1E6__CCSR_FULL,77ea3ebfadb08bf6af1cde223b7f66b5733d5444c36d2c2011c6549e95421cfb,0.4956190679677186,0.6404251193123737,0.4490447455901838,0.5869323958022975,0.04657432237753478,0.05349272351007617,True,CCSR_CERTIFICATE_DISABLED,,False,CCSR_RANDOM_MASK_COUNT_MATCHED,False,0.19454110482818618,1343,164
P22_K9,2,KMEANS_RETAINED_S1,Q80_S3_KEEP1_E1E6,KMEANS_RETAINED_S1__Q80_S3_KEEP1_E1E6__CCSR_FULL,fbe476fa5da9ce6a7a12969d132b93f1040857d42057d89f500c9fdbe8c100d5,0.4872855089018776,0.6393288384126952,0.4490447455901838,0.5869323958022975,0.03824076331169379,0.052396442610397664,True,NIGHT15F_ORIGINAL_SELF_RETURN|CCSR_CERTIFICATE_DISABLED,,False,CCSR_RANDOM_MASK_COUNT_MATCHED,False,0.19454110482818618,1008,170
MISAR_K7,0,AUTHORITY_STRONG_START,Q50_S2_KEEP0_E1E6,AUTHORITY_STRONG_START__Q50_S2_KEEP0_E1E6__CCSR_FULL,dfb8545b9b50fbf8ae184d28016d151ce13690bc795bc1b65a23908653367773,0.5340692315437351,0.6558274495097495,0.5416365903694235,0.6669488935833198,-0.007567358825688375,-0.011121444073570297,False,NIGHT15F_ORIGINAL_SELF_RETURN|CCSR_CERTIFICATE_DISABLED|CCSR_RANDOM_MASK_COUNT_MATCHED,CCSR_CERTIFICATE_DISABLED,False,,False,0.4817855310415598,42,127
MISAR_K7,0,AUTHORITY_STRONG_START,Q50_S2_KEEP1_E1E6,AUTHORITY_STRONG_START__Q50_S2_KEEP1_E1E6__CCSR_FULL,8022356d937c8f1a8018b2c0bf03eaa105528961be9abe0e5463b690925f8696,0.5417984659042879,0.6658418512414895,0.5416365903694235,0.6669488935833198,0.00016187553486446404,-0.0011070423418302333,False,NIGHT15F_ORIGINAL_SELF_RETURN|CCSR_CERTIFICATE_DISABLED|CCSR_RANDOM_MASK_COUNT_MATCHED,NIGHT15F_ORIGINAL_SELF_RETURN|CCSR_CERTIFICATE_DISABLED,False,,False,0.4817855310415598,4,125
MISAR_K7,0,AUTHORITY_STRONG_START,Q50_S3_KEEP0_E1E6,AUTHORITY_STRONG_START__Q50_S3_KEEP0_E1E6__CCSR_FULL,dfb8545b9b50fbf8ae184d28016d151ce13690bc795bc1b65a23908653367773,0.5340692315437351,0.6558274495097495,0.5416365903694235,0.6669488935833198,-0.007567358825688375,-0.011121444073570297,False,NIGHT15F_ORIGINAL_SELF_RETURN|CCSR_CERTIFICATE_DISABLED,CCSR_CERTIFICATE_DISABLED,False,CCSR_RANDOM_MASK_COUNT_MATCHED,False,0.41662390969728064,42,127
MISAR_K7,0,AUTHORITY_STRONG_START,Q50_S3_KEEP1_E1E6,AUTHORITY_STRONG_START__Q50_S3_KEEP1_E1E6__CCSR_FULL,8022356d937c8f1a8018b2c0bf03eaa105528961be9abe0e5463b690925f8696,0.5417984659042879,0.6658418512414895,0.5416365903694235,0.6669488935833198,0.00016187553486446404,-0.0011070423418302333,False,NIGHT15F_ORIGINAL_SELF_RETURN|CCSR_CERTIFICATE_DISABLED|CCSR_RANDOM_MASK_COUNT_MATCHED,NIGHT15F_ORIGINAL_SELF_RETURN|CCSR_CERTIFICATE_DISABLED,False,,False,0.41662390969728064,4,125
