lane,start_index,start_id,certificate_config_id,partition_sha256,trusted_count,trusted_fraction,certified_changed_count,noncertified_changed_count,certificate_gap_mean,certificate_gap_max,certificate_epsilon_max,mean_untrusted_original_stay,each_frozen_cycle_monotone,exact_k
MISAR_K7,1,KMEANS_RETAINED_S0,Q65_S3_KEEP0_E1E6,6ef4290980ef8081f0cea2b6dd1564587541aa3dd5eaa1c255b6e8594c8b252e,587,0.3011800923550539,0,97,1.5440699668378999,10.005350324355051,6.467905439693095e-05,0.0,1,7
MISAR_K7,1,KMEANS_RETAINED_S0,Q65_S3_KEEP1_E1E6,ee139fac93efb4a15878ad00ac00e39c4fed2b91977702db2e1da2ec907b7be2,587,0.3011800923550539,0,47,1.5440701614674914,10.005350970578345,6.532527769121661e-05,1.2582052393657297,1,7
MISAR_K7,1,KMEANS_RETAINED_S0,Q80_S2_KEEP0_E1E6,6ef4290980ef8081f0cea2b6dd1564587541aa3dd5eaa1c255b6e8594c8b252e,390,0.20010261672652643,0,97,1.0590792118093595,10.082453636761004,6.467905439693095e-05,0.0,1,7
MISAR_K7,1,KMEANS_RETAINED_S0,Q80_S2_KEEP1_E1E6,ee139fac93efb4a15878ad00ac00e39c4fed2b91977702db2e1da2ec907b7be2,390,0.20010261672652643,0,47,1.059079337245832,10.082454263621734,6.530591512846064e-05,1.4440078562152203,1,7
MISAR_K7,1,KMEANS_RETAINED_S0,Q80_S3_KEEP0_E1E6,6ef4290980ef8081f0cea2b6dd1564587541aa3dd5eaa1c255b6e8594c8b252e,343,0.17598768599281683,0,97,0.9059404476349646,9.782237354129217,6.467905439693095e-05,0.0,1,7
MISAR_K7,1,KMEANS_RETAINED_S0,Q80_S3_KEEP1_E1E6,ee139fac93efb4a15878ad00ac00e39c4fed2b91977702db2e1da2ec907b7be2,343,0.17598768599281683,0,47,0.9059405551617496,9.782237965119608,6.529004478798294e-05,1.477606247367171,1,7
MISAR_K7,2,KMEANS_RETAINED_S1,Q50_S2_KEEP0_E1E6,b196e3a44ccdd60ceafccfc5e2a2a5faaffee24b4055ae001c786319ac941a60,969,0.49717804002052335,0,96,2.559925027701297,10.08580904206812,6.46791314000578e-05,0.0,1,7
MISAR_K7,2,KMEANS_RETAINED_S1,Q50_S2_KEEP1_E1E6,15f636d956c87a113e08164a409dd56a43d23e071172236b8982555fbff01ab1,969,0.49717804002052335,0,47,2.559925217695984,10.085809424214297,6.506127757582187e-05,0.9158185293044588,1,7
MISAR_K7,2,KMEANS_RETAINED_S1,Q50_S3_KEEP0_E1E6,b196e3a44ccdd60ceafccfc5e2a2a5faaffee24b4055ae001c786319ac941a60,840,0.43099025141097996,0,96,2.1807816432328635,10.026623212291176,6.46791314000578e-05,0.0,1,7
MISAR_K7,2,KMEANS_RETAINED_S1,Q50_S3_KEEP1_E1E6,15f636d956c87a113e08164a409dd56a43d23e071172236b8982555fbff01ab1,840,0.43099025141097996,0,47,2.180781870343567,10.026623739242083,6.520608230693091e-05,1.0213913496738911,1,7
MISAR_K7,2,KMEANS_RETAINED_S1,Q65_S2_KEEP0_E1E6,b196e3a44ccdd60ceafccfc5e2a2a5faaffee24b4055ae001c786319ac941a60,682,0.34992303745510517,0,96,1.823562390064283,10.08580904206812,6.46791314000578e-05,0.0,1,7
MISAR_K7,2,KMEANS_RETAINED_S1,Q65_S2_KEEP1_E1E6,15f636d956c87a113e08164a409dd56a43d23e071172236b8982555fbff01ab1,682,0.34992303745510517,0,47,1.8235626010271129,10.085809644951633,6.528201491195988e-05,1.1813029972005311,1,7
MISAR_K7,2,KMEANS_RETAINED_S1,Q65_S3_KEEP0_E1E6,b196e3a44ccdd60ceafccfc5e2a2a5faaffee24b4055ae001c786319ac941a60,587,0.3011800923550539,0,96,1.5447761793153612,10.007243475532949,6.46791314000578e-05,0.0,1,7
MISAR_K7,2,KMEANS_RETAINED_S1,Q65_S3_KEEP1_E1E6,15f636d956c87a113e08164a409dd56a43d23e071172236b8982555fbff01ab1,587,0.3011800923550539,0,47,1.5447763745629832,10.007244123808274,6.532740672425392e-05,1.25810890605277,1,7
MISAR_K7,2,KMEANS_RETAINED_S1,Q80_S2_KEEP0_E1E6,b196e3a44ccdd60ceafccfc5e2a2a5faaffee24b4055ae001c786319ac941a60,390,0.20010261672652643,0,96,1.0576577348923386,10.08580904206812,6.46791314000578e-05,0.0,1,7
MISAR_K7,2,KMEANS_RETAINED_S1,Q80_S2_KEEP1_E1E6,15f636d956c87a113e08164a409dd56a43d23e071172236b8982555fbff01ab1,390,0.20010261672652643,0,47,1.0576578599169701,10.085809666870704,6.530393398227506e-05,1.443701655570643,1,7
MISAR_K7,2,KMEANS_RETAINED_S1,Q80_S3_KEEP0_E1E6,b196e3a44ccdd60ceafccfc5e2a2a5faaffee24b4055ae001c786319ac941a60,343,0.17598768599281683,0,96,0.9044999356586758,9.783903220195056,6.46791314000578e-05,0.0,1,7
MISAR_K7,2,KMEANS_RETAINED_S1,Q80_S3_KEEP1_E1E6,15f636d956c87a113e08164a409dd56a43d23e071172236b8982555fbff01ab1,343,0.17598768599281683,0,47,0.9045000427134333,9.783903828503284,6.52874396294582e-05,1.4773000467225936,1,7
PLACENTA_K10,0,FUSED_KMEANS_S0,Q50_S2_KEEP0_E1E6,aa7b7f9cca2594e6d598bdc6c12b8c499a77530f70257faa4ec4974feb503776,824,0.49578820697954273,0,670,3.879529086248246,13.214330670577706,8.507878521254565e-05,0.0,1,10
PLACENTA_K10,0,FUSED_KMEANS_S0,Q50_S2_KEEP1_E1E6,0d899ff40464eed6b3254fdc29bc53527d9933c1742b25b4c2e128b84d2a2cf8,824,0.49578820697954273,0,643,3.879528982490797,13.214330461299939,8.486950744464884e-05,0.4063085312445982,1,10
PLACENTA_K10,0,FUSED_KMEANS_S0,Q50_S3_KEEP0_E1E6,743dec2255029160987f94e75ebc17a7abf20cc8de31d4f822278086d1d05f35,523,0.3146811070998797,0,869,2.4601207014224364,12.31845513265033,8.507878521254565e-05,0.0,1,10
PLACENTA_K10,0,FUSED_KMEANS_S0,Q50_S3_KEEP1_E1E6,e8a0df44ab034600e1c92c7ff9b373f8444efcecf555053a4f1fb5ce0306fb0f,523,0.3146811070998797,0,828,2.4601206666419855,12.31845502212431,8.496825919147716e-05,0.5537806200860458,1,10
PLACENTA_K10,0,FUSED_KMEANS_S0,Q65_S2_KEEP0_E1E6,a2df84f73ea16098aa51e65e46021cb797f05a2106544b2a91100e3e50f5e836,581,0.34957882069795426,0,857,2.676173570910156,13.214330670577706,8.507878521254565e-05,0.0,1,10
PLACENTA_K10,0,FUSED_KMEANS_S0,Q65_S2_KEEP1_E1E6,7a45ea4730215d94b916aae3de7adcea9b0358dc14f556ca21ae33a8eb46f4fe,581,0.34957882069795426,0,801,2.676173495241674,13.214330454121566,8.48623290726918e-05,0.5240262421551073,1,10
PLACENTA_K10,0,FUSED_KMEANS_S0,Q65_S3_KEEP0_E1E6,c729513ae45d138ff73b15ae212843d4946b6a9d9ae870d822a02440d49f2012,396,0.23826714801444043,0,951,1.8288439657668807,12.31845513265033,8.507878521254565e-05,0.0,1,10
PLACENTA_K10,0,FUSED_KMEANS_S0,Q65_S3_KEEP1_E1E6,303a36d3137a72ab1a88d55fa388efe67ea744182441da9e309ae003db1a346a,396,0.23826714801444043,0,908,1.8288439351637296,12.31845500420983,8.495034471362358e-05,0.6149505345587437,1,10
PLACENTA_K10,0,FUSED_KMEANS_S0,Q80_S2_KEEP0_E1E6,e371b4609a69edfdbf91609b14fe57b5a84c7e562a25f7bcdcb55f2667bae05d,333,0.2003610108303249,0,1023,1.4870844404513865,12.31845513265033,8.507878521254565e-05,0.0,1,10
PLACENTA_K10,0,FUSED_KMEANS_S0,Q80_S2_KEEP1_E1E6,43d6d3814ab2c1a17f65e431c62f0f4d3d9a41a69605f465d5e49cedcc22f099,333,0.2003610108303249,0,960,1.4870844060981607,12.318454961193689,8.490732857243257e-05,0.6425899688312293,1,10
PLACENTA_K10,0,FUSED_KMEANS_S0,Q80_S3_KEEP0_E1E6,ef584fd4957ec24141934847e54c65310861102f8a9ee4c2535e093c137a5050,248,0.14921780986762936,0,1036,1.1109749598954308,12.31845513265033,8.507878521254565e-05,0.0,1,10
PLACENTA_K10,0,FUSED_KMEANS_S0,Q80_S3_KEEP1_E1E6,73bf274210122bbe677e572e1881d72c546b67e8c1c613f19a3c2911233e414f,248,0.14921780986762936,0,992,1.1109749426753368,12.318455017247928,8.496338280989978e-05,0.6845590482140467,1,10
PLACENTA_K10,1,FUSED_KMEANS_S1,Q50_S2_KEEP0_E1E6,9e74f9089c8519f2f63f8f149ca68b1745ee4070f5dbe7aad66bdd28fd36929b,830,0.4993983152827918,0,656,3.6713675661519027,12.667231442634618,8.510283236057268e-05,0.0,1,10
PLACENTA_K10,1,FUSED_KMEANS_S1,Q50_S2_KEEP1_E1E6,ddb928cca7ea0664c490752bd2666a3d1fcc73ec7b82a0fc7b1cbde35dfd8774,830,0.4993983152827918,0,592,3.671367467293147,12.667231244678891,8.490487663417008e-05,0.40168090408507806,1,10
PLACENTA_K10,1,FUSED_KMEANS_S1,Q50_S3_KEEP0_E1E6,dc98ce5b93408fc24f085f5c624d2e39075b5b5555e84b96476f23fb0b15b2b2,491,0.2954271961492178,0,846,2.1702266549501172,11.414036709951409,8.510283236057268e-05,0.0,1,10
PLACENTA_K10,1,FUSED_KMEANS_S1,Q50_S3_KEEP1_E1E6,fb8989b27dcb96886c81a2a4e4eba30e34f40782a56f1c38e72d8925a258a4d1,491,0.2954271961492178,0,807,2.1702266184831522,11.414036586513332,8.497939428200991e-05,0.5670147655753826,1,10
PLACENTA_K10,1,FUSED_KMEANS_S1,Q65_S2_KEEP0_E1E6,66455336e39762ce3f53598ef64a686b7a3df80748e7a30d4b4e8e5430d87b81,582,0.35018050541516244,0,803,2.5180558310889607,12.667231442634618,8.510283236057268e-05,0.0,1,10
