unit_id,raw_target,canonical_identifier,gene_id,status,authority,selected_for_engineering
P10S2,Isotype_G0114F7,,,control,deposited isotype-control name,false
P10S2,Isotype_RTK2758,,,control,deposited isotype-control name,false
P10S2,Isotype_RTK4174,,,control,deposited isotype-control name,false
P10S2,Isotype_HTK888,,,control,deposited isotype-control name,false
P10S2,KLRG1,Klrg1,50928,unique,NCBI Gene exact Symbol/Synonym token,true
P10S2,CD223,Lag3,16768,unique,NCBI Gene exact Symbol/Synonym token,true
P10S2,CD163,Cd163,93671,unique,NCBI Gene exact Symbol/Synonym token,true
P10S2,CD49b,Itga2,16398,unique,NCBI Gene exact Symbol/Synonym token,true
P10S2,CD172a,Sirpa,19261,unique,NCBI Gene exact Symbol/Synonym token,true
P10S2,CD48,Cd48,12506,unique,NCBI Gene exact Symbol/Synonym token,true
P10S2,CD170,Siglece,83382,unique,NCBI Gene exact Symbol/Synonym token,true
P10S2,CD169,Siglec1,20612,unique,NCBI Gene exact Symbol/Synonym token,true
P10S2,CD71,Tfrc,22042,unique,NCBI Gene exact Symbol/Synonym token,true
P10S2,CD41,Itga2b,16399,unique,NCBI Gene exact Symbol/Synonym token,true
P10S2,IgM,,,ambiguous,NCBI Gene exact token maps to multiple GeneIDs,false
P10S2,CD301a,Clec10a,17312,unique,NCBI Gene exact Symbol/Synonym token,true
P10S2,CD304,,,unmapped,no exact NCBI Gene Symbol/Synonym token,false
P10S2,CD36,,,ambiguous,NCBI Gene exact token maps to multiple GeneIDs,false
P10S2,CD38,Cd38,12494,unique,NCBI Gene exact Symbol/Synonym token,true
P10S2,CD55,Cd55,13136,unique,NCBI Gene exact Symbol/Synonym token,true
P10S2,CD63,Cd63,12512,unique,NCBI Gene exact Symbol/Synonym token,true
P10S2,CD68,Cd68,12514,unique,NCBI Gene exact Symbol/Synonym token,true
P10S2,CD79b,Cd79b,15985,unique,NCBI Gene exact Symbol/Synonym token,true
P10S2,CD83,Cd83,12522,unique,NCBI Gene exact Symbol/Synonym token,true
P10S2,CX3CR1,Cx3cr1,13051,unique,NCBI Gene exact Symbol/Synonym token,true
P10S2,CD301b,Mgl2,216864,unique,NCBI Gene exact Symbol/Synonym token,true
P10S2,Tim_4,,,unmapped,no exact NCBI Gene Symbol/Synonym token,false
P10S2,Rt_XCR1,,,unmapped,no exact NCBI Gene Symbol/Synonym token,false
P10S2,Rt_CD29,,,unmapped,no exact NCBI Gene Symbol/Synonym token,false
P10S2,IgD,Ighd,380797,unique,NCBI Gene exact Symbol/Synonym token,true
P10S2,CD11a,Itgal,16408,unique,NCBI Gene exact Symbol/Synonym token,true
P10S2,CD200R,Cd200r1,57781,unique,NCBI Gene exact Symbol/Synonym token,true
P10S2,CD200R3,Cd200r3,74603,unique,NCBI Gene exact Symbol/Synonym token,true
P10S2,CD138,Sdc1,20969,unique,NCBI Gene exact Symbol/Synonym token,true
P10S2,CD317,Bst2,69550,unique,NCBI Gene exact Symbol/Synonym token,true
P10S2,CD9,Cd9,12527,unique,NCBI Gene exact Symbol/Synonym token,true
P10S2,CD371,,,unmapped,no exact NCBI Gene Symbol/Synonym token,false
P10S2,CD22,Cd22,12483,unique,NCBI Gene exact Symbol/Synonym token,true
P10S2,IL_33Ra,,,unmapped,no exact NCBI Gene Symbol/Synonym token,false
P10S2,Ly49H,,,ambiguous,NCBI Gene exact token maps to multiple GeneIDs,false
P10S2,Ly49D,Klra4,16635,unique,NCBI Gene exact Symbol/Synonym token,true
P10S2,Ly_49A,,,unmapped,no exact NCBI Gene Symbol/Synonym token,false
P10S2,CD185,,,unmapped,no exact NCBI Gene Symbol/Synonym token,false
P10S2,CD49a,Itga1,109700,unique,NCBI Gene exact Symbol/Synonym token,true
P10S2,CD1d,Cd1d1,12479,unique,NCBI Gene exact Symbol/Synonym token,true
P10S2,CD226_10E5,,,unmapped,no exact NCBI Gene Symbol/Synonym token,false
P10S2,CD199,,,unmapped,no exact NCBI Gene Symbol/Synonym token,false
P10S2,JAML,Jaml,270152,unique,NCBI Gene exact Symbol/Synonym token,true
P10S2,CD272,,,unmapped,no exact NCBI Gene Symbol/Synonym token,false
P10S2,PIR_A_B,,,unmapped,no exact NCBI Gene Symbol/Synonym token,false
P10S2,CD26,Dpp4,13482,unique,NCBI Gene exact Symbol/Synonym token,true
P10S2,CD270,,,unmapped,no exact NCBI Gene Symbol/Synonym token,false
P10S2,CD2,,,ambiguous,NCBI Gene exact token maps to multiple GeneIDs,false
P10S2,CD120b,Tnfrsf1b,21938,unique,NCBI Gene exact Symbol/Synonym token,true
P10S2,CD40,Cd40,21939,unique,NCBI Gene exact Symbol/Synonym token,true
P10S2,CD31,Pecam1,18613,unique,NCBI Gene exact Symbol/Synonym token,true
P10S2,CD107a,Lamp1,16783,unique,NCBI Gene exact Symbol/Synonym token,true
P10S2,Rt_CD61,,,unmapped,no exact NCBI Gene Symbol/Synonym token,false
P10S2,VISTA,Vsir,74048,unique,NCBI Gene exact Symbol/Synonym token,true
P10S2,CD186,,,unmapped,no exact NCBI Gene Symbol/Synonym token,false
P10S2,CD159a,Klrc1,16641,unique,NCBI Gene exact Symbol/Synonym token,true
P10S2,Ly108,Slamf6,30925,unique,NCBI Gene exact Symbol/Synonym token,true
P10S2,CD160,Cd160,54215,unique,NCBI Gene exact Symbol/Synonym token,true
P10S2,CD85k,Lilrb4a,14728,unique,NCBI Gene exact Symbol/Synonym token,true
P10S2,CD51,Itgav,16410,unique,NCBI Gene exact Symbol/Synonym token,true
P10S2,CD94,Klrd1,16643,unique,NCBI Gene exact Symbol/Synonym token,true
P10S2,CD205,Ly75,17076,unique,NCBI Gene exact Symbol/Synonym token,true
P10S2,CD155,Pvr,52118,unique,NCBI Gene exact Symbol/Synonym token,true
P10S2,Rt_CD81,,,unmapped,no exact NCBI Gene Symbol/Synonym token,false
P10S2,MOG,Mog,17441,unique,NCBI Gene exact Symbol/Synonym token,true
P10S2,CTIP2,Bcl11b,58208,unique,NCBI Gene exact Symbol/Synonym token,true
P10S2,TBR1,Tbr1,21375,unique,NCBI Gene exact Symbol/Synonym token,true
P10S2,PDGFR2,,,unmapped,no exact NCBI Gene Symbol/Synonym token,false
P10S2,GFAP,Gfap,14580,unique,NCBI Gene exact Symbol/Synonym token,true
P10S2,IBA1,,,ambiguous,NCBI Gene exact token maps to multiple GeneIDs,false
P10S2,NeuN,Rbfox3,52897,unique,NCBI Gene exact Symbol/Synonym token,true
P10S2,OLIGO2,Olig2,50913,unique,NCBI Gene exact Symbol/Synonym token,true
P10S2,MBP,,,ambiguous,NCBI Gene exact token maps to multiple GeneIDs,false
P10S2,CUX2_CUX1,,,unmapped,no exact NCBI Gene Symbol/Synonym token,false
P10S2,SATB2,Satb2,212712,unique,NCBI Gene exact Symbol/Synonym token,true
P10S2,unmapped,,,unmapped,no exact NCBI Gene Symbol/Synonym token,false
P10S3,CD4,Cd4,12504,unique,NCBI Gene exact Symbol/Synonym token,true
P10S3,CD8a,Cd8a,12525,unique,NCBI Gene exact Symbol/Synonym token,true
P10S3,CD366,,,unmapped,no exact NCBI Gene Symbol/Synonym token,false
P10S3,CD279,,,unmapped,no exact NCBI Gene Symbol/Synonym token,false
P10S3,Ms_Ly_6C,,,unmapped,no exact NCBI Gene Symbol/Synonym token,false
P10S3,CD11b,Itgam,16409,unique,NCBI Gene exact Symbol/Synonym token,true
P10S3,Ms_Ly_6G,,,unmapped,no exact NCBI Gene Symbol/Synonym token,false
P10S3,CD49f,Itga6,16403,unique,NCBI Gene exact Symbol/Synonym token,true
P10S3,CD44,Cd44,12505,unique,NCBI Gene exact Symbol/Synonym token,true
P10S3,CD54,Icam1,15894,unique,NCBI Gene exact Symbol/Synonym token,true
P10S3,CD90.2,,,unmapped,no exact NCBI Gene Symbol/Synonym token,false
P10S3,CD73,Nt5e,23959,unique,NCBI Gene exact Symbol/Synonym token,true
P10S3,CD49d,Itga4,16401,unique,NCBI Gene exact Symbol/Synonym token,true
P10S3,CD200,Cd200,17470,unique,NCBI Gene exact Symbol/Synonym token,true
P10S3,Isotype_MOPC_21,,,control,deposited isotype-control name,false
P10S3,Isotype_MOPC_173,,,control,deposited isotype-control name,false
P10S3,Isotype_MPC_11,,,control,deposited isotype-control name,false
P10S3,CD19,Cd19,12478,unique,NCBI Gene exact Symbol/Synonym token,true
P10S3,Isotype_RTK4530,,,control,deposited isotype-control name,false
P10S3,CD45,Ptprc,19264,unique,NCBI Gene exact Symbol/Synonym token,true
P10S3,CD25,Il2ra,16184,unique,NCBI Gene exact Symbol/Synonym token,true
P10S3,CD45R_B220,,,unmapped,no exact NCBI Gene Symbol/Synonym token,false
P10S3,CD102,Icam2,15896,unique,NCBI Gene exact Symbol/Synonym token,true
P10S3,CD115,Csf1r,12978,unique,NCBI Gene exact Symbol/Synonym token,true
P10S3,CD11c,Itgax,16411,unique,NCBI Gene exact Symbol/Synonym token,true
P10S3,CD21_CD35,,,unmapped,no exact NCBI Gene Symbol/Synonym token,false
P10S3,CD23,,,ambiguous,NCBI Gene exact token maps to multiple GeneIDs,false
P10S3,CD43,Spn,20737,unique,NCBI Gene exact Symbol/Synonym token,true
P10S3,CD5,Cd5,12507,unique,NCBI Gene exact Symbol/Synonym token,true
P10S3,CD62L,Sell,20343,unique,NCBI Gene exact Symbol/Synonym token,true
P10S3,CD93,Cd93,17064,unique,NCBI Gene exact Symbol/Synonym token,true
P10S3,F4_80,,,unmapped,no exact NCBI Gene Symbol/Synonym token,false
P10S3,FceRIa,,,unmapped,no exact NCBI Gene Symbol/Synonym token,false
P10S3,I_A_I_E,,,unmapped,no exact NCBI Gene Symbol/Synonym token,false
P10S3,NK_1_1,,,unmapped,no exact NCBI Gene Symbol/Synonym token,false
P10S3,Siglec_H,,,unmapped,no exact NCBI Gene Symbol/Synonym token,false
P10S3,TCR_Bchain,,,unmapped,no exact NCBI Gene Symbol/Synonym token,false
P10S3,TCR_RD_GL3,,,unmapped,no exact NCBI Gene Symbol/Synonym token,false
P10S3,TER_119,,,unmapped,no exact NCBI Gene Symbol/Synonym token,false
P10S3,Ly_6A_E,,,unmapped,no exact NCBI Gene Symbol/Synonym token,false
P10S3,CD45_2,,,unmapped,no exact NCBI Gene Symbol/Synonym token,false
P10S3,CD3,,,ambiguous,NCBI Gene exact token maps to multiple GeneIDs,false
P10S3,CD274,Cd274,60533,unique,NCBI Gene exact Symbol/Synonym token,true
P10S3,Rt_CD27,,,unmapped,no exact NCBI Gene Symbol/Synonym token,false
P10S3,CD20,Ms4a1,12482,unique,NCBI Gene exact Symbol/Synonym token,true
P10S3,CD357,,,unmapped,no exact NCBI Gene Symbol/Synonym token,false
P10S3,CD137,Tnfrsf9,21942,unique,NCBI Gene exact Symbol/Synonym token,true
P10S3,CD134,Tnfrsf4,22163,unique,NCBI Gene exact Symbol/Synonym token,true
P10S3,CD69,Cd69,12515,unique,NCBI Gene exact Symbol/Synonym token,true
P10S3,CD127,Il7r,16197,unique,NCBI Gene exact Symbol/Synonym token,true
P10S3,CD86,Cd86,12524,unique,NCBI Gene exact Symbol/Synonym token,true
P10S3,CD103,Itgae,16407,unique,NCBI Gene exact Symbol/Synonym token,true
P10S3,CD64,Fcgr1,14129,unique,NCBI Gene exact Symbol/Synonym token,true
P10S3,CD150,Slamf1,27218,unique,NCBI Gene exact Symbol/Synonym token,true
P10S3,CD24,Cd24a,12484,unique,NCBI Gene exact Symbol/Synonym token,true
P10S3,integrin_b7,,,unmapped,no exact NCBI Gene Symbol/Synonym token,false
P10S3,CD106,Vcam1,22329,unique,NCBI Gene exact Symbol/Synonym token,true
P10S3,CD8b,Cd8b1,12526,unique,NCBI Gene exact Symbol/Synonym token,true
P10S3,Isotype_RTK2071,,,control,deposited isotype-control name,false
P10S3,Isotype_G0114F7,,,control,deposited isotype-control name,false
P10S3,Isotype_RTK2758,,,control,deposited isotype-control name,false
P10S3,Isotype_RTK4174,,,control,deposited isotype-control name,false
P10S3,Isotype_HTK888,,,control,deposited isotype-control name,false
P10S3,KLRG1,Klrg1,50928,unique,NCBI Gene exact Symbol/Synonym token,true
P10S3,CD223,Lag3,16768,unique,NCBI Gene exact Symbol/Synonym token,true
P10S3,CD163,Cd163,93671,unique,NCBI Gene exact Symbol/Synonym token,true
P10S3,CD49b,Itga2,16398,unique,NCBI Gene exact Symbol/Synonym token,true
P10S3,CD172a,Sirpa,19261,unique,NCBI Gene exact Symbol/Synonym token,true
P10S3,CD48,Cd48,12506,unique,NCBI Gene exact Symbol/Synonym token,true
P10S3,CD170,Siglece,83382,unique,NCBI Gene exact Symbol/Synonym token,true
P10S3,CD169,Siglec1,20612,unique,NCBI Gene exact Symbol/Synonym token,true
P10S3,CD71,Tfrc,22042,unique,NCBI Gene exact Symbol/Synonym token,true
P10S3,CD41,Itga2b,16399,unique,NCBI Gene exact Symbol/Synonym token,true
P10S3,IgM,,,ambiguous,NCBI Gene exact token maps to multiple GeneIDs,false
P10S3,CD301a,Clec10a,17312,unique,NCBI Gene exact Symbol/Synonym token,true
P10S3,CD304,,,unmapped,no exact NCBI Gene Symbol/Synonym token,false
