dataset,variant,deterministic_embedding_sha256,training_seed,endpoint_seed,k,total_observations,evaluated_observations,ordered_id_sha256,partition_sha256,inertia,centroid_margin,change_rate_vs_endpoint_seed0,wall_seconds,absolute_ari,absolute_nmi,ami,fmi,homogeneity,v_measure,morans_i,gearys_c,identity_ari,identity_nmi,delta_ari,delta_nmi,win_both
A1,B10_MIXTURE,bcc2990e91751c5c942e28fe4233c163e1033f28eb4018294f21536c8dcafef3,NOT_APPLICABLE,1,10,3484,3484,7a65e31e47074141430212884f034ddcf80e16410aa13b96c82a18d1bfacfaad,88e961172f87b7f62013710038a874aa9d6642c04d77377260b6ef468302ad1f,157080.75,0.09843853412792569,0.27324913892078073,3.413738740608096,0.2192768347990097,0.35158332016848526,0.34757246284834853,0.3718515342435732,0.38228467041255926,0.35158332016848526,0.4964843424162793,0.5032880633958907,0.2171966121702652,0.3554401770247647,0.0020802226287444936,-0.003856856856279456,False
A1,B10_MIXTURE,bcc2990e91751c5c942e28fe4233c163e1033f28eb4018294f21536c8dcafef3,NOT_APPLICABLE,2,10,3484,3484,7a65e31e47074141430212884f034ddcf80e16410aa13b96c82a18d1bfacfaad,2a8145bbb64e097235cfac2eaecb43e3d4cccdfee63f0d4c858681e86558867d,157598.9375,0.09704945377859893,0.27324913892078073,3.191679373383522,0.2124892130516321,0.33053054445930435,0.326634260455241,0.36923288309372637,0.3525666322851922,0.33053054445930435,0.44237932668951857,0.5457695374227371,0.2675290575424605,0.37048341330825124,-0.05503984449082838,-0.03995286884894689,False
A1,B10_MIXTURE,bcc2990e91751c5c942e28fe4233c163e1033f28eb4018294f21536c8dcafef3,NOT_APPLICABLE,3,10,3484,3484,7a65e31e47074141430212884f034ddcf80e16410aa13b96c82a18d1bfacfaad,c5341c112073164fc4b59e8e0956d3f874db667348f98f50eaa399616fe96f22,157139.6875,0.10068975094025989,0.2649253731343284,3.7014918494969606,0.21851398928507124,0.357447885447916,0.3534583460355314,0.3731998146799934,0.3872581627662769,0.35744788544791606,0.49189252646690373,0.5082387227915037,0.22674940100727112,0.3456701020129201,-0.008235411722199881,0.011777783434995914,False
A1,B10_MIXTURE,bcc2990e91751c5c942e28fe4233c163e1033f28eb4018294f21536c8dcafef3,NOT_APPLICABLE,4,10,3484,3484,7a65e31e47074141430212884f034ddcf80e16410aa13b96c82a18d1bfacfaad,d208b08a5ec401cd0628c9c0c59d24e4b7d62ed7cb41450ab6f469bfb1cd4677,157628.125,0.09931007778962672,0.26664753157290466,3.6940246261656284,0.2226065686462224,0.35874364465191405,0.35501726934255184,0.37774221732651925,0.3833427925530086,0.3587436446519141,0.4413427595692153,0.5471214181149752,0.21902953163644548,0.3487922807605965,0.0035770370097769344,0.009951363891317566,True
A1,B10_MIXTURE,bcc2990e91751c5c942e28fe4233c163e1033f28eb4018294f21536c8dcafef3,NOT_APPLICABLE,5,10,3484,3484,7a65e31e47074141430212884f034ddcf80e16410aa13b96c82a18d1bfacfaad,687338a6537350a497ce04de959ecc4ab534830e58517cbf7694c26e97d2d8af,157535.34375,0.10262740295228588,0.09730195177956369,3.5086756832897663,0.2470969274790208,0.3573398503752182,0.35318979899811787,0.41163677335382876,0.36810135534369276,0.3573398503752182,0.47641140053204156,0.5305905827646094,0.21979411747522903,0.35448589767422695,0.027302810003791755,0.002853952700991258,True
A1,B10_MIXTURE,bcc2990e91751c5c942e28fe4233c163e1033f28eb4018294f21536c8dcafef3,NOT_APPLICABLE,6,10,3484,3484,7a65e31e47074141430212884f034ddcf80e16410aa13b96c82a18d1bfacfaad,33691b93a795eaeb4521840bbb6219dd68bb91637c6e786170c9d10df07767bc,157680.734375,0.10309722028260185,0.08553386911595862,3.2979459408670664,0.25560062372772074,0.3626258618937224,0.35853790846861966,0.4186212872848927,0.3715728446237618,0.3626258618937224,0.45524940304550376,0.5395201668658073,0.2098530481666155,0.33354518052866916,0.04574757556110523,0.029080681365053263,True
A1,B10_MIXTURE,bcc2990e91751c5c942e28fe4233c163e1033f28eb4018294f21536c8dcafef3,NOT_APPLICABLE,7,10,3484,3484,7a65e31e47074141430212884f034ddcf80e16410aa13b96c82a18d1bfacfaad,80ec120395c9018b0390bd3df4af21956253f925c834f764feddc0420b09721c,157895.6875,0.0928943086598437,0.34873708381171065,3.5067115612328053,0.22453381612474568,0.35597270521326535,0.3518280765633333,0.3688857771786028,0.4009741091344173,0.35597270521326535,0.5492399151362427,0.450075576262583,0.25905464363233227,0.3624293145686607,-0.03452082750758659,-0.006456609355395326,False
A1,B10_MIXTURE,bcc2990e91751c5c942e28fe4233c163e1033f28eb4018294f21536c8dcafef3,NOT_APPLICABLE,8,10,3484,3484,7a65e31e47074141430212884f034ddcf80e16410aa13b96c82a18d1bfacfaad,f280608ea81121168e069473e733a20f169f0b16493674eeed6a7ce3a1006029,157516.609375,0.09990199419688388,0.25315729047072333,3.3019761983305216,0.21937513658975985,0.35644437088034225,0.35244892405752787,0.3735030283347986,0.3859662147090863,0.35644437088034225,0.48738213735000463,0.5259087775707771,0.22501234215396063,0.3566870158718661,-0.005637205564200776,-0.00024264499152382157,False
A1,B10_MIXTURE,bcc2990e91751c5c942e28fe4233c163e1033f28eb4018294f21536c8dcafef3,NOT_APPLICABLE,9,10,3484,3484,7a65e31e47074141430212884f034ddcf80e16410aa13b96c82a18d1bfacfaad,67a6768c4cf3196aff05ed9cc117ecca6e20eca62186145bc1e543f213a58c64,157864.703125,0.09410753921140788,0.31630309988518945,3.6875754687935114,0.22095786556804956,0.3534268770652346,0.3492551625275758,0.36668668734040566,0.3969704084159582,0.3534268770652347,0.541551415772501,0.45683450125216607,0.2250207159758939,0.3565912883407099,-0.004062850407844348,-0.0031644112754752873,False
A1,B10_MIXTURE,bcc2990e91751c5c942e28fe4233c163e1033f28eb4018294f21536c8dcafef3,NOT_APPLICABLE,10,10,3484,3484,7a65e31e47074141430212884f034ddcf80e16410aa13b96c82a18d1bfacfaad,dba394ef0d3bff6d45eac203e75580314427afeb95fda5b1180a31d684d5cd73,157873.15625,0.09328307230106311,0.32405281285878296,3.6156293153762817,0.22713002429224863,0.36037597514341113,0.35626048160383406,0.3711137214890159,0.4060170833627776,0.36037597514341113,0.5441047867818593,0.4546886079071763,0.2251215542842733,0.3541745999036584,0.002008470007975327,0.006201375239752727,True
