dataset,variant,deterministic_embedding_sha256,endpoint_seed_count,n_init,ari_mean,ari_sd,nmi_mean,nmi_sd,ami_mean,fmi_mean,inertia_mean,centroid_margin_mean,partition_change_rate_mean,consensus_method,consensus_medoid_endpoint_seed,consensus_mean_pairwise_ari,consensus_partition_sha256,consensus_absolute_ari,consensus_absolute_nmi,consensus_ami,consensus_fmi,consensus_homogeneity,consensus_v_measure,consensus_morans_i,consensus_gearys_c,identity_ari_mean,identity_nmi_mean,identity_consensus_ari,identity_consensus_nmi,delta_ari_mean,delta_nmi_mean,consensus_delta_ari,consensus_delta_nmi,paired_endpoint_win_both_rate,semantic_lane
tonsil_s2,P4_ONLY,149d2312c6d2e00fa80ae724cdc881e72ffaee40ad43beafd72017a6dd3f2fb2,10,20,0.1772436733406583,0.0009747438471009981,0.2659092279533606,0.001013765190589525,0.265303917314362,0.45327795715382885,106215.6515625,0.13885669001838696,0.010511175038725373,PAIRWISE_ARI_MEDOID,7,0.9835447930056326,da5aa50df350827a99eef83a050fe83dc476a6af9e24e72625e7e1ddf1df6057,0.17714662742741324,0.26512871154684226,0.26452259847433685,0.45328828095687834,0.2942330099407569,0.26512871154684226,0.7572714407411755,0.24253092829418432,0.16789742055382764,0.2694354291741437,0.15171735129486796,0.267430886702876,0.009346252786830656,-0.0035262012207831206,0.02542927613254528,-0.002302175156033759,0.2,COMMON_HEAD_ROBUSTNESS
tonsil_s2,P18_ONLY,eda40b0326fe9510b3899e2ce754b8cf47de061318f8398b863d7f3799f04940,10,20,0.06158123413927859,0.0002060305876280364,0.1399455358231795,0.00046441135074992273,0.13921855805106018,0.3892635287234071,53135.50390625,0.1863105728849059,0.0019915910599690224,PAIRWISE_ARI_MEDOID,0,0.9936814381588548,11ea85710c9cd4ee1a228f78a19bc78c9ce727a0650b7e4cdf14bc8308078986,0.06131116879676698,0.13944851130703917,0.1387211748640765,0.38907536234647194,0.15107621802753274,0.13944851130703917,0.8488830077962751,0.1506812491127837,0.16789742055382764,0.2694354291741437,0.15171735129486796,0.267430886702876,-0.10631618641454905,-0.1294898933509642,-0.09040618249810098,-0.12798237539583684,0.0,COMMON_HEAD_ROBUSTNESS
tonsil_s2,FIXED_BETA_0.04,94f5e6a8426e6f2745600671c95b13aa6918132183bbdd2d0af5c9c5d3bebe14,10,20,0.19079567913357603,0.0031782029997808113,0.27564077655754043,0.0013205634760657787,0.27505153679383737,0.45692171939262527,235375.4234375,0.10187620652104463,0.005178136755919438,PAIRWISE_ARI_MEDOID,8,0.9880255032653886,4f7a406c48ac3513bd32c403dc36fb5979c714999a8b6291dd4c3507a32fea15,0.1907242910734626,0.27597446911147694,0.27538575801404336,0.4566888640397862,0.3105834839115581,0.27597446911147694,0.691508501949033,0.3080591651825743,0.16789742055382764,0.2694354291741437,0.15171735129486796,0.267430886702876,0.022898258579748393,0.006205347383396731,0.039006939778594624,0.008543582408600925,0.9,COMMON_HEAD_ROBUSTNESS
tonsil_s2,FIXED_BETA_0.16,a44802ac167dc80e35a69bdaba6c8f68735df59fdf4489fc0b64f57b62e04939,10,20,0.18865250685816204,0.00363206277006088,0.274071744861819,0.0018972140995682715,0.27348085380209763,0.4556967351139537,198753.896875,0.11180133903917341,0.007922106660765649,PAIRWISE_ARI_MEDOID,4,0.988624046922791,86452181ea2c84f0488cc620031a6126a6715686281cfcef35ff0df95637bd4f,0.18764688076035024,0.2735184411959675,0.2729272642255765,0.45488180371077724,0.3075793506906512,0.27351844119596747,0.7052422571672348,0.29438703276794914,0.16789742055382764,0.2694354291741437,0.15171735129486796,0.267430886702876,0.020755086304334397,0.0046363156876753076,0.03592952946548228,0.006087554493091507,0.7,COMMON_HEAD_ROBUSTNESS
tonsil_s2,FIXED_BETA_0.32,b380162247382eee0340e1bbf83e8d2717b31777f4bdac9a9a61e0f810e8583f,10,20,0.19786040690925627,0.00284367872666554,0.28124658286485804,0.0010762656212172476,0.28065942544900907,0.4636307410767463,159019.63125,0.12517279310549606,0.00962602345651693,PAIRWISE_ARI_MEDOID,5,0.9806807412267032,f8c5f27b6af7c1635f5ac89c173ce89291db2ec85e699c4437154554b4aba893,0.19605057097698986,0.2807875926285192,0.28020063153552077,0.4619725889501528,0.3148556827826422,0.28078759262851927,0.7206063028571575,0.2793062414362477,0.16789742055382764,0.2694354291741437,0.15171735129486796,0.267430886702876,0.029962986355428628,0.011811153690714338,0.044333219682121894,0.013356705925643197,1.0,COMMON_HEAD_ROBUSTNESS
tonsil_s3,IDENTITY,ffe437b3acc298e073eeac1129f9b28f662632d1f6c059f179a33e1eb77d6dd1,30,20,0.19017663610986532,0.01508534757334841,0.24707311072268412,0.006036507414273728,0.24642510449290408,0.4766470062613134,249195.10729166667,0.10111050206824354,0.032507557325075584,PAIRWISE_ARI_MEDOID,2,0.9444502219591365,9478911eed010b010dbc6f4abf7e8dd35b0aaab2540b41ecdbedb9b4d1f6b8e4,0.19455571126462207,0.2498462993534736,0.24920368856505637,0.4776104494438614,0.2759667764463762,0.24984629935347358,0.7295954025584896,0.27013509504236,0.19017663610986532,0.24707311072268412,0.19455571126462207,0.2498462993534736,0.0,0.0,0.0,0.0,0.0,COMMON_HEAD_ROBUSTNESS
tonsil_s3,B10_MIXTURE,a74e74bf14fade1d450b81ea4fe221e5ae106a01d88af82a7a9f09a19ec53bba,30,20,0.19017663610986532,0.01508534757334841,0.24707311072268412,0.006036507414273728,0.24642510449290408,0.4766470062613134,249195.07760416667,0.10111050784011202,0.032507557325075584,PAIRWISE_ARI_MEDOID,2,0.9444502219591365,9478911eed010b010dbc6f4abf7e8dd35b0aaab2540b41ecdbedb9b4d1f6b8e4,0.19455571126462207,0.2498462993534736,0.24920368856505637,0.4776104494438614,0.2759667764463762,0.24984629935347358,0.7295954025584896,0.27013509504236,0.19017663610986532,0.24707311072268412,0.19455571126462207,0.2498462993534736,0.0,0.0,0.0,0.0,0.0,COMMON_HEAD_ROBUSTNESS
tonsil_s3,P4_ONLY,1f50ccc1991e58f670ae8a7ddfc390caffbc426eb5f2fdacd567a6ed718abb25,10,20,0.12532510288746557,0.0013050752590124065,0.21557230621573642,0.0006534228640546457,0.21489724610016472,0.4343022114459697,132680.75,0.12327864453391242,0.002610042026100423,PAIRWISE_ARI_MEDOID,0,0.9917938025489367,766670d9a9c88af8512c9ee9cba24bbae3ea32c8d7761595c87d1f1d58e68625,0.12627041642536813,0.21607420946398004,0.2153997070528708,0.43479862832174204,0.23762569619864374,0.2160742094639801,0.7744115690530874,0.22535450834672363,0.19017663610986532,0.24707311072268412,0.19455571126462207,0.2498462993534736,-0.06485153322239975,-0.0315008045069477,-0.06828529483925394,-0.03377208988949357,0.0,COMMON_HEAD_ROBUSTNESS
tonsil_s3,P18_ONLY,4d92eaa30181cd696532a15f85769004188bab06bd78e5b9d7484466651bcbbc,10,20,0.04389588944760241,0.006319811368384871,0.09716344192676687,0.004280424215303668,0.09635953389401404,0.4025845203900277,82189.74453125,0.14942877955104455,0.07967263879672637,PAIRWISE_ARI_MEDOID,0,0.8266982577897973,371fc6ca566a9ec02755c9dbe2259ccf9452ab4f3aecbad03cd8f91ca93da914,0.03927016636714444,0.0964569584210986,0.0956591184899163,0.39471528507442566,0.10338728453234931,0.0964569584210986,0.8673449971602761,0.13169924949210596,0.19017663610986532,0.24707311072268412,0.19455571126462207,0.2498462993534736,-0.14628074666226293,-0.14990966879591724,-0.15528554489747762,-0.153389340932375,0.0,COMMON_HEAD_ROBUSTNESS
tonsil_s3,FIXED_BETA_0.04,97bfcf1c1fc055cb0a68e3373d87ff68bbef324b52daec7b467c67fdff514c7a,10,20,0.191138147091786,0.004611603164669451,0.24599885782391592,0.00246072905627029,0.24535154587603053,0.47603302726845087,238895.4421875,0.10302880984630795,0.011568237115682367,PAIRWISE_ARI_MEDOID,0,0.9710844473918108,b861812cdfcc1bf3a824019f13c0dd59f6e822e6ed1ea17d3fc6128dc2e63922,0.1896731705715823,0.24391676470200932,0.2432678988694613,0.47492232238425997,0.26894595766046897,0.24391676470200935,0.7419930392360274,0.2576265095213285,0.19017663610986532,0.24707311072268412,0.19455571126462207,0.2498462993534736,0.0009615109819206824,-0.0010742528987681965,-0.004882540693039755,-0.0059295346514642855,0.3,COMMON_HEAD_ROBUSTNESS
tonsil_s3,FIXED_BETA_0.16,92f1883b099ea125b7a1a079c3b073c6a622769ac44726ba2ff99fc3461cded3,10,20,0.18595177979106833,0.0033029933300498904,0.2448374674563248,0.0025617274478953243,0.2441898030340286,0.4721367731908865,210816.153125,0.10890080012357091,0.014819730148197308,PAIRWISE_ARI_MEDOID,1,0.9757763275274476,73cf45fb44573ae11e9b1b6a4d5ae42f9eb19d35e97f67c6f9f6bb9ffc120449,0.18401421768130288,0.2439899821701868,0.24334140060123044,0.4709693712031324,0.2691168712610664,0.24398998217018683,0.749553151306492,0.25002782446951477,0.19017663610986532,0.24707311072268412,0.19455571126462207,0.2498462993534736,-0.004224856318796988,-0.002235643266359333,-0.010541493583319184,-0.005856317183286802,0.1,COMMON_HEAD_ROBUSTNESS
tonsil_s3,FIXED_BETA_0.32,0d7e6aa1894a4de1f1a91b5aa2f0311b73771494d2db08bf8ebeaba1f4e76a6b,10,20,0.17456977307825566,0.007053899778455864,0.2414234373570586,0.002571400376212008,0.24077280016819075,0.4645669268979543,179958.365625,0.11607668759663443,0.014244636142446365,PAIRWISE_ARI_MEDOID,2,0.9618215196983086,92195573a519a4e418d91c93c9c7ffaa610c9244512478a31e3b96b19e6a638f,0.16883345552711912,0.23971387794205354,0.23906140717482025,0.46092096895088086,0.26431356941446554,0.23971387794205354,0.7549395724467473,0.24477124566679304,0.19017663610986532,0.24707311072268412,0.19455571126462207,0.2498462993534736,-0.015606863031609658,-0.005649673365625524,-0.025722255737502947,-0.010132421411420067,0.1,COMMON_HEAD_ROBUSTNESS
P22,IDENTITY,d5a96f3bb06d0aa0877f4064ebd22ca27902b6bd4cd708cc5e621da7c1d37875,30,20,0.27983933446966064,0.00951159426091123,0.4265603614280826,0.0108206086582565,0.4255273762799835,0.39690073619672106,579397.7854166667,0.09385186820398143,0.09182615629984052,PAIRWISE_ARI_MEDOID,29,0.9125542539076525,6f0008ae216d8be7bf4dc6a397d7e9d39eac4563466f1628117bb7439dba24d0,0.2881037794855611,0.43355422737371613,0.4325272213230038,0.40401698337013403,0.42386504980703915,0.4335542273737161,0.5961075417900196,0.4088878390407041,0.27983933446966064,0.4265603614280826,0.2881037794855611,0.43355422737371613,0.0,0.0,0.0,0.0,0.0,COMMON_HEAD_ROBUSTNESS
