dataset,has_gradient,l2_norm,loss,loss_non_none_numel,loss_rms_gradient,loss_sq_sum,numel,parameter,repeat,rms,seed
a1,False,0.0,L_rna_recon_raw,398400,2.5950559324353774e-05,0.00026829512125192695,1920,decoder2.weight,2,0.0,0
a1,True,7.89463592809625e-05,L_rna_recon_raw,398400,2.5950559324353774e-05,0.00026829512125192695,4096,attention1.w_omega,2,1.2335368559877964e-06,0
a1,True,4.6076300350250676e-05,L_rna_recon_raw,398400,2.5950559324353774e-05,0.00026829512125192695,64,attention1.u_omega,2,5.75953716828027e-06,0
a1,True,0.0010674550430849195,L_rna_recon_raw,398400,2.5950559324353774e-05,0.00026829512125192695,4096,attention2.w_omega,2,1.667898530219598e-05,0
a1,True,0.0005169697687961161,L_rna_recon_raw,398400,2.5950559324353774e-05,0.00026829512125192695,64,attention2.u_omega,2,6.462122176817075e-05,0
a1,True,0.0051041170954704285,L_rna_recon_raw,398400,2.5950559324353774e-05,0.00026829512125192695,4096,cross_attention.w_omega,2,7.975182866353817e-05,0
a1,True,0.0028052362613379955,L_rna_recon_raw,398400,2.5950559324353774e-05,0.00026829512125192695,64,cross_attention.u_omega,2,0.00035065451524692525,0
a1,True,0.6271206140518188,L_mod2_recon_raw,208320,0.0016311391585144357,0.5542593073087704,192000,encoder1.weight,2,0.0014312004425874997,0
a1,False,0.0,L_mod2_recon_raw,208320,0.0016311391585144357,0.5542593073087704,192000,decoder1.weight,2,0.0,0
a1,True,0.2786059081554413,L_mod2_recon_raw,208320,0.0016311391585144357,0.5542593073087704,1920,encoder2.weight,2,0.006358280899670593,0
a1,True,0.23003165423870087,L_mod2_recon_raw,208320,0.0016311391585144357,0.5542593073087704,1920,decoder2.weight,2,0.005249730058710478,0
a1,True,0.004843414295464754,L_mod2_recon_raw,208320,0.0016311391585144357,0.5542593073087704,4096,attention1.w_omega,2,7.567834699591542e-05,0
a1,True,0.0027789543382823467,L_mod2_recon_raw,208320,0.0016311391585144357,0.5542593073087704,64,attention1.u_omega,2,0.00034736927228184924,0
a1,True,0.033253420144319534,L_mod2_recon_raw,208320,0.0016311391585144357,0.5542593073087704,4096,attention2.w_omega,2,0.0005195847188495382,0
a1,True,0.01692577265202999,L_mod2_recon_raw,208320,0.0016311391585144357,0.5542593073087704,64,attention2.u_omega,2,0.0021157216421956618,0
a1,True,0.14899490773677826,L_mod2_recon_raw,208320,0.0016311391585144357,0.5542593073087704,4096,cross_attention.w_omega,2,0.002328045509200261,0
a1,True,0.08258507400751114,L_mod2_recon_raw,208320,0.0016311391585144357,0.5542593073087704,64,cross_attention.u_omega,2,0.010323134859554989,0
a1,True,0.9030893445014954,L_corr1_raw,200000,0.0020379043292705398,0.8306108110519215,192000,encoder1.weight,2,0.002061009920106417,0
a1,False,0.0,L_corr1_raw,200000,0.0020379043292705398,0.8306108110519215,192000,decoder1.weight,2,0.0,0
a1,True,0.07267921417951584,L_corr1_raw,200000,0.0020379043292705398,0.8306108110519215,1920,encoder2.weight,2,0.0016586684911066316,0
a1,True,0.09824121743440628,L_corr1_raw,200000,0.0020379043292705398,0.8306108110519215,1920,decoder2.weight,2,0.002242038844389827,0
a1,True,0.008489076048135757,L_corr1_raw,200000,0.0020379043292705398,0.8306108110519215,4096,attention1.w_omega,2,0.00013264181798413138,0
a1,True,0.005904105957597494,L_corr1_raw,200000,0.0020379043292705398,0.8306108110519215,64,attention1.u_omega,2,0.0007380132387767732,0
a1,False,0.0,L_corr1_raw,200000,0.0020379043292705398,0.8306108110519215,4096,attention2.w_omega,2,0.0,0
a1,False,0.0,L_corr1_raw,200000,0.0020379043292705398,0.8306108110519215,64,attention2.u_omega,2,0.0,0
a1,False,0.0,L_corr1_raw,200000,0.0020379043292705398,0.8306108110519215,4096,cross_attention.w_omega,2,0.0,0
a1,False,0.0,L_corr1_raw,200000,0.0020379043292705398,0.8306108110519215,64,cross_attention.u_omega,2,0.0,0
a1,True,0.19682902097702026,L_corr2_raw,390080,0.0005607258132660735,0.12264639376354383,192000,encoder1.weight,2,0.0004491987063986992,0
a1,True,0.20066608488559723,L_corr2_raw,390080,0.0005607258132660735,0.12264639376354383,192000,decoder1.weight,2,0.0004579555826419681,0
a1,True,0.18612541258335114,L_corr2_raw,390080,0.0005607258132660735,0.12264639376354383,1920,encoder2.weight,2,0.004247711874308827,0
a1,False,0.0,L_corr2_raw,390080,0.0005607258132660735,0.12264639376354383,1920,decoder2.weight,2,0.0,0
a1,False,0.0,L_corr2_raw,390080,0.0005607258132660735,0.12264639376354383,4096,attention1.w_omega,2,0.0,0
a1,False,0.0,L_corr2_raw,390080,0.0005607258132660735,0.12264639376354383,64,attention1.u_omega,2,0.0,0
a1,True,0.08044097572565079,L_corr2_raw,390080,0.0005607258132660735,0.12264639376354383,4096,attention2.w_omega,2,0.0012568902474227022,0
a1,True,0.0502437949180603,L_corr2_raw,390080,0.0005607258132660735,0.12264639376354383,64,attention2.u_omega,2,0.006280474425644532,0
a1,False,0.0,L_corr2_raw,390080,0.0005607258132660735,0.12264639376354383,4096,cross_attention.w_omega,2,0.0,0
a1,False,0.0,L_corr2_raw,390080,0.0005607258132660735,0.12264639376354383,64,cross_attention.u_omega,2,0.0,0
a1,True,0.007478604558855295,L_rna_recon_raw,398400,1.6437212437540597e-05,0.00010764048996238878,192000,encoder1.weight,1,1.706750150550896e-05,1
a1,True,0.006196640431880951,L_rna_recon_raw,398400,1.6437212437540597e-05,0.00010764048996238878,192000,decoder1.weight,1,1.4141832732278065e-05,1
a1,True,0.0022991523146629333,L_rna_recon_raw,398400,1.6437212437540597e-05,0.00010764048996238878,1920,encoder2.weight,1,5.247073344291761e-05,1
a1,False,0.0,L_rna_recon_raw,398400,1.6437212437540597e-05,0.00010764048996238878,1920,decoder2.weight,1,0.0,1
a1,True,5.1979139243485406e-05,L_rna_recon_raw,398400,1.6437212437540597e-05,0.00010764048996238878,4096,attention1.w_omega,1,8.121740407493619e-07,1
a1,True,3.420431676204316e-05,L_rna_recon_raw,398400,1.6437212437540597e-05,0.00010764048996238878,64,attention1.u_omega,1,4.275539470308593e-06,1
a1,True,0.0002142061130143702,L_rna_recon_raw,398400,1.6437212437540597e-05,0.00010764048996238878,4096,attention2.w_omega,1,3.346970579593213e-06,1
a1,True,0.00015140871983021498,L_rna_recon_raw,398400,1.6437212437540597e-05,0.00010764048996238878,64,attention2.u_omega,1,1.8926090538375535e-05,1
a1,True,0.002494094893336296,L_rna_recon_raw,398400,1.6437212437540597e-05,0.00010764048996238878,4096,cross_attention.w_omega,1,3.8970232791681176e-05,1
a1,True,0.001316555542871356,L_rna_recon_raw,398400,1.6437212437540597e-05,0.00010764048996238878,64,cross_attention.u_omega,1,0.00016456945035752483,1
a1,True,0.7795119285583496,L_mod2_recon_raw,208320,0.0018315960155730743,0.6988602626353018,192000,encoder1.weight,1,0.0017789844001554968,1
a1,False,0.0,L_mod2_recon_raw,208320,0.0018315960155730743,0.6988602626353018,192000,decoder1.weight,1,0.0,1
a1,True,0.178541898727417,L_mod2_recon_raw,208320,0.0018315960155730743,0.6988602626353018,1920,encoder2.weight,1,0.004074643156596994,1
a1,True,0.18867458403110504,L_mod2_recon_raw,208320,0.0018315960155730743,0.6988602626353018,1920,decoder2.weight,1,0.004305888534019961,1
a1,True,0.0029635948594659567,L_mod2_recon_raw,208320,0.0018315960155730743,0.6988602626353018,4096,attention1.w_omega,1,4.630616864334732e-05,1
a1,True,0.0019158204086124897,L_mod2_recon_raw,208320,0.0018315960155730743,0.6988602626353018,64,attention1.u_omega,1,0.00023947754156906337,1
a1,True,0.013617748394608498,L_mod2_recon_raw,208320,0.0018315960155730743,0.6988602626353018,4096,attention2.w_omega,1,0.0002127773116572701,1
a1,True,0.00936998799443245,L_mod2_recon_raw,208320,0.0018315960155730743,0.6988602626353018,64,attention2.u_omega,1,0.0011712484971939908,1
a1,True,0.1333514302968979,L_mod2_recon_raw,208320,0.0018315960155730743,0.6988602626353018,4096,cross_attention.w_omega,1,0.0020836161474433144,1
a1,True,0.07535140961408615,L_mod2_recon_raw,208320,0.0018315960155730743,0.6988602626353018,64,cross_attention.u_omega,1,0.009418926425534184,1
a1,True,0.7156263589859009,L_corr1_raw,200000,0.0016102288201339295,0.5185673706379813,192000,encoder1.weight,1,0.001633186252110446,1
a1,False,0.0,L_corr1_raw,200000,0.0016102288201339295,0.5185673706379813,192000,decoder1.weight,1,0.0,1
a1,True,0.042698998004198074,L_corr1_raw,200000,0.0016102288201339295,0.5185673706379813,1920,encoder2.weight,1,0.0009744668351134602,1
