result_role,formal_id,dataset,cluster_k,control_id,run_count,ari_best,ari_median,ari_mean,ari_min,nmi_best,nmi_median,nmi_mean,nmi_min,ami_mean,fmi_mean,morans_i_mean,gearys_c_mean,wall_seconds,peak_rss_mib,gpu_seconds,peak_gpu_mib,candidate_id,endpoint_role,source_view,filter_id,pca_dimension,coordinate_basis,coordinate_weight,algorithm,refinement_id,backbone_seed_count,endpoint_seed_count,endpoint_wall_seconds,training_wall_seconds,training_resource_reused_across_k
UNSEEN_BACKBONE_SEEDS_3_TO_7,,P22,9,,50,0.4934436168781548,0.4150964746801493,0.4159231114011683,0.3565921318715373,0.6270579448260103,0.5942133623117763,0.5943710022032069,0.565171974175197,0.5936831252916394,0.49951895968801524,0.9444063714882169,0.05631422488764319,1922.8305676430464,951.20703125,1835.4368125,1137.509765625,R10_FIXED_MULTISCALE,BASE_RANDOM_START,mcdf,LOW_K12_B80_S2,16.0,POLY2,1.2,GMM_DIAG,NONE,5.0,10.0,24.001062443479896,1898.8295051995665,True
UNSEEN_BACKBONE_SEEDS_3_TO_7,,P22,9,,5,0.4487196411340914,0.4209218308879196,0.42526506387019014,0.4126894131895905,0.6156115980218065,0.5940687794159577,0.6011094164409262,0.5896270504680948,0.6004330912922621,0.507615570548385,0.9444334259624491,0.05640916204154208,1898.8295051995665,951.20703125,1835.4368125,1137.509765625,R10_FIXED_MULTISCALE,LABEL_FREE_PARTITION_MEDOID,mcdf,LOW_K12_B80_S2,16.0,POLY2,1.2,GMM_DIAG,NONE,5.0,1.0,0.0,1898.8295051995665,True
UNSEEN_BACKBONE_SEEDS_3_TO_7,,P22,9,,50,0.4938950640639149,0.4486950515625448,0.45458694594757904,0.423657763564311,0.632587867729685,0.6002036167775747,0.6080848737320642,0.5843060291411079,0.607405043092745,0.536376728650625,0.9101432565932942,0.09261874066375805,685.3856525253505,960.80078125,652.07622265625,1591.2900390625,R21_MCDF_STRONG_CONTRIBUTION,BASE_RANDOM_START,mcdf,LOW_K12_B80_S2,16.0,NONE,0.0,KMEANS,NONE,5.0,10.0,28.91972714662552,656.4659253787249,True
UNSEEN_BACKBONE_SEEDS_3_TO_7,,P22,9,,5,0.4934630051396303,0.4485605504868092,0.45380393418402454,0.4237140670832819,0.6323337677859696,0.600192920421394,0.6077142108439695,0.5847659880935404,0.6070336485107662,0.5357479044526128,0.9102828699549042,0.09248775349891888,656.4659253787249,960.80078125,652.07622265625,1591.2900390625,R21_MCDF_STRONG_CONTRIBUTION,LABEL_FREE_PARTITION_MEDOID,mcdf,LOW_K12_B80_S2,16.0,NONE,0.0,KMEANS,NONE,5.0,1.0,0.0,656.4659253787249,True
UNSEEN_BACKBONE_SEEDS_3_TO_7,,P22,9,,50,0.4742389499302616,0.4254911525533774,0.4311612178752279,0.3822362195034188,0.6174456103141679,0.58804808889633,0.5902443051777994,0.5678586605598919,0.5895308267656091,0.5169825160374857,0.9172187223984928,0.08557991199151094,226.46476355567575,1019.42578125,196.203412109375,1541.435546875,R40_MCDF_MASKED_MODALITY,BASE_RANDOM_START,z2,LOW_K12_B80_S2,16.0,LINEAR,0.6,KMEANS,NONE,5.0,10.0,25.33103173226118,201.13373182341456,True
UNSEEN_BACKBONE_SEEDS_3_TO_7,,P22,9,,5,0.472415056154955,0.4239728548976195,0.426400446972598,0.3919538796650273,0.6065419486911847,0.5883303881076908,0.5885785740777649,0.5748517417263249,0.587861151738371,0.5132207581477362,0.9169452007956036,0.08600686894208438,201.13373182341456,1019.42578125,196.203412109375,1541.435546875,R40_MCDF_MASKED_MODALITY,LABEL_FREE_PARTITION_MEDOID,z2,LOW_K12_B80_S2,16.0,LINEAR,0.6,KMEANS,NONE,5.0,1.0,0.0,201.13373182341456,True
DEVELOPMENT_SCREEN_BEST_RUN,,MISAR_E15_5_S1,7,z2,1,0.4468207960110082,0.4468207960110082,0.4468207960110082,0.4468207960110082,0.5709245949080617,0.5709245949080617,0.5709245949080617,0.5709245949080617,0.5686044124316897,0.5573111433861804,0.8762145531644764,0.1240686884634923,0.4824681188911199,,,,R00_XAE_IDENTITY,,,,,,,,,,,,,
DEVELOPMENT_SCREEN_BEST_RUN,,MISAR_E15_5_S1,12,z2,1,0.3783252054071517,0.3783252054071517,0.3783252054071517,0.3783252054071517,0.5996487820301892,0.5996487820301892,0.5996487820301892,0.5996487820301892,0.5961511438102923,0.4970246683633119,0.8833236568810237,0.1172530273694824,0.3985175043344497,,,,R00_XAE_IDENTITY,,,,,,,,,,,,,
DEVELOPMENT_SCREEN_BEST_RUN,,MISAR_E15_5_S1,7,z2,1,0.4587484212043758,0.4587484212043758,0.4587484212043758,0.4587484212043758,0.5647971892232662,0.5647971892232662,0.5647971892232662,0.5647971892232662,0.5624697850730973,0.5656068595291748,0.8890402431738016,0.1109476907399126,0.6881712134927511,,,,R10_FIXED_MULTISCALE,,,,,,,,,,,,,
DEVELOPMENT_SCREEN_BEST_RUN,,MISAR_E15_5_S1,12,z1,1,0.3706347535400138,0.3706347535400138,0.3706347535400138,0.3706347535400138,0.5775598818887877,0.5775598818887877,0.5775598818887877,0.5775598818887877,0.5739072560942519,0.4905192027298525,0.894547447347661,0.1032415956469511,0.6201303843408823,,,,R10_FIXED_MULTISCALE,,,,,,,,,,,,,
