mode,partition_sha256,absolute_ari,absolute_nmi,ami,fmi,morans_i,gearys_c,dataset,lane,candidate_id,mechanism_family,config_sha256,training_seed,endpoint_seed,head,k,total_observations,evaluated_observations,delta_ari_vs_retained,delta_nmi_vs_retained,status,wall_seconds,peak_gpu_mib,peak_rss_mib,experiment_phase
SAPR_RESIDUAL_DISABLED,011ed16ca7185352235d8b3692d6c90b7a621ef32b708a2d41748a17c9b53b51,0.2270417615626361,0.3801924622265637,0.3762381340241039,0.3700658647386311,0.4856191951740669,0.5139885628967227,A1,A1,S12_STABILITY_TRUST_WEAK,STABILITY_TRUST,2b28ec93cd2c90c455398ad297ef81150878a6589315741b6b94c6e2c7d02513,0,0,GMM_TIED+REFINE_T0.90_S1,10,3484,3484,-0.0118993913915518,-0.0126709780503229,PASS,0.825176602229476,41.298828125,922.44140625,SCREEN
RETAINED_TEACHER,fbf21dccbcc67855181353238b59953ff541b726bf30071dc89554854273d1a9,0.1607414481055021,0.2909157780169758,0.2902764283261132,0.4628878767302947,0.6797173099658796,0.3200961126889805,tonsil_s1,tonsil_s1,S12_STABILITY_TRUST_WEAK,STABILITY_TRUST,2b28ec93cd2c90c455398ad297ef81150878a6589315741b6b94c6e2c7d02513,0,0,GMM_TIED,4,4326,4326,0.0,0.0,PASS,0.8485202081501484,46.55224609375,923.4921875,SCREEN
SAPR_FULL,ebb9ede8c60f7f6e55aad75f9c4394948eef92d3e9e7e5f16a1054848272cfb1,0.1623915133027694,0.2870092420430543,0.2863559466304997,0.4686308677137529,0.6789631644964844,0.3204801743525546,tonsil_s1,tonsil_s1,S12_STABILITY_TRUST_WEAK,STABILITY_TRUST,2b28ec93cd2c90c455398ad297ef81150878a6589315741b6b94c6e2c7d02513,0,0,GMM_TIED,4,4326,4326,0.0016500651972673,-0.0039065359739214,PASS,0.8485202081501484,46.55224609375,923.4921875,SCREEN
SAPR_RESIDUAL_DISABLED,661fe41acd1dd5f2c7f91bb6a569d49bf16658f1feffb5b00d5b73ade777865c,0.1554327097428001,0.2784866713627202,0.2778617747207279,0.4430787328022971,0.6622539767985296,0.3377286269149117,tonsil_s1,tonsil_s1,S12_STABILITY_TRUST_WEAK,STABILITY_TRUST,2b28ec93cd2c90c455398ad297ef81150878a6589315741b6b94c6e2c7d02513,0,0,GMM_TIED,4,4326,4326,-0.0053087383627019,-0.0124291066542555,PASS,0.8485202081501484,46.55224609375,923.4921875,SCREEN
RETAINED_TEACHER,ae3066fa154362eec0efeccedfa2790637233655c49a0018b29c865077fe4667,0.4107535716930893,0.6064179094949806,0.6057539990652927,0.4944280545021607,0.8997778442278445,0.1001896341368456,P22,P22,S12_STABILITY_TRUST_WEAK,STABILITY_TRUST,2b28ec93cd2c90c455398ad297ef81150878a6589315741b6b94c6e2c7d02513,0,0,GMM_DIAG+REFINE_T0.50_S2,9,9196,9196,0.0,0.0,PASS,0.7990059573203325,83.58642578125,925.75,SCREEN
SAPR_FULL,5064c74be38015284ef465d4fe362a28afa4fbccda602be5962f1322efe4992c,0.4351565643977611,0.624954915616715,0.6243229229543577,0.5155490996825919,0.9167526828314272,0.0832610965450045,P22,P22,S12_STABILITY_TRUST_WEAK,STABILITY_TRUST,2b28ec93cd2c90c455398ad297ef81150878a6589315741b6b94c6e2c7d02513,0,0,GMM_DIAG+REFINE_T0.50_S2,9,9196,9196,0.0244029927046718,0.0185370061217343,PASS,0.7990059573203325,83.58642578125,925.75,SCREEN
SAPR_RESIDUAL_DISABLED,f4ff6f89d9c9dd203c991c15626251cbe298e3f4a0e0bc5b9005a7a4c218fff2,0.4595996513183413,0.614773350475869,0.6141162000399769,0.5386858068878192,0.9069510339818804,0.093020485061307,P22,P22,S12_STABILITY_TRUST_WEAK,STABILITY_TRUST,2b28ec93cd2c90c455398ad297ef81150878a6589315741b6b94c6e2c7d02513,0,0,GMM_DIAG+REFINE_T0.50_S2,9,9196,9196,0.048846079625252,0.0083554409808883,PASS,0.7990059573203325,83.58642578125,925.75,SCREEN
RETAINED_TEACHER,f0e5245b581ecebb6fc50707f93ea024df435dab939a0688bf5d960bc44e2aca,0.3514171699802645,0.5366722568151729,0.534236822998133,0.4758400027867638,0.9214136163000596,0.0784680222496969,MISAR_E15_5_S1,MISAR_E15_5_S1,S12_STABILITY_TRUST_WEAK,STABILITY_TRUST,2b28ec93cd2c90c455398ad297ef81150878a6589315741b6b94c6e2c7d02513,0,0,GMM_TIED+REFINE_T0.50_S1,7,1949,1949,0.0,0.0,PASS,0.7940976433455944,30.62744140625,925.75,SCREEN
SAPR_FULL,494f35cda3de5d43bf3add7f736bd034798999ff3c39c2ce11021318cc518d60,0.4094986430439861,0.5612529001243929,0.5588777460176118,0.5292164395435447,0.8923417837282177,0.1075451939168685,MISAR_E15_5_S1,MISAR_E15_5_S1,S12_STABILITY_TRUST_WEAK,STABILITY_TRUST,2b28ec93cd2c90c455398ad297ef81150878a6589315741b6b94c6e2c7d02513,0,0,GMM_TIED+REFINE_T0.50_S1,7,1949,1949,0.0580814730637215,0.0245806433092199,PASS,0.7940976433455944,30.62744140625,925.75,SCREEN
SAPR_RESIDUAL_DISABLED,f709886e6f53d93062034e6ebdf3e24f53e2a6cbcf3074cf5eb2e6103b248d06,0.3843360500019001,0.5547259118957025,0.5523061428238432,0.5091951807005609,0.9124528083512292,0.0884153294362934,MISAR_E15_5_S1,MISAR_E15_5_S1,S12_STABILITY_TRUST_WEAK,STABILITY_TRUST,2b28ec93cd2c90c455398ad297ef81150878a6589315741b6b94c6e2c7d02513,0,0,GMM_TIED+REFINE_T0.50_S1,7,1949,1949,0.0329188800216355,0.0180536550805295,PASS,0.7940976433455944,30.62744140625,925.75,SCREEN
