ari,boundary_disagreement,candidate_id,effective_end_to_end_runtime_seconds,gpu_peak_allocated_mib,manifest_sha256,nmi,q,seed,spatial_cluster_geary_mean,spatial_cluster_moran_mean,spatial_neighbor_agreement
0.3946053355316183,0.206216229026448,C09_RNA_ANCHOR10,38.05735516641289,1303.6201171875,333b555e8ad7f5c416916567062da385ad8c1eee74f1fd2e2f823aa3fcc795d9,0.5264915004410688,0.4605484179863436,4,0.2714140664035092,0.7374163179545289,0.8015713353632014
0.39134459420238105,0.21507962840079628,C09_RNA_ANCHOR10,38.02421621326357,1303.95849609375,745bdf7135c8548e09dc1c5974b4d1da8a0bac68b6f5dc21cb7b811770ad6c52,0.5187656760515322,0.4550551351269566,5,0.28248052251395167,0.7255743851706341,0.7923825576337538
0.39010078936666653,0.2075433690397194,C09_RNA_ANCHOR10,38.16289633885026,1303.107421875,d5ea74ddc8d8355f00dbc2be67603f2081218cd2f310f9557db2bf08b752dbc7,0.5229216848114027,0.4565112370890346,6,0.26763203055755985,0.7396407309039328,0.7997227055241409
0.4061903436410233,0.19270783960564983,C09_RNA_ANCHOR10,35.81573220342398,1302.59033203125,1e2051385789f0bff18cacbe5e96b2ce4a74bbd61c4b5a3f140a028eff8a7389,0.5360240109351432,0.47110717728808327,7,0.2484037866847345,0.759511113256635,0.814280665506742
0.4277905345902831,0.18735188169494738,C09_RNA_ANCHOR10,38.1647933665663,1302.794921875,5f644c73f838378c19eb75edc9188a75a3eb18d231dc7b0f6899addde220d6ce,0.5557928409168775,0.4917916877535803,8,0.24874473302301325,0.7580963458470715,0.8195343083949543
0.3880358675654614,0.207519670110911,C09_RNA_ANCHOR10,37.90482858475298,1304.37841796875,ca33fdc29a0bf3c264a19472684226fa43993b25ce9b03eb4a93ff1acdb25066,0.5254627864574866,0.45674932701147397,9,0.26412903228606033,0.7445963794768006,0.7998518377555459
0.39816365360397943,0.19597829178121148,B17_C09_DIFFUSE10,37.781448303721845,1304.48779296875,ba2a8eb1c09ba06516e7401dc7d132e0a3cebebaa079079df2690618435b6d38,0.5327195719943818,0.4654416127991806,0,0.2494180652628664,0.7589139402051734,0.8115960743801653
0.39911133201204346,0.20349085221347996,B17_C09_DIFFUSE10,37.78846477530897,1303.384765625,e15fc27b423afcd05ae9d4f90d3aa7c299deb297f2e93f3258b948b4adacfe16,0.5327374268389911,0.46592437942551723,1,0.26139995541546157,0.7461257023513265,0.8038073618964767
0.3974818253845824,0.202246658451038,B17_C09_DIFFUSE10,37.910811392590404,1304.1552734375,42dbe734931a5f8b1066d7dd6251dbe518700e8847d55b2c2b73a2bbbd2426de,0.529011027293157,0.4632464263388697,2,0.26429232657022966,0.7440629641585244,0.8052889843410178
0.40679199788479214,0.1970447435775903,B17_C09_DIFFUSE10,37.89552391599864,1302.14501953125,b7b9a87cd091ca71c7c560a4b72198b526bba771ed14675485d2ab2cb5357073,0.5402610844496821,0.47352654116723714,3,0.2554947978686433,0.7523339402065977,0.8103863092648977
0.4172633436114828,0.17854772964262014,B17_C09_DIFFUSE10,38.05735516641289,1303.6201171875,6ca322995e112408987d0fdc2e5f02a9edbd571e00b330c7b9441ccaa121cc25,0.5479804152660028,0.4826218794387428,4,0.23364365497394848,0.7747673738607072,0.829015332753371
0.40009831240691257,0.1991776471703479,B17_C09_DIFFUSE10,38.02421621326357,1303.95849609375,0cde645a530543c086a811391fe567a035b75f82cde4d62a1f35acbdecf54e1d,0.5300404760215183,0.46506939421421545,5,0.25743177434026004,0.7504274788595873,0.8084493257938234
0.3974448592207942,0.1941534742629633,B17_C09_DIFFUSE10,38.16289633885026,1303.107421875,6270be7bde6aa6de52b99ceee1ec88269356609649c718e8210ad228f0968c00,0.532565384831003,0.4650051220258986,6,0.2478854481578042,0.7597318281278207,0.8129349717268377
0.34769763306142015,0.20480614276234715,B17_C09_DIFFUSE10,35.81573220342398,1302.59033203125,7167bcb899ae6652c05c30725f8a6d7c160e31a9f7a0108366719107a32d0ca1,0.49227454072893706,0.4199860868951786,7,0.28025695619440477,0.7296060711097835,0.8029849934754241
0.4070057614768259,0.19889326002464688,B17_C09_DIFFUSE10,38.1647933665663,1302.794921875,0e8b326615429b62520739161e503f3ffe041cad44eebbc5d53bf13fbc8a7085,0.5405607852794263,0.4737832733781261,8,0.2574605942428552,0.7502462362929706,0.8086668116572423
0.42945463205546786,0.17586975068726893,B17_C09_DIFFUSE10,37.90482858475298,1304.37841796875,794111fbe1d1e3152d315b239d2100203197afc012ded0deef807689577c71aa,0.5615705428407952,0.49551258744813154,9,0.2340970183226902,0.7725952478632968,0.8308231839930404
