lane,candidate_id,config_id,arm,endpoint_seed,ari,nmi,ami,fmi,neighbor_agreement,moran_macro_ovr,geary_macro_ovr,min_cluster_size,cluster_sizes,min_internal_spatial_edges,internal_spatial_edges,partition_sha256,evaluator_label_reads,operator_nnz,candidate_wall_seconds,producer_total_wall_seconds,producer_peak_rss_mib,gpu_seconds
MISAR_K7,S02_MESOSCALE__SPATIAL_ONLY_DIFFUSION__E0,S02_MESOSCALE,SPATIAL_ONLY_DIFFUSION,0,0.24229993036204253,0.395932894007722,0.3928072851675492,0.38126550543490784,0.9557617796350237,0.9488694751650867,0.05118694686603099,233,"[277,233,303,320,253,252,311]",461,"[537,461,587,642,503,536,592]",e612694b9b75c0d8012cac7aee39b142d1479de7428a1439287fb399f8268f4e,1,15615,0.15723252296447754,5.6781792640686035,144.97265625,0.0
MISAR_K7,S02_MESOSCALE__CONCATENATED_FEATURE_KNN__E0,S02_MESOSCALE,CONCATENATED_FEATURE_KNN,0,0.0052519678498199615,0.2618133794773751,0.2567213103039393,0.33627702468212617,0.8165124131211823,0.6366553896079188,0.36579762937370014,45,"[116,1369,103,59,133,45,124]",61,"[155,2540,136,93,152,61,167]",15cbf124df039208083013b9b9be088729475a14a57ca68b476de7592661b6c0,1,27661,0.12080240249633789,5.6781792640686035,144.97265625,0.0
MISAR_K7,S02_MESOSCALE__SIMPLE_OPERATOR_AVERAGE__E0,S02_MESOSCALE,SIMPLE_OPERATOR_AVERAGE,0,0.28314390914904947,0.4468766497327224,0.44393129616952925,0.42238603051950663,0.8318059166805325,0.7925190321746987,0.20770373866919728,122,"[388,424,122,413,151,256,195]",197,"[655,735,197,767,242,441,324]",f8f52611aaebbacea20c4e1f5eedd1fc42f4343a67c6021bc9fb0c0a8418424f,1,49845,0.1393282413482666,5.6781792640686035,144.97265625,0.0
MISAR_K7,S02_MESOSCALE__CLASSICAL_ALTERNATING_RA__E0,S02_MESOSCALE,CLASSICAL_ALTERNATING_RA,0,0.10373399857892578,0.2972978018926924,0.29304096659039774,0.34207863120074916,0.7068236457729834,0.617909612788741,0.3827000758860706,61,"[1009,81,95,168,61,344,191]",89,"[1631,117,131,261,89,417,213]",42fc060c6d356e8c9d4ae7f9be573e62ec6451a1838ae9af1d4b312294d06269,1,54516,0.28723740577697754,5.6781792640686035,144.97265625,0.0
MISAR_K7,S02_MESOSCALE__SPATIALLY_ANCHORED_ALTERNATING__E0,S02_MESOSCALE,SPATIALLY_ANCHORED_ALTERNATING,0,0.19566179692655822,0.3060203292186704,0.30221430183388187,0.36354763684777663,0.637934594558835,0.5287405220147389,0.4716503430286865,110,"[527,148,206,576,242,140,110]",109,"[805,161,231,784,301,181,109]",b79e95175a22519ec21a871157ec52fe445b13c63f173dc203e081ad7ca0c9fc,1,59669,0.4052295684814453,5.6781792640686035,144.97265625,0.0
MISAR_K7,S02_MESOSCALE__CSAD_FULL__E0,S02_MESOSCALE,CSAD_FULL,0,0.20434311054397256,0.297282758622188,0.29353245529039756,0.3599452761612451,0.6343592066989157,0.5520409377400463,0.4471099103282808,128,"[435,211,179,292,504,128,200]",157,"[616,270,191,356,712,157,255]",227e3ce54c9d2957e04b40b6a53be35f1e8aa32c501548429919a91bad1e17ab,1,60877,0.4374997615814209,5.6781792640686035,144.97265625,0.0
MISAR_K7,S02_MESOSCALE__CSAD_CONFLICT_DISABLED__E0,S02_MESOSCALE,CSAD_CONFLICT_DISABLED,0,0.19880965528637398,0.3158639066311225,0.3120908123266862,0.3668865917644347,0.6638342301038236,0.5695034906877071,0.43150040198298445,107,"[511,580,107,153,308,183,107]",114,"[722,886,144,182,388,241,114]",5ca37437d7052f7af4de32f96f2d66eb80b280620885182c0355ccb0ad6e5194,1,59152,0.42160892486572266,5.6781792640686035,144.97265625,0.0
MISAR_K7,S02_MESOSCALE__CSAD_MODALITY_EDGE_PERMUTED__E0,S02_MESOSCALE,CSAD_MODALITY_EDGE_PERMUTED,0,-0.0006381871044738306,0.005871690818848749,0.0007234568846213723,0.17679427600951034,0.1622506713249283,0.020001728672945623,0.9794934433910506,228,"[258,363,276,286,228,267,271]",52,"[92,137,98,97,52,86,93]",24776e63552af7b7d26295b23443a1c383f5fe7ac9220c50c0241d76bc81d58d,1,58109,0.6834530830383301,5.6781792640686035,144.97265625,0.0
HUMAN_HIPPOCAMPUS_K7,S01_LOCAL__RNA_ONLY_DIFFUSION__E0,S01_LOCAL,RNA_ONLY_DIFFUSION,0,0.10710475154821057,0.15574771904184284,0.15179034665891775,0.3449010849462174,0.48157783529620063,0.2651157068328128,0.7343912766033576,61,"[276,1292,107,143,61,534,87]",27,"[173,1655,27,162,30,301,97]",c4ea24bc9060357a62fa0c882302d00c06f6de1247d8db2ae876a5aa7766607f,1,24458,0.14433598518371582,7.754245758056641,178.25390625,0.0
HUMAN_HIPPOCAMPUS_K7,S01_LOCAL__ATAC_ONLY_DIFFUSION__E0,S01_LOCAL,ATAC_ONLY_DIFFUSION,0,0.07922013687194292,0.10853761459425677,0.10376185971474983,0.3973758948817005,0.6310057037163509,0.1811839389894882,0.8163622204758736,36,"[114,1810,36,110,123,87,220]",3,"[94,2912,3,28,55,66,57]",43158c86cc41d49d2d46f14510520bf71f130157e2cbae2f6371721034f62a70,1,21062,0.1570584774017334,7.754245758056641,178.25390625,0.0
HUMAN_HIPPOCAMPUS_K7,S01_LOCAL__SPATIAL_ONLY_DIFFUSION__E0,S01_LOCAL,SPATIAL_ONLY_DIFFUSION,0,0.23834954453906307,0.3987692960497693,0.39637551407467947,0.37625014576001903,0.9635617304421651,0.9571285038232942,0.04246989618078826,225,"[446,436,225,318,324,309,442]",449,"[889,828,449,621,633,617,880]",9b98f130ac8606692ad75ce749395b33a14b3dbc647e939826816f3dd1fda9ae,1,12700,0.16028547286987305,7.754245758056641,178.25390625,0.0
