lane,candidate_id,arm,operator_nnz,operator_sha256,finite,nonnegative,symmetry_max_abs,reliability_min_median_max,reliability_unique_count,dense_n_by_n_count
HUMAN_HIPPOCAMPUS_K7,S01_LOCAL__SPATIAL_ONLY_DIFFUSION__E0,SPATIAL_ONLY_DIFFUSION,12700,5b575613c1ce78759e59ab2da7bcd382b08ab2cd433aa46e526ba6cb9e2ea38c,True,True,0.0,"[0.02047446673283525,0.0319479536873942,0.4500265963226373]",2500,0
HUMAN_HIPPOCAMPUS_K7,S01_LOCAL__CONCATENATED_FEATURE_KNN__E0,CONCATENATED_FEATURE_KNN,21452,d3cda99e3169ed361459f723c9ed9ce5d8866819564c9f1a095d23865d743f3c,True,True,0.0,"[0.02047446673283525,0.0319479536873942,0.4500265963226373]",2500,0
HUMAN_HIPPOCAMPUS_K7,S01_LOCAL__SIMPLE_OPERATOR_AVERAGE__E0,SIMPLE_OPERATOR_AVERAGE,42828,0db3e822e77aab5d6cbc9ffa444aa5801f1cb2015a832553778a4c90eb20518b,True,True,0.0,"[0.02047446673283525,0.0319479536873942,0.4500265963226373]",2500,0
HUMAN_HIPPOCAMPUS_K7,S01_LOCAL__CLASSICAL_ALTERNATING_RA__E0,CLASSICAL_ALTERNATING_RA,48213,0943a4db4e15a7b705ff1340d3bc2e725e0683eb778e4a4ddee93ba010f90f2f,True,True,0.0,"[0.02047446673283525,0.0319479536873942,0.4500265963226373]",2500,0
HUMAN_HIPPOCAMPUS_K7,S01_LOCAL__SPATIALLY_ANCHORED_ALTERNATING__E0,SPATIALLY_ANCHORED_ALTERNATING,51923,ea421c37d857e5decfcc72d23acc56f00da119995071ee8d75ec63b7c25d44a3,True,True,0.0,"[0.02047446673283525,0.0319479536873942,0.4500265963226373]",2500,0
HUMAN_HIPPOCAMPUS_K7,S01_LOCAL__CSAD_FULL__E0,CSAD_FULL,50124,9e294915a33da3e954823fb50fa59f8d5fc83bf6b994d1e547a0ac96b79057b0,True,True,0.0,"[0.02047446673283525,0.0319479536873942,0.4500265963226373]",2500,0
HUMAN_HIPPOCAMPUS_K7,S01_LOCAL__CSAD_CONFLICT_DISABLED__E0,CSAD_CONFLICT_DISABLED,50410,72ae97a654cdc5787c0f7d2e7d09b5161a8cc22d828db360c12e0f17a8ace8b8,True,True,0.0,"[0.02047446673283525,0.0319479536873942,0.4500265963226373]",2500,0
HUMAN_HIPPOCAMPUS_K7,S01_LOCAL__CSAD_MODALITY_EDGE_PERMUTED__E0,CSAD_MODALITY_EDGE_PERMUTED,50468,beeee53457aa6f1a4e47beb3f917236c9ddd3ffced3aa3ca11a757293b386d63,True,True,0.0,"[0.02047446673283525,0.0319479536873942,0.4500265963226373]",2500,0
HUMAN_HIPPOCAMPUS_K7,S02_MESOSCALE__RNA_ONLY_DIFFUSION__E0,RNA_ONLY_DIFFUSION,41494,022563d0c3be32d32973c07558894405be4c8727fe2c9ed209aee745277fac4c,True,True,0.0,"[0.009918997415873886,0.016087007003723175,0.45996523478316004]",2500,0
HUMAN_HIPPOCAMPUS_K7,S02_MESOSCALE__ATAC_ONLY_DIFFUSION__E0,ATAC_ONLY_DIFFUSION,35248,42e00be981f9d4c23142998a093f19c546a1e0edadd16be71db365e778f070fb,True,True,0.0,"[0.009918997415873886,0.016087007003723175,0.45996523478316004]",2500,0
