Index,lane,ablation,absolute_ari,absolute_nmi,ami,fmi,morans_i,gearys_c,min_cluster_size,partition_sha256,delta_ari_vs_full,delta_nmi_vs_full
22,P22,REGISTERED_SCALE_ONLY,0.441401672120496,0.5754833232087485,0.5747430430809276,0.5261942820486348,0.8557005135718949,0.1467662445089656,159,4cd09bd07831dfeb530b8e4a6b35ba49e81b0aa1410028c28be0e5bccc51ea7b,-0.00037793675389957704,-0.00010846757978233423
23,P22,FIXED_EQUAL_MODALITY_WEIGHTS,0.4415469107008815,0.5753478662941273,0.5746073957221298,0.5263012949095753,0.8560789875805539,0.1463954829075001,159,cc934d8f0f89f7db8f5d0b56c0e744ce38144f2ca22f1d22892c0bc264a8bd6a,-0.00023269817351412314,-0.0002439244944035801
24,P22_3DOT_K18,FULL,0.3606051987188641,0.5451496075555058,0.5421590150427601,0.4277538689747129,0.4406086320193954,0.5659679931127721,39,2abe17cc9c6b1595c216aa0779510cc94ad1ab1080d5813ee4e71bfa1f829b05,0.0,0.0
25,P22_3DOT_K18,NO_SELF_RETURN,0.119659605613832,0.3885814221253107,0.3838479664594488,0.3788883164498353,0.484662764891074,0.523482896069866,1,f2d0e866f0fe0c71500e96f784de7263da2e9eac6f568c1364a6542704c39cfb,-0.2409455931050321,-0.15656818543019507
26,P22_3DOT_K18,REGISTERED_SCALE_ONLY,0.3636664775552328,0.5481669799101961,0.5451966509275291,0.4305091400725324,0.4535988902194326,0.5527656629610748,39,7e19464bebc88bbc5fa5affba0c206f8431b74c31b2c0dcaab45f37c1eda8dd8,0.003061278836368697,0.003017372354690351
27,P22_3DOT_K18,FIXED_EQUAL_MODALITY_WEIGHTS,0.3603514728994416,0.543894747195638,0.5408945382440522,0.4276495676807463,0.4400029758282585,0.5664923669831371,39,fbc6041d39ee401292cbf2fd16658f4a0903baf73323036b16b47a7b4ba06c60,-0.00025372581942251227,-0.001254860359867771
28,tonsil_s1,FULL,0.101531590938211,0.2302636207137904,0.2295727085213369,0.4237162944490926,0.6979420530824986,0.3001237256068186,356,36b67ac8cefb99374b9a167c02d0f495d34a96fb7883820a04a13f4ed2b78778,0.0,0.0
29,tonsil_s1,NO_SELF_RETURN,0.0892184493850085,0.21798316693058,0.2172832068683879,0.4144172833801636,0.7816029977839116,0.2173218557123623,376,fe8f4a541f0ba0e81ba9d68a1fc2e684f9877d94922888e4deec5dd5d345049c,-0.012313141553202497,-0.012280453783210382
30,tonsil_s1,REGISTERED_SCALE_ONLY,0.101531590938211,0.2302636207137904,0.2295727085213369,0.4237162944490926,0.6979420530824986,0.3001237256068186,356,36b67ac8cefb99374b9a167c02d0f495d34a96fb7883820a04a13f4ed2b78778,0.0,0.0
31,tonsil_s1,FIXED_EQUAL_MODALITY_WEIGHTS,0.101531590938211,0.2302636207137904,0.2295727085213369,0.4237162944490926,0.6979420530824986,0.3001237256068186,356,36b67ac8cefb99374b9a167c02d0f495d34a96fb7883820a04a13f4ed2b78778,0.0,0.0
32,tonsil_s2,FULL,0.1471085765369763,0.2277186689476447,0.2270791965611276,0.4367908683148743,0.6526590772797911,0.3464164816745505,723,e864d334eafe4d976a40343d352a7ff60f53edd0790ff0c772b93b97cc836d1c,0.0,0.0
33,tonsil_s2,NO_SELF_RETURN,0.1345700163176256,0.210867119094682,0.2102144358934337,0.4275539275706586,0.7746337560289046,0.225466301977551,743,ec80dd32584b0b0a219c0067e39d718d5d046fa86dcc7a61fc21e51f8ff0a3f4,-0.01253856021935068,-0.016851549852962694
34,tonsil_s2,REGISTERED_SCALE_ONLY,0.1473594709075283,0.2279790810447461,0.2273397729747213,0.437006020003897,0.6531265586087976,0.3459453441548665,722,2dbb0a755060bbb80a391483962fc37f56592da3019e431521e2c224eda140cc,0.00025089437055200725,0.0002604120971013979
35,tonsil_s2,FIXED_EQUAL_MODALITY_WEIGHTS,0.1471012668179228,0.22772922496485,0.2270897770731751,0.4367677317600218,0.6522930435631633,0.3467750417400742,723,9578faeb66d9871627c7cc32ded56bbaacd3aaf1d50b60d5eb29d89c71333abb,-7.309719053494312e-06,1.0556017205315404e-05
36,tonsil_s3,FULL,0.0680940094536045,0.1786575475884353,0.1778400444201391,0.4777074093498436,0.7138320233657469,0.293688049821495,138,21d351e5252d4c6559e53bedbab66eff80cc84f2def6ae96d3d5654109724def,0.0,0.0
37,tonsil_s3,NO_SELF_RETURN,0.0878511684810731,0.1071486539676353,0.1062569212897884,0.4897656425609581,0.8469393443400195,0.1634663885405277,134,2e8e0d08f7fdb9664700d6f4014aae769bf9863571f3723cd6cbdeadd5f1034c,0.019757159027468607,-0.0715088936208
38,tonsil_s3,REGISTERED_SCALE_ONLY,0.0682301351585742,0.1787010098334051,0.1778833781994678,0.4778899122273719,0.7144569784061379,0.2930999508460561,138,a592e04c4fd127aa7a0ce2254dbd29542c2915c8827b8523a50957d57835e2cb,0.00013612570496970844,4.3462244969788566e-05
39,tonsil_s3,FIXED_EQUAL_MODALITY_WEIGHTS,0.0680940094536045,0.1786575475884353,0.1778400444201391,0.4777074093498436,0.7138320233657469,0.293688049821495,138,21d351e5252d4c6559e53bedbab66eff80cc84f2def6ae96d3d5654109724def,0.0,0.0
40,tonsil_s3,MORPHOLOGY_MISSING,0.0682324948857896,0.1789723770350423,0.1781554067535168,0.4777410798141607,0.7127911366216098,0.2946368826596066,139,7de52d857dc6ec040892a5c2f56e89e1e83805268760b8bc0fb0c09baa68349c,0.0001384854321851009,0.0003148294466069901
41,tonsil_s3,MORPHOLOGY_PERMUTED,0.0682324948857896,0.1789723770350423,0.1781554067535168,0.4777410798141607,0.7127911366216098,0.2946368826596066,139,7de52d857dc6ec040892a5c2f56e89e1e83805268760b8bc0fb0c09baa68349c,0.0001384854321851009,0.0003148294466069901
