stage,config_id,dataset,unit_id,seed,family,status,transform_status,raw_root,phase,runtime_seconds,cuda_used,cuda_device,peak_gpu_allocated_mib,process_peak_rss_mib,cpu_workers_stage_max,threads_per_worker
R2,B00_FAMILY_REFERENCE,tonsil,u005,0,RNA_PROTEIN,SUCCESS_PRE_LABEL,SUCCESS_PRE_LABEL,/root/autodl-fs/night8a_raw_runs_20260820/R2/B00_FAMILY_REFERENCE/u005/attempt_001,cpu_transform,4.348319897428155,False,,,598.9609375,3.0,3.0
R2,B00_FAMILY_REFERENCE,tonsil,u006,1,RNA_PROTEIN,SUCCESS_PRE_LABEL,SUCCESS_PRE_LABEL,/root/autodl-fs/night8a_raw_runs_20260820/R2/B00_FAMILY_REFERENCE/u006/attempt_001,training_and_reload,2.0372914196923375,True,NVIDIA GeForce RTX 4080,88.56591796875,771.94140625,,
R2,B00_FAMILY_REFERENCE,tonsil,u006,1,RNA_PROTEIN,SUCCESS_PRE_LABEL,SUCCESS_PRE_LABEL,/root/autodl-fs/night8a_raw_runs_20260820/R2/B00_FAMILY_REFERENCE/u006/attempt_001,cpu_transform,4.468803385272622,False,,,602.7265625,3.0,3.0
R2,B00_FAMILY_REFERENCE,tonsil,u007,2,RNA_PROTEIN,SUCCESS_PRE_LABEL,SUCCESS_PRE_LABEL,/root/autodl-fs/night8a_raw_runs_20260820/R2/B00_FAMILY_REFERENCE/u007/attempt_001,training_and_reload,2.1720318933948874,True,NVIDIA GeForce RTX 4080,88.56591796875,772.28125,,
R2,B00_FAMILY_REFERENCE,tonsil,u007,2,RNA_PROTEIN,SUCCESS_PRE_LABEL,SUCCESS_PRE_LABEL,/root/autodl-fs/night8a_raw_runs_20260820/R2/B00_FAMILY_REFERENCE/u007/attempt_001,cpu_transform,4.458021414466202,False,,,599.33984375,3.0,3.0
R2,B00_FAMILY_REFERENCE,d1,u010,0,RNA_PROTEIN,SUCCESS_PRE_LABEL,SUCCESS_PRE_LABEL,/root/autodl-fs/night8a_raw_runs_20260820/R2/B00_FAMILY_REFERENCE/u010/attempt_001,training_and_reload,1.7644138904288411,True,NVIDIA GeForce RTX 4080,82.36767578125,769.57421875,,
R2,B00_FAMILY_REFERENCE,d1,u010,0,RNA_PROTEIN,SUCCESS_PRE_LABEL,SUCCESS_PRE_LABEL,/root/autodl-fs/night8a_raw_runs_20260820/R2/B00_FAMILY_REFERENCE/u010/attempt_001,cpu_transform,5.413897309452295,False,,,605.8046875,3.0,3.0
R2,B00_FAMILY_REFERENCE,d1,u011,1,RNA_PROTEIN,SUCCESS_PRE_LABEL,SUCCESS_PRE_LABEL,/root/autodl-fs/night8a_raw_runs_20260820/R2/B00_FAMILY_REFERENCE/u011/attempt_001,training_and_reload,2.1146676298230886,True,NVIDIA GeForce RTX 4080,82.36767578125,769.5546875,,
R2,B00_FAMILY_REFERENCE,d1,u011,1,RNA_PROTEIN,SUCCESS_PRE_LABEL,SUCCESS_PRE_LABEL,/root/autodl-fs/night8a_raw_runs_20260820/R2/B00_FAMILY_REFERENCE/u011/attempt_001,cpu_transform,6.924926722422242,False,,,619.6953125,3.0,3.0
R2,B00_FAMILY_REFERENCE,d1,u012,2,RNA_PROTEIN,SUCCESS_PRE_LABEL,SUCCESS_PRE_LABEL,/root/autodl-fs/night8a_raw_runs_20260820/R2/B00_FAMILY_REFERENCE/u012/attempt_001,training_and_reload,2.1733282171189785,True,NVIDIA GeForce RTX 4080,82.36767578125,769.4453125,,
R2,B00_FAMILY_REFERENCE,d1,u012,2,RNA_PROTEIN,SUCCESS_PRE_LABEL,SUCCESS_PRE_LABEL,/root/autodl-fs/night8a_raw_runs_20260820/R2/B00_FAMILY_REFERENCE/u012/attempt_001,cpu_transform,5.260914702899754,False,,,604.88671875,3.0,3.0
R2,B00_FAMILY_REFERENCE,p22,u020,0,RNA_EPIGENOME,SUCCESS_PRE_LABEL,SUCCESS_PRE_LABEL,/root/autodl-fs/night8a_raw_runs_20260820/R2/B00_FAMILY_REFERENCE/u020/attempt_001,training_and_reload,2.4542073886841536,True,NVIDIA GeForce RTX 4080,134.2392578125,792.78125,,
