dataset,variant,metric,mean,sample_sd,median,minimum,maximum,bootstrap_95_low,bootstrap_95_high,n
placenta,locked_legacy_shape_normalized,homogeneity,0.6149191501264157,0.024516597063015084,0.6238961125495941,0.5713862402231523,0.6306526419987495,0.592563895306008,0.6279500302190874,5
placenta,locked_legacy_shape_normalized,v_measure,0.583760031480418,0.025270439389061945,0.5949991830029286,0.5387857994619876,0.5984824854844369,0.5612240122839349,0.5964938355557454,5
placenta,locked_legacy_shape_normalized,hungarian_macro_f1,0.5339281375438516,0.03509547272511649,0.5454478938360162,0.47207263554812917,0.5579408294554975,0.5020794471048007,0.5530641589678496,5
placenta,locked_legacy_shape_normalized,hungarian_weighted_f1,0.7011490061642595,0.03611861831343497,0.7157169068249424,0.6376671107650993,0.7229704555521933,0.668503291120016,0.7214699195564552,5
placenta,locked_legacy_shape_normalized,hungarian_balanced_accuracy,0.5500607975614134,0.042815613785257924,0.5674376347942802,0.47358571516099596,0.5731504879439514,0.5113840788848553,0.570865346684083,5
placenta,locked_legacy_shape_normalized,spatial_neighbor_agreement,0.46630565583634176,0.009932355005547042,0.4687123947051745,0.45246690734055356,0.47833935018050544,0.45788206979542717,0.47352587244284,5
placenta,locked_legacy_shape_normalized,spatial_cluster_moran_mean,0.4444319516608003,0.02155270630952071,0.44472761325469107,0.4128114156896682,0.4661524892674443,0.4268393787036028,0.4603172727763048,5
placenta,locked_legacy_shape_normalized,embedding_silhouette,0.04679761603474617,0.005103788556674937,0.046931955963373184,0.040123116225004196,0.05352679640054703,0.042755112051963806,0.05079732015728951,5
placenta,locked_legacy_shape_normalized,embedding_davies_bouldin,3.0049991897239092,0.21298741929725842,2.9728135288191395,2.7628258644287174,3.3373189139508748,2.848103046941394,3.191516759898181,5
placenta,locked_legacy_loss_replay,ari,0.6635269854564889,0.032304971934093055,0.6530677220889807,0.6403649578840368,0.7201194026501642,0.6452507998432887,0.6928882105219512,5
placenta,locked_legacy_loss_replay,nmi,0.7238140913798963,0.017919862046820237,0.7201913614503674,0.7073024601682062,0.7511639843456898,0.7108021724987673,0.7387809207944575,5
placenta,locked_legacy_loss_replay,ami,0.7201707883852707,0.018137093201325998,0.7165340983125288,0.7034324890128305,0.7478256399507442,0.7069920985957371,0.7353077269004966,5
placenta,locked_legacy_loss_replay,fmi,0.7232987813735947,0.026650128429397978,0.7142185722403767,0.7036987152570423,0.7699032628665158,0.707953900455033,0.7476293866160602,5
placenta,locked_legacy_loss_replay,homogeneity,0.765434400840629,0.01640249498439588,0.7684730821160505,0.7463867625374669,0.782969022060498,0.7524930436668258,0.7783757580144319,5
placenta,locked_legacy_loss_replay,v_measure,0.7238140913798963,0.017919862046820213,0.7201913614503677,0.7073024601682062,0.7511639843456898,0.7108021724987673,0.7387809207944575,5
placenta,locked_legacy_loss_replay,hungarian_macro_f1,0.6113532801122933,0.021210561169167197,0.6238450241393809,0.5880977039050062,0.6299300895966838,0.5953601813414104,0.6273463788831759,5
placenta,locked_legacy_loss_replay,hungarian_weighted_f1,0.7932671390902043,0.019585248861199764,0.7923517894107192,0.7739505378575826,0.8249576267351832,0.7793854710040569,0.8099897243306173,5
placenta,locked_legacy_loss_replay,hungarian_balanced_accuracy,0.6521746114364875,0.02907761218325133,0.6704233890974652,0.620341464329802,0.6771379146630873,0.6304316557153347,0.6739175671576404,5
placenta,locked_legacy_loss_replay,spatial_neighbor_agreement,0.43995186522262336,0.008639991416528959,0.4398315282791817,0.43080625752105894,0.45306859205776173,0.4336943441636583,0.4470517448856799,5
placenta,locked_legacy_loss_replay,spatial_cluster_moran_mean,0.3955289107099599,0.02531932849672095,0.3835569773006126,0.37358367183890534,0.43271113188631694,0.377061099589324,0.41718523363658305,5
placenta,locked_legacy_loss_replay,embedding_silhouette,0.16772364377975463,0.01606661203759923,0.1669599413871765,0.15405875444412231,0.19355739653110504,0.15681978464126586,0.1809428632259369,5
