dataset,variant,seed,domain,support,hungarian_f1
a1,locked_legacy_shape_normalized,4,medulla cords,1188,0.3679354094579008
a1,locked_legacy_shape_normalized,4,medulla sinuses,797,0.4079051383399209
a1,locked_legacy_shape_normalized,4,medulla vessels,57,0.030042918454935622
a1,locked_legacy_shape_normalized,4,pericapsular adipose tissue,320,0.5889830508474576
a1,locked_legacy_shape_normalized,4,subcapsular sinus,74,0.045454545454545456
a1,locked_legacy_shape_normalized,4,trabeculae,8,0.0
a1,locked_uniform_legacy_scale,0,capsule,204,0.3611111111111111
a1,locked_uniform_legacy_scale,0,cortex,753,0.7087227414330218
a1,locked_uniform_legacy_scale,0,follicle,60,0.4157706093189964
a1,locked_uniform_legacy_scale,0,hilum,23,0.1596638655462185
a1,locked_uniform_legacy_scale,0,medulla cords,1188,0.459654980523094
a1,locked_uniform_legacy_scale,0,medulla sinuses,797,0.461880088823094
a1,locked_uniform_legacy_scale,0,medulla vessels,57,0.02564102564102564
a1,locked_uniform_legacy_scale,0,pericapsular adipose tissue,320,0.5434298440979956
a1,locked_uniform_legacy_scale,0,subcapsular sinus,74,0.06907894736842105
a1,locked_uniform_legacy_scale,0,trabeculae,8,0.0
a1,locked_uniform_legacy_scale,1,capsule,204,0.3507692307692307
a1,locked_uniform_legacy_scale,1,cortex,753,0.57116953762466
a1,locked_uniform_legacy_scale,1,follicle,60,0.42962962962962964
a1,locked_uniform_legacy_scale,1,hilum,23,0.16143497757847533
a1,locked_uniform_legacy_scale,1,medulla cords,1188,0.46049661399548525
a1,locked_uniform_legacy_scale,1,medulla sinuses,797,0.5778364116094986
a1,locked_uniform_legacy_scale,1,medulla vessels,57,0.025559105431309903
a1,locked_uniform_legacy_scale,1,pericapsular adipose tissue,320,0.5911949685534591
a1,locked_uniform_legacy_scale,1,subcapsular sinus,74,0.06436781609195402
a1,locked_uniform_legacy_scale,1,trabeculae,8,0.0
a1,locked_uniform_legacy_scale,2,capsule,204,0.3506849315068493
a1,locked_uniform_legacy_scale,2,cortex,753,0.7205992509363295
a1,locked_uniform_legacy_scale,2,follicle,60,0.4028268551236749
a1,locked_uniform_legacy_scale,2,hilum,23,0.003584229390681003
a1,locked_uniform_legacy_scale,2,medulla cords,1188,0.5153308230231306
a1,locked_uniform_legacy_scale,2,medulla sinuses,797,0.4627621113521331
a1,locked_uniform_legacy_scale,2,medulla vessels,57,0.0594059405940594
a1,locked_uniform_legacy_scale,2,pericapsular adipose tissue,320,0.773049645390071
a1,locked_uniform_legacy_scale,2,subcapsular sinus,74,0.24545454545454543
a1,locked_uniform_legacy_scale,2,trabeculae,8,0.0
a1,locked_uniform_legacy_scale,3,capsule,204,0.36526946107784436
a1,locked_uniform_legacy_scale,3,cortex,753,0.5301204819277109
a1,locked_uniform_legacy_scale,3,follicle,60,0.464
a1,locked_uniform_legacy_scale,3,hilum,23,0.09302325581395349
a1,locked_uniform_legacy_scale,3,medulla cords,1188,0.5185185185185185
a1,locked_uniform_legacy_scale,3,medulla sinuses,797,0.4319620253164556
a1,locked_uniform_legacy_scale,3,medulla vessels,57,0.07887323943661971
a1,locked_uniform_legacy_scale,3,pericapsular adipose tissue,320,0.6538461538461537
a1,locked_uniform_legacy_scale,3,subcapsular sinus,74,0.23456790123456792
a1,locked_uniform_legacy_scale,3,trabeculae,8,0.0
a1,locked_uniform_legacy_scale,4,capsule,204,0.3185378590078329
a1,locked_uniform_legacy_scale,4,cortex,753,0.6317539484621778
a1,locked_uniform_legacy_scale,4,follicle,60,0.4249084249084249
a1,locked_uniform_legacy_scale,4,hilum,23,0.03791469194312796
a1,locked_uniform_legacy_scale,4,medulla cords,1188,0.3763440860215053
a1,locked_uniform_legacy_scale,4,medulla sinuses,797,0.4238026124818578
a1,locked_uniform_legacy_scale,4,medulla vessels,57,0.03508771929824561
a1,locked_uniform_legacy_scale,4,pericapsular adipose tissue,320,0.5859872611464968
