dataset,checkpoint,family,metric,within_count,cross_count,within_q95,within_median,cross_q95,cross_median,eta,E95,Emed,margin,q95_ratio,median_ratio,finite,pass
p22,0,adam,scaled_max,16,32,0.0,0.0,0.0,0.0,3.814697265625e-06,3.814697265625e-06,3.814697265625e-06,2.0,0.0,0.0,True,True
p22,0,gradients,relative_l2,16,32,1.6503635937631485e-07,1.5568277581526784e-07,1.6537831457906408e-07,1.559089567156324e-07,3.814697265625e-06,3.814697265625e-06,3.814697265625e-06,2.0,0.043352932897014175,0.04087059754926274,True,True
p22,0,gradients,scaled_max,16,32,3.725290298461914e-09,3.725290298461914e-09,3.725290298461914e-09,3.725290298461914e-09,3.814697265625e-06,3.814697265625e-06,3.814697265625e-06,2.0,0.0009765625,0.0009765625,True,True
p22,0,losses,relative_l2,16,32,1.0700713769710581e-07,0.0,1.0700713769710581e-07,0.0,3.814697265625e-06,3.814697265625e-06,3.814697265625e-06,2.0,0.028051279104470105,0.0,True,True
p22,0,losses,scaled_max,16,32,1.0700713769710581e-07,0.0,1.0700713769710581e-07,0.0,3.814697265625e-06,3.814697265625e-06,3.814697265625e-06,2.0,0.028051279104470105,0.0,True,True
p22,0,outputs,relative_l2,16,32,6.215494216909921e-08,6.171586837680874e-08,6.243767203231326e-08,6.190455257796442e-08,3.814697265625e-06,3.814697265625e-06,3.814697265625e-06,2.0,0.016367661097238726,0.016227907030997905,True,True
p22,0,outputs,scaled_max,16,32,1.880847861640343e-07,1.724583795414004e-07,2.1589734167762166e-07,1.724583795414004e-07,3.814697265625e-06,3.814697265625e-06,3.814697265625e-06,2.0,0.05659619273673845,0.045208929446500866,True,True
p22,0,parameters,relative_l2,16,32,0.0,0.0,0.0,0.0,3.814697265625e-06,3.814697265625e-06,3.814697265625e-06,2.0,0.0,0.0,True,True
p22,0,parameters,scaled_max,16,32,0.0,0.0,0.0,0.0,3.814697265625e-06,3.814697265625e-06,3.814697265625e-06,2.0,0.0,0.0,True,True
p22,1,adam,relative_l2,16,32,2.414339325960926e-07,2.3078868150681718e-07,2.4303984834370513e-07,2.330187874938787e-07,3.814697265625e-06,3.814697265625e-06,3.814697265625e-06,2.0,0.06371143800421224,0.06108447702879534,True,True
p22,1,adam,scaled_max,16,32,4.656612873077393e-10,3.4924596548080444e-10,4.656612873077393e-10,4.0745362639427185e-10,3.814697265625e-06,3.814697265625e-06,3.814697265625e-06,2.0,0.0001220703125,0.0001068115234375,True,True
p22,1,gradients,relative_l2,16,32,2.010832243238252e-07,1.8277741192761885e-07,1.943452288978453e-07,1.857218253826625e-07,3.814697265625e-06,3.814697265625e-06,3.814697265625e-06,2.0,0.05094643568419676,0.048685862193112675,True,True
p22,1,gradients,scaled_max,16,32,3.725290298461914e-09,3.725290298461914e-09,3.725290298461914e-09,3.725290298461914e-09,3.814697265625e-06,3.814697265625e-06,3.814697265625e-06,2.0,0.0009765625,0.0009765625,True,True
p22,1,losses,relative_l2,16,32,1.4095453849651687e-07,7.047726924825843e-08,1.4095453849651687e-07,7.047726924825843e-08,3.814697265625e-06,3.814697265625e-06,3.814697265625e-06,2.0,0.03695038653963092,0.01847519326981546,True,True
p22,1,losses,scaled_max,16,32,1.4901161193847656e-08,7.450580596923828e-09,1.4901161193847656e-08,7.450580596923828e-09,3.814697265625e-06,3.814697265625e-06,3.814697265625e-06,2.0,0.00390625,0.001953125,True,True
p22,1,outputs,relative_l2,16,32,9.154833425788957e-08,8.522893030668495e-08,8.858831199373892e-08,8.543144421686325e-08,3.814697265625e-06,3.814697265625e-06,3.814697265625e-06,2.0,0.023222894459286696,0.0223953405127854,True,True
p22,1,outputs,scaled_max,16,32,1.0022912259186834e-06,4.722609831623211e-07,6.615329358725848e-07,3.135390291456888e-07,3.814697265625e-06,3.814697265625e-06,3.814697265625e-06,2.0,0.17341688994138288,0.08219237525636744,True,True
p22,1,parameters,relative_l2,16,32,3.6373386254876014e-08,1.9518863083014546e-08,3.467652610463555e-08,1.8700088408713167e-08,3.814697265625e-06,3.814697265625e-06,3.814697265625e-06,2.0,0.009090243259173581,0.0049021159758137044,True,True
