dataset,variant,variant_code,seed,run_status,ari,nmi,ami,fmi,homogeneity,v_measure,hungarian_macro_f1,hungarian_weighted_f1,hungarian_balanced_accuracy,spatial_neighbor_agreement,spatial_cluster_moran_mean,embedding_silhouette,embedding_davies_bouldin,total_seconds,gpu_peak_allocated_mib
p22,locked_asr_hvg_legacy_scale_diagnostic,V4,3,complete,0.4074897689315407,0.5723397043410353,0.5715784289056951,0.5051265817495444,0.5647137861986945,0.5723397043410353,0.5636126495616711,0.5938190617331313,0.5974691879364135,0.843620867768595,0.7922953769314051,0.14895768463611603,2.5044236980785937,74.51355280727148,701.6669921875
p22,locked_asr_hvg_legacy_scale_diagnostic,V4,4,complete,0.39330432636859014,0.5563849333352401,0.5555984754234885,0.4912958760015232,0.5511922338510528,0.5563849333352402,0.5480089909749538,0.5676153360340004,0.5964484610295375,0.8506823618964767,0.8020740801373312,0.15077893435955048,2.3461340885914117,75.55459340801463,701.66357421875
p22,locked_legacy_loss_replay,V3,0,complete,0.420748421297341,0.5441287355055389,0.5433258468713474,0.5133554937599919,0.5420770185226196,0.5441287355055389,0.5216321061823606,0.5918748269047015,0.5550486390047786,0.802482057416268,0.7461804097914642,0.14649061858654022,2.647870125541595,70.57701203273609,701.6708984375
p22,locked_legacy_loss_replay,V3,1,complete,0.3924019755037086,0.534056411272014,0.5332459894679424,0.48516214220243403,0.538493644834399,0.5340564112720141,0.5281665865921732,0.5740293760888353,0.5731418547130782,0.8198809264897782,0.7828862236604439,0.1369181126356125,2.6124310381756564,70.49832110386342,701.66845703125
p22,locked_legacy_loss_replay,V3,2,complete,0.4419764802456389,0.5738674929972273,0.5731195263957642,0.5298638674214425,0.5735836866926385,0.5738674929972273,0.5296624780756993,0.5974847360960298,0.5660680270340345,0.8306940517616355,0.7899485294090122,0.12883557379245758,2.4485982689045755,70.27064324263483,701.66064453125
p22,locked_legacy_loss_replay,V3,3,complete,0.4061139960653309,0.571307648638198,0.5705445871174236,0.5039423163956843,0.5637440840884791,0.5713076486381982,0.5639903438851943,0.5939601869912615,0.5978861275462379,0.8420305023923444,0.7893690405681473,0.14775042235851288,2.5241957584662575,70.9861582131125,701.6669921875
p22,locked_legacy_loss_replay,V3,4,complete,0.3935313184562161,0.5572429172031342,0.5564582057188346,0.4913929314074144,0.5521865387081688,0.5572429172031343,0.5497754264074595,0.5688840042383428,0.5992682748142377,0.8521571879077859,0.8048136938312724,0.1488148719072342,2.3599175204851095,69.74588562594727,701.66357421875
p22,locked_legacy_shape_normalized,V2,0,complete,0.42052132459373853,0.5441731986422541,0.5433690154048113,0.5137874235757813,0.5412281270984796,0.5441731986422541,0.5204450571158136,0.5915712460746572,0.5529076401212607,0.8036374510656807,0.7478129143753466,0.14887486398220062,2.5846001042528925,71.63228661799803,701.67041015625
p22,locked_legacy_shape_normalized,V2,1,complete,0.3947969478529996,0.5346905456040022,0.5338807951003429,0.4873735000533102,0.5388534714253348,0.5346905456040022,0.5290233425864632,0.5743154218492241,0.5742399283402002,0.820567366246194,0.7823804212400899,0.14027650654315948,2.5709047256142217,70.50625486811623,701.66796875
p22,locked_legacy_shape_normalized,V2,2,complete,0.4361668867978471,0.5692241597049955,0.5684668685022368,0.5255447487616155,0.5680722787012508,0.5692241597049954,0.5268586948278791,0.5944035735750048,0.5616817013049274,0.8277376033057852,0.7855327277778053,0.1313703954219818,2.4026214260878627,69.94891890138388,701.66015625
