dataset,metric,contrast,mean,sample_sd,median,minimum,maximum,bootstrap_95_low,bootstrap_95_high,n,exact_32_sign_flip_two_sided_p
a1,spatial_cluster_moran_mean,factorial_shape_main,-0.0018650619741304385,0.007704066122121486,-0.0021732895401224694,-0.012628999345792286,0.0070984821795544994,-0.00790170024033376,0.0039347886748743125,5,0.625
a1,spatial_cluster_moran_mean,interaction,-0.0019575661927289214,0.019184584173747927,-0.001965352304000745,-0.028696065601070575,0.016377291845883435,-0.016527074083058445,0.012611941697600604,5,0.9375
a1,spatial_cluster_moran_mean,asr_vs_uniform_same_scale,0.002402821874136607,0.02055864301461862,-0.00028623680029826737,-0.022106256357406817,0.029233735378330628,-0.01325212300783143,0.018574814657009876,5,0.875
a1,spatial_cluster_moran_mean,asr_vs_legacy_same_scale,0.005246666944631506,0.02458058762641846,0.00015865119733693422,-0.018950290665283975,0.043030832058407686,-0.01237778274305421,0.025881959713979386,5,0.6875
a1,embedding_silhouette,uniform_scale_effect,-0.005786293745040893,0.009804235713556755,-0.00562402606010437,-0.016515269875526428,0.008449651300907135,-0.012969458103179931,0.00202142596244812,5,0.3125
a1,embedding_silhouette,legacy_shape_effect,-0.0031005829572677613,0.012244909741779096,3.5628676414489746e-05,-0.02398737519979477,0.008499868214130402,-0.014378173649311066,0.005089713633060456,5,0.75
a1,embedding_silhouette,scale_at_legacy_shape,-0.00964713841676712,0.014722346694369861,-0.013692803680896759,-0.024218790233135223,0.014899119734764099,-0.0191889226436615,0.0034623503684997558,5,0.25
a1,embedding_silhouette,legacy_shape_at_full_scale,-0.006961427628993988,0.014774168533663172,0.002858094871044159,-0.02439860999584198,0.004528455436229706,-0.018198181688785554,0.003986243903636932,5,0.5
a1,embedding_silhouette,factorial_scale_main,-0.007716716080904007,0.006628795670748486,-0.007609732449054718,-0.015104036778211594,0.0009013786911964417,-0.012836411595344543,-0.0025970205664634705,5,0.125
a1,embedding_silhouette,factorial_shape_main,-0.0050310052931308745,0.008462422951444299,-0.009989634156227112,-0.012359894812107086,0.006514161825180054,-0.011248493194580078,0.0020445652306079866,5,0.25
a1,embedding_silhouette,interaction,-0.0038608446717262267,0.021212669140263193,-0.003971412777900696,-0.024077430367469788,0.027995482087135315,-0.019254586100578307,0.012947116792201997,5,0.8125
a1,embedding_silhouette,asr_vs_uniform_same_scale,-0.008252686262130738,0.022276875570279592,-0.012119948863983154,-0.03395981341600418,0.024757392704486847,-0.02436410039663315,0.010122115910053252,5,0.5
a1,embedding_silhouette,asr_vs_legacy_same_scale,-0.0012912586331367492,0.015109758695415513,-0.004163190722465515,-0.0161280557513237,0.021899297833442688,-0.012146511673927307,0.011474302411079407,5,0.875
a1,embedding_davies_bouldin,uniform_scale_effect,0.05931853273452723,0.09627844363636069,0.019468898695435,-0.042930335820213106,0.20724419404105898,-0.006556452076114683,0.14050076790091143,5,0.3125
a1,embedding_davies_bouldin,legacy_shape_effect,0.04391887004505812,0.12597371416864772,-0.00024247143472488908,-0.04341149822245538,0.266805518511092,-0.026143887507363184,0.15937187138093098,5,0.875
a1,embedding_davies_bouldin,scale_at_legacy_shape,0.012045737774998556,0.2034358062441934,-0.053492825776634056,-0.23065678542540047,0.2845713867494415,-0.13785001117157777,0.18270421471518206,5,0.875
a1,embedding_davies_bouldin,legacy_shape_at_full_scale,-0.0033539249144705517,0.2042362786540442,-0.007560196748364945,-0.2266384783118287,0.2675241590325077,-0.16060561505655144,0.15389776522761034,5,0.9375
a1,embedding_davies_bouldin,factorial_scale_main,0.035682135254762895,0.08023694246804308,0.0043916604294597095,-0.04821158079842358,0.1506880715158252,-0.023088818510345787,0.10472134793488574,5,0.4375
a1,embedding_davies_bouldin,factorial_shape_main,0.020282472565293787,0.09950402524991583,0.047855028777862296,-0.13502498826714204,0.1336408437988914,-0.07002669725691377,0.0911728019827063,5,0.75
a1,embedding_davies_bouldin,interaction,-0.04727279495952867,0.2748808181668003,-0.01056248995642095,-0.43790097946645945,0.2677666304672326,-0.2738740148482748,0.15601809189455995,5,0.6875
a1,embedding_davies_bouldin,asr_vs_uniform_same_scale,0.15750481142183487,0.14987879153758876,0.2294777177266285,-0.006047975245872195,0.308172634258308,0.04290858036113665,0.2721010424825331,5,0.25
a1,embedding_davies_bouldin,asr_vs_legacy_same_scale,0.16085873633630543,0.12262226505241186,0.16504748570949523,-0.010183045947797176,0.31573283100667293,0.06062945461395293,0.256178980786635,5,0.125
placenta,ari,uniform_scale_effect,0.21049638275100663,0.028587593639700055,0.20419700545422326,0.1812731638166084,0.2573021028284547,0.19075730778681405,0.23606006387876213,5,0.0625
placenta,ari,legacy_shape_effect,0.04241807382939137,0.04333523918021155,0.05032798463618349,-0.01273331202079342,0.08892669323484192,0.00868693981717128,0.07614920784161146,5,0.1875
placenta,ari,scale_at_legacy_shape,0.1704733425928394,0.03577819557323244,0.1629706025986814,0.1305676562003557,0.22140145259112387,0.14395579544445325,0.20032627186948151,5,0.0625
placenta,ari,legacy_shape_at_full_scale,0.002395033671224156,0.015024044996567674,0.0017970692746114292,-0.018049166178678355,0.024133653124149723,-0.009612602318112739,0.015298914301697431,5,0.625
placenta,ari,factorial_scale_main,0.190484862671923,0.023409601972497838,0.19333527044810858,0.15592041000848206,0.21279922902267356,0.1716261267811594,0.20784128678411834,5,0.0625
placenta,ari,factorial_shape_main,0.022406553750307763,0.023477159360764808,0.024975230828057138,-0.004131088452343112,0.056530173179495824,0.004453037567859924,0.04084979454696329,5,0.125
placenta,ari,interaction,-0.04002304015816721,0.04475066166133277,-0.0507055076162527,-0.09433150022977332,0.017204447136900614,-0.07379091765943675,-0.004133859734201761,5,0.1875
placenta,ari,asr_vs_uniform_same_scale,0.002537908355317664,0.019252412481047296,-0.004921128162313826,-0.01139014894828505,0.03637398576516648,-0.008308722744566888,0.01985594019417436,5,1.0
placenta,ari,asr_vs_legacy_same_scale,0.000142874684093508,0.02471694031515466,-0.006718197436925255,-0.02551537120290004,0.036751508745235695,-0.017894301594301963,0.021290191910152845,5,1.0
placenta,nmi,uniform_scale_effect,0.19471448986553472,0.028891162203613284,0.19277745489006426,0.15485446343494202,0.2318989550516833,0.17172099325116202,0.21794768822120675,5,0.0625
placenta,nmi,legacy_shape_effect,0.05488341701315117,0.03673158152091478,0.044086932894691566,0.014443987832867045,0.096876979494325,0.02626832328139539,0.08349851074490695,5,0.0625
placenta,nmi,scale_at_legacy_shape,0.14005405989947822,0.033669327535440156,0.1217088759659305,0.11435477845006625,0.19201956111970198,0.11649259962078509,0.16964915346415968,5,0.0625
placenta,nmi,legacy_shape_at_full_scale,0.00022298704709469152,0.013627071602138833,0.001610829362503896,-0.01899969293842707,0.01875725199646283,-0.010755484018054684,0.01120366056086446,5,1.0
placenta,nmi,factorial_scale_main,0.16738427488250646,0.024331629895041614,0.1699510636231471,0.13460462094250414,0.2011619055835765,0.14818774763380008,0.18693790020280682,5,0.0625
placenta,nmi,factorial_shape_main,0.02755320203012293,0.01937317369472218,0.02383709040225368,0.005301643368992526,0.05429154145852971,0.013046912085203654,0.04344207185928557,5,0.0625
placenta,nmi,interaction,-0.05466042996605648,0.03960470788847397,-0.04049968498487577,-0.11587667243275207,-0.018284688927749038,-0.08899181632758109,-0.02644282239238347,5,0.0625
placenta,nmi,asr_vs_uniform_same_scale,-0.0027257545588273537,0.007742004738574036,-0.004444071134347971,-0.008797510363313776,0.010621209284883637,-0.007480186334259997,0.004171045454658451,5,0.4375
placenta,nmi,asr_vs_legacy_same_scale,-0.002948741605922045,0.013758587821827763,-0.000603370039465978,-0.022478932459711554,0.011712972820317136,-0.014162235145976898,0.007288710311090174,5,0.6875
placenta,ami,uniform_scale_effect,0.19729825458407507,0.02924375968868133,0.19532059500533927,0.15698963373508634,0.23494719807550934,0.17404054946193986,0.2208150880661937,5,0.0625
placenta,ami,legacy_shape_effect,0.05560654620434731,0.037203055052031954,0.04471135244806024,0.014646842702056961,0.09812303691391044,0.02661948321047882,0.08459360919821579,5,0.0625
placenta,ami,scale_at_legacy_shape,0.14192069942175464,0.03409832352176408,0.12336320119119681,0.1159150821280247,0.19456382954118479,0.11806116603117356,0.17189057457438425,5,0.0625
placenta,ami,legacy_shape_at_full_scale,0.0002289910420268937,0.013827935479010482,0.0016232740426115333,-0.019267928807288115,0.01904791604345646,-0.010911447667328256,0.011377088412344794,5,1.0
