dataset,metric,contrast,seed,paired_delta
a1,v_measure,interaction,4,0.009672178119361219
a1,v_measure,asr_vs_uniform_same_scale,4,-0.0001861906161974014
a1,v_measure,asr_vs_legacy_same_scale,4,-0.005776199546856098
a1,hungarian_macro_f1,uniform_scale_effect,0,0.004231035755362156
a1,hungarian_macro_f1,legacy_shape_effect,0,0.001068785559739105
a1,hungarian_macro_f1,scale_at_legacy_shape,0,0.014594432948037639
a1,hungarian_macro_f1,legacy_shape_at_full_scale,0,0.011432182752414588
a1,hungarian_macro_f1,factorial_scale_main,0,0.009412734351699897
a1,hungarian_macro_f1,factorial_shape_main,0,0.0062504841560768465
a1,hungarian_macro_f1,interaction,0,0.010363397192675483
a1,hungarian_macro_f1,asr_vs_uniform_same_scale,0,0.0005867857118488362
a1,hungarian_macro_f1,asr_vs_legacy_same_scale,0,-0.010845397040565752
a1,hungarian_macro_f1,uniform_scale_effect,1,-0.019469162313491994
a1,hungarian_macro_f1,legacy_shape_effect,1,-0.03183313345968136
a1,hungarian_macro_f1,scale_at_legacy_shape,1,0.013565498818242816
a1,hungarian_macro_f1,legacy_shape_at_full_scale,1,0.0012015276720534485
a1,hungarian_macro_f1,factorial_scale_main,1,-0.0029518317476245892
a1,hungarian_macro_f1,factorial_shape_main,1,-0.015315802893813957
a1,hungarian_macro_f1,interaction,1,0.03303466113173481
a1,hungarian_macro_f1,asr_vs_uniform_same_scale,1,-0.0011360677476052183
a1,hungarian_macro_f1,asr_vs_legacy_same_scale,1,-0.002337595419658667
a1,hungarian_macro_f1,uniform_scale_effect,2,0.00112583513507164
a1,hungarian_macro_f1,legacy_shape_effect,2,-0.00042090631940228107
a1,hungarian_macro_f1,scale_at_legacy_shape,2,-0.008044982530988232
a1,hungarian_macro_f1,legacy_shape_at_full_scale,2,-0.009591723985462153
a1,hungarian_macro_f1,factorial_scale_main,2,-0.003459573697958296
a1,hungarian_macro_f1,factorial_shape_main,2,-0.005006315152432217
a1,hungarian_macro_f1,interaction,2,-0.009170817666059872
a1,hungarian_macro_f1,asr_vs_uniform_same_scale,2,-0.013017656652913212
a1,hungarian_macro_f1,asr_vs_legacy_same_scale,2,-0.0034259326674510593
a1,hungarian_macro_f1,uniform_scale_effect,3,-0.021290968894702056
a1,hungarian_macro_f1,legacy_shape_effect,3,-0.0001786377906996539
a1,hungarian_macro_f1,scale_at_legacy_shape,3,-0.020376222033060776
a1,hungarian_macro_f1,legacy_shape_at_full_scale,3,0.0007361090709416263
a1,hungarian_macro_f1,factorial_scale_main,3,-0.020833595463881416
a1,hungarian_macro_f1,factorial_shape_main,3,0.00027873564012098617
a1,hungarian_macro_f1,interaction,3,0.0009147468616412802
a1,hungarian_macro_f1,asr_vs_uniform_same_scale,3,0.019689164168865403
a1,hungarian_macro_f1,asr_vs_legacy_same_scale,3,0.018953055097923777
a1,hungarian_macro_f1,uniform_scale_effect,4,0.008315022024654672
a1,hungarian_macro_f1,legacy_shape_effect,4,0.0024036745221097666
a1,hungarian_macro_f1,scale_at_legacy_shape,4,0.024259919626156035
a1,hungarian_macro_f1,legacy_shape_at_full_scale,4,0.01834857212361113
a1,hungarian_macro_f1,factorial_scale_main,4,0.016287470825405354
a1,hungarian_macro_f1,factorial_shape_main,4,0.010376123322860448
a1,hungarian_macro_f1,interaction,4,0.015944897601501362
a1,hungarian_macro_f1,asr_vs_uniform_same_scale,4,0.00018920750003759146
a1,hungarian_macro_f1,asr_vs_legacy_same_scale,4,-0.018159364623573537
a1,hungarian_weighted_f1,uniform_scale_effect,0,0.0033986297733169524
a1,hungarian_weighted_f1,legacy_shape_effect,0,0.0001786290718995831
a1,hungarian_weighted_f1,scale_at_legacy_shape,0,0.014834035314598593
a1,hungarian_weighted_f1,legacy_shape_at_full_scale,0,0.011614034613181223
a1,hungarian_weighted_f1,factorial_scale_main,0,0.009116332543957772
a1,hungarian_weighted_f1,factorial_shape_main,0,0.005896331842540403
a1,hungarian_weighted_f1,interaction,0,0.01143540554128164
a1,hungarian_weighted_f1,asr_vs_uniform_same_scale,0,0.0005236797713468744
a1,hungarian_weighted_f1,asr_vs_legacy_same_scale,0,-0.011090354841834349
a1,hungarian_weighted_f1,uniform_scale_effect,1,-0.015498028352561588
a1,hungarian_weighted_f1,legacy_shape_effect,1,-0.020878474214684306
