dataset,method,metric,value,status
p22,F00_R02_REFERENCE,moran_i,0.8710391629777975,REUSED_AUTHORITY
p22,F00_R02_REFERENCE,geary_c,0.1314531085624452,REUSED_AUTHORITY
p22,F00_R02_REFERENCE,boundary_disagreement,0.1050753161077515,REUSED_AUTHORITY
p22,F00_R02_REFERENCE,runtime_seconds,,MISSING_SOURCE_ARTIFACT
p22,F00_R02_REFERENCE,peak_gpu_mib,,MISSING_SOURCE_ARTIFACT
misar_e15_5_s1,HR_F00,ari,0.3188979376999059,REUSED_AUTHORITY
misar_e15_5_s1,HR_F00,nmi,0.5635133108884847,REUSED_AUTHORITY
misar_e15_5_s1,HR_F00,q,0.4412056242941952,REUSED_AUTHORITY
misar_e15_5_s1,HR_F00,ami,0.5597389473912016,REUSED_AUTHORITY
misar_e15_5_s1,HR_F00,fmi,0.4432513044896236,REUSED_AUTHORITY
misar_e15_5_s1,HR_F00,homogeneity,0.6780319098869183,REUSED_AUTHORITY
misar_e15_5_s1,HR_F00,completeness,0.4820972075116706,REUSED_AUTHORITY
misar_e15_5_s1,HR_F00,v_measure,0.5635133108884847,REUSED_AUTHORITY
misar_e15_5_s1,HR_F00,neighbor_agreement,0.8413408674404398,REUSED_AUTHORITY
misar_e15_5_s1,HR_F00,moran_i,0.8182003405612843,REUSED_AUTHORITY
misar_e15_5_s1,HR_F00,geary_c,0.1870200819735138,REUSED_AUTHORITY
misar_e15_5_s1,HR_F00,boundary_disagreement,0.1586591325595601,REUSED_AUTHORITY
misar_e15_5_s1,HR_F00,runtime_seconds,63.86647223206237,REUSED_AUTHORITY
misar_e15_5_s1,HR_F00,peak_gpu_mib,401.03271484375,REUSED_AUTHORITY
misar_e15_5_s1,HR_U00,ari,0.3051557421010599,REUSED_AUTHORITY
misar_e15_5_s1,HR_U00,nmi,0.5425314461288911,REUSED_AUTHORITY
misar_e15_5_s1,HR_U00,q,0.4238435941149755,REUSED_AUTHORITY
misar_e15_5_s1,HR_U00,ami,0.5385579890598442,REUSED_AUTHORITY
misar_e15_5_s1,HR_U00,fmi,0.4303230375551089,REUSED_AUTHORITY
misar_e15_5_s1,HR_U00,homogeneity,0.6505407514743792,REUSED_AUTHORITY
misar_e15_5_s1,HR_U00,completeness,0.4652854691583146,REUSED_AUTHORITY
misar_e15_5_s1,HR_U00,v_measure,0.5425314461288913,REUSED_AUTHORITY
misar_e15_5_s1,HR_U00,neighbor_agreement,0.8325799226226838,REUSED_AUTHORITY
misar_e15_5_s1,HR_U00,moran_i,0.8035958041579547,REUSED_AUTHORITY
misar_e15_5_s1,HR_U00,geary_c,0.2010542718899147,REUSED_AUTHORITY
misar_e15_5_s1,HR_U00,boundary_disagreement,0.1674200773773162,REUSED_AUTHORITY
misar_e15_5_s1,HR_U00,runtime_seconds,28.24672898845747,REUSED_AUTHORITY
misar_e15_5_s1,HR_U00,peak_gpu_mib,400.14453125,REUSED_AUTHORITY
