lane,candidate_id,arm,config_id,training_seed,partition_sha256,representation_sha256,absolute_ari,absolute_nmi,ami,fmi,homogeneity,v_measure,morans_i_macro,gearys_c_macro,neighbor_agreement,n_total,n_evaluated,k,min_cluster_size,cluster_sizes,changed_from_strong_start,wall_seconds,peak_gpu_mib,peak_rss_mib
P22_K9,C02_BALANCED__CONFLICT_AS_POSITIVE__S0,CONFLICT_AS_POSITIVE,C02_BALANCED,0,0f5dc189bd1bebc730577d4caf35734da971c669d1e60225b0f290e2ca0baa9c,1a9199f9be540000bcefa966db22dc18bd64a1ac6ae4d743ddee55cf8e3398ba,0.2898801095992154,0.4788885401740816,0.4780132767810942,0.3881540197191506,0.4993436463078487,0.4788885401740817,0.5834701021899238,0.417789834436048,0.6098718704433345,9196,9196,9,672,"[1329, 1159, 1101, 672, 1250, 1172, 716, 1090, 707]",4599,7.545810222625732,149.53271484375,943.56640625
MISAR_K7,INPUT_STRONG_START,INPUT_STRONG_START,BASELINE,0,e4fb7b79e08a62a9d9e33a44e3c49d958c5a0cf3702f17b890d0f01af7b3d433,359216b6a6d78645e9c4a2988e87b365d84ed212ac85f70b0e4d5882c3bd3977,0.5346235433360444,0.6567718908460013,0.6549625314225564,0.6274223802219516,0.6942525985868286,0.6567718908460013,0.9223604516801552,0.0795445223859458,0.9373627981852772,1949,1949,7,125,"[293, 445, 181, 265, 353, 287, 125]",0,4.197182655334473,40.4755859375,852.86328125
MISAR_K7,FROZEN_RETAINED_SAME_HEAD,FROZEN_RETAINED_SAME_HEAD,BASELINE,0,355a0c26f676a759e85d0d6a73086fccfd7be9ec16abce19365d5e1355d129d0,359216b6a6d78645e9c4a2988e87b365d84ed212ac85f70b0e4d5882c3bd3977,0.36635822284266,0.5441877042558723,0.5418122712530774,0.4870090731672318,0.5807663257705563,0.5441877042558723,0.8842754353419654,0.1172390103171976,0.90501975706132,1949,1949,7,216,"[217, 251, 403, 361, 279, 216, 222]",508,4.197182655334473,40.4755859375,852.86328125
MISAR_K7,C01_CONSERVATIVE__BACKBONE_NO_CSBO__S0,BACKBONE_NO_CSBO,C01_CONSERVATIVE,0,8f5f30169435dad4d30edb9fbea3ed4fdfaa61dae5ef5f6091c1e0a5ff845c64,d35a14c715c937ed493ad4847c368386f466bf57f10a8a1599c7b5f58379ed41,0.36136695375073,0.5374996677171828,0.535086959656588,0.4829563886246183,0.5731486355036717,0.5374996677171827,0.8925015819445629,0.1088482595326905,0.9113127469632664,1949,1949,7,185,"[214, 249, 401, 365, 272, 185, 263]",539,4.197182655334473,40.4755859375,852.86328125
MISAR_K7,C01_CONSERVATIVE__FULL_CSBO__S0,FULL_CSBO,C01_CONSERVATIVE,0,fa2627b94138dbc415459863c1b09d9e013245958b4bb6508ac198472846f5fc,18f7963eed3573024b485187e373d2cf71d43862abe804124c4eda8cbbca56a0,0.3587937887916161,0.5340288873683554,0.5315991802017479,0.4807140072589342,0.5696985686992486,0.5340288873683553,0.8904341167778739,0.110698927520963,0.9094102151324456,1949,1949,7,179,"[221, 263, 399, 356, 273, 179, 258]",539,4.197182655334473,40.4755859375,852.86328125
MISAR_K7,C01_CONSERVATIVE__PERMUTED_EDGE_STATES__S0,PERMUTED_EDGE_STATES,C01_CONSERVATIVE,0,f59fef4fbab61cec1474090e4ea902fc13de66c89aaf3af5c749bdfc740265ae,49256f8d540d335bea26bad7cf59a7957d190e07fc0b6bd2fbda907ffb181a0f,0.3610280303945741,0.5367196979891524,0.5343036562937765,0.4826214446114806,0.5724752853409509,0.5367196979891524,0.8922172026769463,0.1090795019534648,0.9110200497585248,1949,1949,7,185,"[216, 250, 399, 363, 272, 185, 264]",540,4.197182655334473,40.4755859375,852.86328125
MISAR_K7,C01_CONSERVATIVE__UNSIGNED_ONLY__S0,UNSIGNED_ONLY,C01_CONSERVATIVE,0,c3729dba7f880d0f72580e12c72c8f81cb8d1e4e50caca362884daf5b53a1c78,9095cb8290b9975914a6d7721424601a618e163e0c13606082787917e8498db5,0.359082061428819,0.5342953225988851,0.531865430034322,0.4810885097735209,0.5696279419515057,0.5342953225988851,0.8922627334943826,0.1092233060438865,0.9110200497585248,1949,1949,7,188,"[209, 249, 403, 366, 273, 188, 261]",540,4.197182655334473,40.4755859375,852.86328125
MISAR_K7,C01_CONSERVATIVE__BOUNDARY_TO_ABSTAIN__S0,BOUNDARY_TO_ABSTAIN,C01_CONSERVATIVE,0,dfcc74c65f4517784801a83f127dcaba3a10756ffeaab9d679bc8e2d3193aee7,9ffeaffb82a4bd2b19c91f6db31c93a04d1cd8d325a683ec3b38833910614ade,0.3609866427093053,0.5365413341625769,0.534123022626705,0.4826704645765172,0.5720065513851426,0.5365413341625769,0.889753690595035,0.1115197093579275,0.9092638665300746,1949,1949,7,181,"[215, 254, 401, 366, 274, 181, 258]",537,4.197182655334473,40.4755859375,852.86328125
MISAR_K7,C01_CONSERVATIVE__CONFLICT_AS_POSITIVE__S0,CONFLICT_AS_POSITIVE,C01_CONSERVATIVE,0,52d072e631f12336c81b568d364b211f52375b4a13be3a1d5acab6956841a59a,1df88363812489b5d1202ecf2a3aa01729949dae849f6db87dbe9cc08a1eea6b,0.3586225397108997,0.5339423243041554,0.5315125085521185,0.4805581041731609,0.5696699281530907,0.5339423243041554,0.8909297706379977,0.1102767650644465,0.9097029123371873,1949,1949,7,182,"[221, 263, 399, 357, 272, 182, 255]",537,4.197182655334473,40.4755859375,852.86328125
MISAR_K7,C02_BALANCED__BACKBONE_NO_CSBO__S0,BACKBONE_NO_CSBO,C02_BALANCED,0,98dc0f1b6ffac8a4f63f8e887faea2362ff48e924038703691d00802d1757539,be57663453001f545e15e025af6ccbb667da52763f41f25fffb92fac181966a9,0.3601939764192409,0.5347122923573376,0.5322819122537243,0.4821811101813245,0.5695245592449912,0.5347122923573375,0.8851859884092834,0.1163444316888272,0.9058978486755452,1949,1949,7,186,"[196, 258, 407, 369, 277, 186, 256]",548,4.197182655334473,40.4755859375,852.86328125
